,rule
0,If (technically complicated <= 0.700) and (conceptually dense <= 0.700) and (negative <= 0.500) and (conceptually dense <= 0.500) then response: 7.820
1,If (technically complicated <= 0.700) and (conceptually dense <= 0.700) and (negative <= 0.500) and (conceptually dense > 0.500) and (socially controversial <= 0.500) then response: 16.195
2,If (technically complicated <= 0.700) and (conceptually dense <= 0.700) and (negative <= 0.500) and (conceptually dense > 0.500) and (socially controversial > 0.500) then response: 14.293
3,If (technically complicated <= 0.700) and (conceptually dense <= 0.700) and (negative > 0.500) and (common <= 0.700) and (socially controversial <= 0.500) then response: 11.260
4,If (technically complicated <= 0.700) and (conceptually dense <= 0.700) and (negative > 0.500) and (common <= 0.700) and (socially controversial > 0.500) then response: 8.765
5,If (technically complicated <= 0.700) and (conceptually dense <= 0.700) and (negative > 0.500) and (common > 0.700) and (conceptually dense <= 0.500) then response: 7.090
6,If (technically complicated <= 0.700) and (conceptually dense <= 0.700) and (negative > 0.500) and (common > 0.700) and (conceptually dense > 0.500) then response: 10.516
7,If (technically complicated <= 0.700) and (conceptually dense > 0.700) and (negative <= 0.500) and (subject to geographical variability <= 0.700) and (socially controversial <= 0.300) then response: 15.313
8,If (technically complicated <= 0.700) and (conceptually dense > 0.700) and (negative <= 0.500) and (subject to geographical variability <= 0.700) and (socially controversial > 0.300) then response: 19.173
9,If (technically complicated <= 0.700) and (conceptually dense > 0.700) and (negative <= 0.500) and (subject to geographical variability > 0.700) and (subject to time variability <= 0.900) then response: 17.104
10,If (technically complicated <= 0.700) and (conceptually dense > 0.700) and (negative <= 0.500) and (subject to geographical variability > 0.700) and (subject to time variability > 0.900) then response: 13.198
11,If (technically complicated <= 0.700) and (conceptually dense > 0.700) and (negative > 0.500) and (interdisciplinary <= 0.700) and (negative <= 0.700) then response: 14.832
12,If (technically complicated <= 0.700) and (conceptually dense > 0.700) and (negative > 0.500) and (interdisciplinary <= 0.700) and (negative > 0.700) then response: 10.503
13,If (technically complicated <= 0.700) and (conceptually dense > 0.700) and (negative > 0.500) and (interdisciplinary > 0.700) and (positive <= 0.300) then response: 4.580
14,If (technically complicated <= 0.700) and (conceptually dense > 0.700) and (negative > 0.500) and (interdisciplinary > 0.700) and (positive > 0.300) then response: 16.427
15,If (technically complicated > 0.700) and (negative <= 0.500) and (socially controversial <= 0.500) and (positive <= 0.700) and (positive <= 0.500) then response: 14.283
16,If (technically complicated > 0.700) and (negative <= 0.500) and (socially controversial <= 0.500) and (positive <= 0.700) and (positive > 0.500) then response: 19.870
17,If (technically complicated > 0.700) and (negative <= 0.500) and (socially controversial <= 0.500) and (positive > 0.700) and (neutral <= 0.900) then response: 16.734
18,If (technically complicated > 0.700) and (negative <= 0.500) and (socially controversial <= 0.500) and (positive > 0.700) and (neutral > 0.900) then response: 13.820
19,If (technically complicated > 0.700) and (negative <= 0.500) and (socially controversial > 0.500) and (positive <= 0.700) and (socially controversial <= 0.700) then response: 16.194
20,If (technically complicated > 0.700) and (negative <= 0.500) and (socially controversial > 0.500) and (positive <= 0.700) and (socially controversial > 0.700) then response: 17.997
21,If (technically complicated > 0.700) and (negative <= 0.500) and (socially controversial > 0.500) and (positive > 0.700) and (socially controversial <= 0.700) then response: 19.025
22,If (technically complicated > 0.700) and (negative <= 0.500) and (socially controversial > 0.500) and (positive > 0.700) and (socially controversial > 0.700) then response: 18.354
23,If (technically complicated > 0.700) and (negative > 0.500) and (positive <= 0.500) and (common <= 0.700) and (neutral <= 0.700) then response: 18.666
24,If (technically complicated > 0.700) and (negative > 0.500) and (positive <= 0.500) and (common <= 0.700) and (neutral > 0.700) then response: 16.503
25,If (technically complicated > 0.700) and (negative > 0.500) and (positive <= 0.500) and (common > 0.700) and (neutral <= 0.700) then response: 16.404
26,If (technically complicated > 0.700) and (negative > 0.500) and (positive <= 0.500) and (common > 0.700) and (neutral > 0.700) then response: 15.766
27,If (technically complicated > 0.700) and (negative > 0.500) and (positive > 0.500) and (subject to time variability <= 0.900) and (positive <= 0.700) then response: 17.427
28,If (technically complicated > 0.700) and (negative > 0.500) and (positive > 0.500) and (subject to time variability <= 0.900) and (positive > 0.700) then response: 17.861
29,If (technically complicated > 0.700) and (negative > 0.500) and (positive > 0.500) and (subject to time variability > 0.900) and (positive <= 0.700) then response: 16.624
30,If (technically complicated > 0.700) and (negative > 0.500) and (positive > 0.500) and (subject to time variability > 0.900) and (positive > 0.700) then response: 14.456
