,rule
0,If (negative <= 0.500) and (common <= 0.700) and (technically complicated <= 0.700) and (neutral <= 0.700) and (unambiguous <= 0.700) then response: -0.003
1,If (negative <= 0.500) and (common <= 0.700) and (technically complicated <= 0.700) and (neutral <= 0.700) and (unambiguous > 0.700) then response: 0.205
2,If (negative <= 0.500) and (common <= 0.700) and (technically complicated <= 0.700) and (neutral > 0.700) and (negative <= 0.300) then response: -0.100
3,If (negative <= 0.500) and (common <= 0.700) and (technically complicated <= 0.700) and (neutral > 0.700) and (negative > 0.300) then response: 0.053
4,If (negative <= 0.500) and (common <= 0.700) and (technically complicated > 0.700) and (positive <= 0.700) and (unambiguous <= 0.700) then response: 0.046
5,If (negative <= 0.500) and (common <= 0.700) and (technically complicated > 0.700) and (positive <= 0.700) and (unambiguous > 0.700) then response: -0.028
6,If (negative <= 0.500) and (common <= 0.700) and (technically complicated > 0.700) and (positive > 0.700) and (socially controversial <= 0.700) then response: 0.093
7,If (negative <= 0.500) and (common <= 0.700) and (technically complicated > 0.700) and (positive > 0.700) and (socially controversial > 0.700) then response: 0.075
8,If (negative <= 0.500) and (common > 0.700) and (socially controversial <= 0.700) and (technically complicated <= 0.500) and (neutral <= 0.900) then response: 0.062
9,If (negative <= 0.500) and (common > 0.700) and (socially controversial <= 0.700) and (technically complicated <= 0.500) and (neutral > 0.900) then response: -0.550
10,If (negative <= 0.500) and (common > 0.700) and (socially controversial <= 0.700) and (technically complicated > 0.500) and (socially controversial <= 0.300) then response: -0.126
11,If (negative <= 0.500) and (common > 0.700) and (socially controversial <= 0.700) and (technically complicated > 0.500) and (socially controversial > 0.300) then response: 0.021
12,If (negative <= 0.500) and (common > 0.700) and (socially controversial > 0.700) and (positive <= 0.700) and (positive <= 0.500) then response: -0.077
13,If (negative <= 0.500) and (common > 0.700) and (socially controversial > 0.700) and (positive <= 0.700) and (positive > 0.500) then response: 0.000
14,If (negative <= 0.500) and (common > 0.700) and (socially controversial > 0.700) and (positive > 0.700) and (technically complicated <= 0.500) then response: 0.173
15,If (negative <= 0.500) and (common > 0.700) and (socially controversial > 0.700) and (positive > 0.700) and (technically complicated > 0.500) then response: 0.086
16,If (negative > 0.500) and (socially controversial <= 0.700) and (positive <= 0.700) and (technically complicated <= 0.700) and (unambiguous <= 0.700) then response: 0.080
17,If (negative > 0.500) and (socially controversial <= 0.700) and (positive <= 0.700) and (technically complicated <= 0.700) and (unambiguous > 0.700) then response: 0.018
18,If (negative > 0.500) and (socially controversial <= 0.700) and (positive <= 0.700) and (technically complicated > 0.700) and (interdisciplinary <= 0.700) then response: 0.036
19,If (negative > 0.500) and (socially controversial <= 0.700) and (positive <= 0.700) and (technically complicated > 0.700) and (interdisciplinary > 0.700) then response: -0.056
20,If (negative > 0.500) and (socially controversial <= 0.700) and (positive > 0.700) and (conceptually dense <= 0.500) then response: 0.450
21,If (negative > 0.500) and (socially controversial <= 0.700) and (positive > 0.700) and (conceptually dense > 0.500) and (conceptually dense <= 0.700) then response: -0.162
22,If (negative > 0.500) and (socially controversial <= 0.700) and (positive > 0.700) and (conceptually dense > 0.500) and (conceptually dense > 0.700) then response: -0.097
23,If (negative > 0.500) and (socially controversial > 0.700) and (positive <= 0.500) and (technically complicated <= 0.700) and (neutral <= 0.500) then response: 0.205
24,If (negative > 0.500) and (socially controversial > 0.700) and (positive <= 0.500) and (technically complicated <= 0.700) and (neutral > 0.500) then response: 0.028
25,If (negative > 0.500) and (socially controversial > 0.700) and (positive <= 0.500) and (technically complicated > 0.700) and (subject to time variability <= 0.900) then response: -0.011
26,If (negative > 0.500) and (socially controversial > 0.700) and (positive <= 0.500) and (technically complicated > 0.700) and (subject to time variability > 0.900) then response: -0.066
27,If (negative > 0.500) and (socially controversial > 0.700) and (positive > 0.500) and (positive <= 0.700) and (technically complicated <= 0.500) then response: 0.147
28,If (negative > 0.500) and (socially controversial > 0.700) and (positive > 0.500) and (positive <= 0.700) and (technically complicated > 0.500) then response: 0.041
29,If (negative > 0.500) and (socially controversial > 0.700) and (positive > 0.500) and (positive > 0.700) and (negative <= 0.700) then response: 0.020
30,If (negative > 0.500) and (socially controversial > 0.700) and (positive > 0.500) and (positive > 0.700) and (negative > 0.700) then response: -0.239
