,rule
0,If (conceptually dense <= 0.700) and (common <= 0.900) and (socially controversial <= 0.500) and (neutral <= 0.700) and (subject to time variability <= 0.700) then response: 14.153
1,If (conceptually dense <= 0.700) and (common <= 0.900) and (socially controversial <= 0.500) and (neutral <= 0.700) and (subject to time variability > 0.700) then response: 15.444
2,If (conceptually dense <= 0.700) and (common <= 0.900) and (socially controversial <= 0.500) and (neutral > 0.700) and (interdisciplinary <= 0.700) then response: 13.004
3,If (conceptually dense <= 0.700) and (common <= 0.900) and (socially controversial <= 0.500) and (neutral > 0.700) and (interdisciplinary > 0.700) then response: 13.923
4,If (conceptually dense <= 0.700) and (common <= 0.900) and (socially controversial > 0.500) and (common <= 0.700) and (neutral <= 0.700) then response: 15.261
5,If (conceptually dense <= 0.700) and (common <= 0.900) and (socially controversial > 0.500) and (common <= 0.700) and (neutral > 0.700) then response: 16.425
6,If (conceptually dense <= 0.700) and (common <= 0.900) and (socially controversial > 0.500) and (common > 0.700) and (technically complicated <= 0.500) then response: 14.134
7,If (conceptually dense <= 0.700) and (common <= 0.900) and (socially controversial > 0.500) and (common > 0.700) and (technically complicated > 0.500) then response: 14.788
8,If (conceptually dense <= 0.700) and (common > 0.900) and (interdisciplinary <= 0.700) and (technically complicated <= 0.500) and (negative <= 0.500) then response: 11.008
9,If (conceptually dense <= 0.700) and (common > 0.900) and (interdisciplinary <= 0.700) and (technically complicated <= 0.500) and (negative > 0.500) then response: 12.440
10,If (conceptually dense <= 0.700) and (common > 0.900) and (interdisciplinary <= 0.700) and (technically complicated > 0.500) and (subject to time variability <= 0.700) then response: 12.310
11,If (conceptually dense <= 0.700) and (common > 0.900) and (interdisciplinary <= 0.700) and (technically complicated > 0.500) and (subject to time variability > 0.700) then response: 12.780
12,If (conceptually dense <= 0.700) and (common > 0.900) and (interdisciplinary > 0.700) and (negative <= 0.500) and (positive <= 0.900) then response: 13.163
13,If (conceptually dense <= 0.700) and (common > 0.900) and (interdisciplinary > 0.700) and (negative <= 0.500) and (positive > 0.900) then response: 13.799
14,If (conceptually dense <= 0.700) and (common > 0.900) and (interdisciplinary > 0.700) and (negative > 0.500) and (technically complicated <= 0.700) then response: 14.023
15,If (conceptually dense <= 0.700) and (common > 0.900) and (interdisciplinary > 0.700) and (negative > 0.500) and (technically complicated > 0.700) then response: 10.440
16,If (conceptually dense > 0.700) and (socially controversial <= 0.700) and (common <= 0.900) and (technically complicated <= 0.700) and (neutral <= 0.700) then response: 14.837
17,If (conceptually dense > 0.700) and (socially controversial <= 0.700) and (common <= 0.900) and (technically complicated <= 0.700) and (neutral > 0.700) then response: 15.263
18,If (conceptually dense > 0.700) and (socially controversial <= 0.700) and (common <= 0.900) and (technically complicated > 0.700) and (positive <= 0.700) then response: 15.016
19,If (conceptually dense > 0.700) and (socially controversial <= 0.700) and (common <= 0.900) and (technically complicated > 0.700) and (positive > 0.700) then response: 15.785
20,If (conceptually dense > 0.700) and (socially controversial <= 0.700) and (common > 0.900) and (negative <= 0.500) and (technically complicated <= 0.700) then response: 13.881
21,If (conceptually dense > 0.700) and (socially controversial <= 0.700) and (common > 0.900) and (negative <= 0.500) and (technically complicated > 0.700) then response: 13.037
22,If (conceptually dense > 0.700) and (socially controversial <= 0.700) and (common > 0.900) and (negative > 0.500) and (positive <= 0.500) then response: 13.431
23,If (conceptually dense > 0.700) and (socially controversial <= 0.700) and (common > 0.900) and (negative > 0.500) and (positive > 0.500) then response: 14.419
24,If (conceptually dense > 0.700) and (socially controversial > 0.700) and (technically complicated <= 0.700) and (common <= 0.900) and (socially controversial <= 0.900) then response: 15.768
25,If (conceptually dense > 0.700) and (socially controversial > 0.700) and (technically complicated <= 0.700) and (common <= 0.900) and (socially controversial > 0.900) then response: 16.266
26,If (conceptually dense > 0.700) and (socially controversial > 0.700) and (technically complicated <= 0.700) and (common > 0.900) and (unambiguous <= 0.700) then response: 14.588
27,If (conceptually dense > 0.700) and (socially controversial > 0.700) and (technically complicated <= 0.700) and (common > 0.900) and (unambiguous > 0.700) then response: 15.227
28,If (conceptually dense > 0.700) and (socially controversial > 0.700) and (technically complicated > 0.700) and (common <= 0.900) and (positive <= 0.700) then response: 16.029
29,If (conceptually dense > 0.700) and (socially controversial > 0.700) and (technically complicated > 0.700) and (common <= 0.900) and (positive > 0.700) then response: 16.429
30,If (conceptually dense > 0.700) and (socially controversial > 0.700) and (technically complicated > 0.700) and (common > 0.900) and (interdisciplinary <= 0.900) then response: 15.126
31,If (conceptually dense > 0.700) and (socially controversial > 0.700) and (technically complicated > 0.700) and (common > 0.900) and (interdisciplinary > 0.900) then response: 15.810
