,rule
0,If (common <= 0.900) and (positive <= 0.500) and (unambiguous <= 0.700) and (positive <= 0.300) and (technically complicated <= 0.700) then response: 12.902
1,If (common <= 0.900) and (positive <= 0.500) and (unambiguous <= 0.700) and (positive <= 0.300) and (technically complicated > 0.700) then response: 16.100
2,If (common <= 0.900) and (positive <= 0.500) and (unambiguous <= 0.700) and (positive > 0.300) and (technically complicated <= 0.700) then response: 18.230
3,If (common <= 0.900) and (positive <= 0.500) and (unambiguous <= 0.700) and (positive > 0.300) and (technically complicated > 0.700) then response: 18.956
4,If (common <= 0.900) and (positive <= 0.500) and (unambiguous > 0.700) and (subject to geographical variability <= 0.900) and (subject to time variability <= 0.900) then response: 16.688
5,If (common <= 0.900) and (positive <= 0.500) and (unambiguous > 0.700) and (subject to geographical variability <= 0.900) and (subject to time variability > 0.900) then response: 22.040
6,If (common <= 0.900) and (positive <= 0.500) and (unambiguous > 0.700) and (subject to geographical variability > 0.900) and (socially controversial <= 0.900) then response: 18.391
7,If (common <= 0.900) and (positive <= 0.500) and (unambiguous > 0.700) and (subject to geographical variability > 0.900) and (socially controversial > 0.900) then response: 19.792
8,If (common <= 0.900) and (positive > 0.500) and (technically complicated <= 0.700) and (conceptually dense <= 0.500) and (common <= 0.700) then response: 10.757
9,If (common <= 0.900) and (positive > 0.500) and (technically complicated <= 0.700) and (conceptually dense <= 0.500) and (common > 0.700) then response: 17.598
10,If (common <= 0.900) and (positive > 0.500) and (technically complicated <= 0.700) and (conceptually dense > 0.500) and (negative <= 0.700) then response: 19.342
11,If (common <= 0.900) and (positive > 0.500) and (technically complicated <= 0.700) and (conceptually dense > 0.500) and (negative > 0.700) then response: 18.754
12,If (common <= 0.900) and (positive > 0.500) and (technically complicated > 0.700) and (positive <= 0.700) and (conceptually dense <= 0.700) then response: 15.210
13,If (common <= 0.900) and (positive > 0.500) and (technically complicated > 0.700) and (positive <= 0.700) and (conceptually dense > 0.700) then response: 19.528
14,If (common <= 0.900) and (positive > 0.500) and (technically complicated > 0.700) and (positive > 0.700) and (socially controversial <= 0.900) then response: 20.197
15,If (common <= 0.900) and (positive > 0.500) and (technically complicated > 0.700) and (positive > 0.700) and (socially controversial > 0.900) then response: 18.513
16,If (common > 0.900) and (conceptually dense <= 0.700) and (socially controversial <= 0.500) and (subject to geographical variability <= 0.900) and (interdisciplinary <= 0.700) then response: 14.736
17,If (common > 0.900) and (conceptually dense <= 0.700) and (socially controversial <= 0.500) and (subject to geographical variability <= 0.900) and (interdisciplinary > 0.700) then response: 15.360
18,If (common > 0.900) and (conceptually dense <= 0.700) and (socially controversial <= 0.500) and (subject to geographical variability > 0.900) and (technically complicated <= 0.500) then response: 13.760
19,If (common > 0.900) and (conceptually dense <= 0.700) and (socially controversial <= 0.500) and (subject to geographical variability > 0.900) and (technically complicated > 0.500) then response: 13.423
20,If (common > 0.900) and (conceptually dense <= 0.700) and (socially controversial > 0.500) and (positive <= 0.700) and (positive <= 0.500) then response: 16.950
21,If (common > 0.900) and (conceptually dense <= 0.700) and (socially controversial > 0.500) and (positive <= 0.700) and (positive > 0.500) then response: 13.685
22,If (common > 0.900) and (conceptually dense <= 0.700) and (socially controversial > 0.500) and (positive > 0.700) and (conceptually dense <= 0.500) then response: 19.200
23,If (common > 0.900) and (conceptually dense <= 0.700) and (socially controversial > 0.500) and (positive > 0.700) and (conceptually dense > 0.500) then response: 15.733
24,If (common > 0.900) and (conceptually dense > 0.700) and (interdisciplinary <= 0.900) and (socially controversial <= 0.700) and (neutral <= 0.700) then response: 15.723
25,If (common > 0.900) and (conceptually dense > 0.700) and (interdisciplinary <= 0.900) and (socially controversial <= 0.700) and (neutral > 0.700) then response: 16.365
26,If (common > 0.900) and (conceptually dense > 0.700) and (interdisciplinary <= 0.900) and (socially controversial > 0.700) and (technically complicated <= 0.500) then response: 14.773
27,If (common > 0.900) and (conceptually dense > 0.700) and (interdisciplinary <= 0.900) and (socially controversial > 0.700) and (technically complicated > 0.500) then response: 16.626
28,If (common > 0.900) and (conceptually dense > 0.700) and (interdisciplinary > 0.900) and (positive <= 0.500) and (neutral <= 0.700) then response: 16.669
29,If (common > 0.900) and (conceptually dense > 0.700) and (interdisciplinary > 0.900) and (positive <= 0.500) and (neutral > 0.700) then response: 19.270
30,If (common > 0.900) and (conceptually dense > 0.700) and (interdisciplinary > 0.900) and (positive > 0.500) and (negative <= 0.500) then response: 16.207
31,If (common > 0.900) and (conceptually dense > 0.700) and (interdisciplinary > 0.900) and (positive > 0.500) and (negative > 0.500) then response: 17.583
