,rule
0,If (interdisciplinary <= 0.900) and (positive <= 0.700) and (interdisciplinary <= 0.700) and (socially controversial <= 0.500) and (technically complicated <= 0.500) then response: 27.600
1,If (interdisciplinary <= 0.900) and (positive <= 0.700) and (interdisciplinary <= 0.700) and (socially controversial <= 0.500) and (technically complicated > 0.500) then response: 29.330
2,If (interdisciplinary <= 0.900) and (positive <= 0.700) and (interdisciplinary <= 0.700) and (socially controversial > 0.500) and (positive <= 0.500) then response: 31.270
3,If (interdisciplinary <= 0.900) and (positive <= 0.700) and (interdisciplinary <= 0.700) and (socially controversial > 0.500) and (positive > 0.500) then response: 33.240
4,If (interdisciplinary <= 0.900) and (positive <= 0.700) and (interdisciplinary > 0.700) and (common <= 0.900) and (subject to geographical variability <= 0.900) then response: 20.882
5,If (interdisciplinary <= 0.900) and (positive <= 0.700) and (interdisciplinary > 0.700) and (common <= 0.900) and (subject to geographical variability > 0.900) then response: 21.686
6,If (interdisciplinary <= 0.900) and (positive <= 0.700) and (interdisciplinary > 0.700) and (common > 0.900) and (socially controversial <= 0.700) then response: 17.399
7,If (interdisciplinary <= 0.900) and (positive <= 0.700) and (interdisciplinary > 0.700) and (common > 0.900) and (socially controversial > 0.700) then response: 19.378
8,If (interdisciplinary <= 0.900) and (positive > 0.700) and (interdisciplinary <= 0.700) and (common <= 0.600) and (technically complicated <= 0.500) then response: 21.460
9,If (interdisciplinary <= 0.900) and (positive > 0.700) and (interdisciplinary <= 0.700) and (common <= 0.600) and (technically complicated > 0.500) then response: 22.140
10,If (interdisciplinary <= 0.900) and (positive > 0.700) and (interdisciplinary <= 0.700) and (common > 0.600) and (interdisciplinary <= 0.500) then response: 23.110
11,If (interdisciplinary <= 0.900) and (positive > 0.700) and (interdisciplinary <= 0.700) and (common > 0.600) and (interdisciplinary > 0.500) then response: 31.811
12,If (interdisciplinary <= 0.900) and (positive > 0.700) and (interdisciplinary > 0.700) and (conceptually dense <= 0.700) and (socially controversial <= 0.500) then response: 20.971
13,If (interdisciplinary <= 0.900) and (positive > 0.700) and (interdisciplinary > 0.700) and (conceptually dense <= 0.700) and (socially controversial > 0.500) then response: 21.750
14,If (interdisciplinary <= 0.900) and (positive > 0.700) and (interdisciplinary > 0.700) and (conceptually dense > 0.700) and (common <= 0.700) then response: 24.234
15,If (interdisciplinary <= 0.900) and (positive > 0.700) and (interdisciplinary > 0.700) and (conceptually dense > 0.700) and (common > 0.700) then response: 23.160
16,If (interdisciplinary > 0.900) and (negative <= 0.700) and (socially controversial <= 0.700) and (socially controversial <= 0.500) and (technically complicated <= 0.700) then response: 33.940
17,If (interdisciplinary > 0.900) and (negative <= 0.700) and (socially controversial <= 0.700) and (socially controversial <= 0.500) and (technically complicated > 0.700) then response: 35.930
18,If (interdisciplinary > 0.900) and (negative <= 0.700) and (socially controversial <= 0.700) and (socially controversial > 0.500) and (technically complicated <= 0.700) then response: 30.797
19,If (interdisciplinary > 0.900) and (negative <= 0.700) and (socially controversial <= 0.700) and (socially controversial > 0.500) and (technically complicated > 0.700) then response: 32.826
20,If (interdisciplinary > 0.900) and (negative <= 0.700) and (socially controversial > 0.700) and (unambiguous <= 0.500) then response: 28.850
21,If (interdisciplinary > 0.900) and (negative <= 0.700) and (socially controversial > 0.700) and (unambiguous > 0.500) and (subject to geographical variability <= 0.900) then response: 33.922
22,If (interdisciplinary > 0.900) and (negative <= 0.700) and (socially controversial > 0.700) and (unambiguous > 0.500) and (subject to geographical variability > 0.900) then response: 34.679
23,If (interdisciplinary > 0.900) and (negative > 0.700) and (unambiguous <= 0.500) then response: 29.330
24,If (interdisciplinary > 0.900) and (negative > 0.700) and (unambiguous > 0.500) and (neutral <= 0.500) and (subject to time variability <= 0.900) then response: 31.540
25,If (interdisciplinary > 0.900) and (negative > 0.700) and (unambiguous > 0.500) and (neutral <= 0.500) and (subject to time variability > 0.900) then response: 32.590
26,If (interdisciplinary > 0.900) and (negative > 0.700) and (unambiguous > 0.500) and (neutral > 0.500) and (unambiguous <= 0.700) then response: 34.616
27,If (interdisciplinary > 0.900) and (negative > 0.700) and (unambiguous > 0.500) and (neutral > 0.500) and (unambiguous > 0.700) then response: 34.267
