,rule
0,If (positive <= 0.700) and (positive <= 0.500) and (unambiguous <= 0.700) and (neutral <= 0.500) and (interdisciplinary <= 0.900) then response: -0.010
1,If (positive <= 0.700) and (positive <= 0.500) and (unambiguous <= 0.700) and (neutral <= 0.500) and (interdisciplinary > 0.900) then response: -0.747
2,If (positive <= 0.700) and (positive <= 0.500) and (unambiguous <= 0.700) and (neutral > 0.500) and (positive <= 0.300) then response: -0.465
3,If (positive <= 0.700) and (positive <= 0.500) and (unambiguous <= 0.700) and (neutral > 0.500) and (positive > 0.300) then response: -0.204
4,If (positive <= 0.700) and (positive <= 0.500) and (unambiguous > 0.700) and (negative <= 0.700) and (conceptually dense <= 0.700) then response: -0.251
5,If (positive <= 0.700) and (positive <= 0.500) and (unambiguous > 0.700) and (negative <= 0.700) and (conceptually dense > 0.700) then response: 0.000
6,If (positive <= 0.700) and (positive <= 0.500) and (unambiguous > 0.700) and (negative > 0.700) and (subject to time variability <= 0.900) then response: -0.307
7,If (positive <= 0.700) and (positive <= 0.500) and (unambiguous > 0.700) and (negative > 0.700) and (subject to time variability > 0.900) then response: -0.188
8,If (positive <= 0.700) and (positive > 0.500) and (unambiguous <= 0.700) and (socially controversial <= 0.700) and (interdisciplinary <= 0.900) then response: -0.131
9,If (positive <= 0.700) and (positive > 0.500) and (unambiguous <= 0.700) and (socially controversial <= 0.700) and (interdisciplinary > 0.900) then response: -0.565
10,If (positive <= 0.700) and (positive > 0.500) and (unambiguous <= 0.700) and (socially controversial > 0.700) and (interdisciplinary <= 0.700) then response: 0.501
11,If (positive <= 0.700) and (positive > 0.500) and (unambiguous <= 0.700) and (socially controversial > 0.700) and (interdisciplinary > 0.700) then response: -0.059
12,If (positive <= 0.700) and (positive > 0.500) and (unambiguous > 0.700) and (negative <= 0.700) and (technically complicated <= 0.500) then response: -0.257
13,If (positive <= 0.700) and (positive > 0.500) and (unambiguous > 0.700) and (negative <= 0.700) and (technically complicated > 0.500) then response: -0.067
14,If (positive <= 0.700) and (positive > 0.500) and (unambiguous > 0.700) and (negative > 0.700) and (socially controversial <= 0.700) then response: -0.386
15,If (positive <= 0.700) and (positive > 0.500) and (unambiguous > 0.700) and (negative > 0.700) and (socially controversial > 0.700) then response: -0.147
16,If (positive > 0.700) and (negative <= 0.500) and (positive <= 0.900) and (technically complicated <= 0.500) and (unambiguous <= 0.700) then response: -0.185
17,If (positive > 0.700) and (negative <= 0.500) and (positive <= 0.900) and (technically complicated <= 0.500) and (unambiguous > 0.700) then response: -0.303
18,If (positive > 0.700) and (negative <= 0.500) and (positive <= 0.900) and (technically complicated > 0.500) and (socially controversial <= 0.500) then response: -0.220
19,If (positive > 0.700) and (negative <= 0.500) and (positive <= 0.900) and (technically complicated > 0.500) and (socially controversial > 0.500) then response: -0.254
20,If (positive > 0.700) and (negative <= 0.500) and (positive > 0.900) and (subject to geographical variability <= 0.900) and (interdisciplinary <= 0.700) then response: -0.443
21,If (positive > 0.700) and (negative <= 0.500) and (positive > 0.900) and (subject to geographical variability <= 0.900) and (interdisciplinary > 0.700) then response: -0.133
22,If (positive > 0.700) and (negative <= 0.500) and (positive > 0.900) and (subject to geographical variability > 0.900) and (neutral <= 0.700) then response: -0.365
23,If (positive > 0.700) and (negative <= 0.500) and (positive > 0.900) and (subject to geographical variability > 0.900) and (neutral > 0.700) then response: -0.448
24,If (positive > 0.700) and (negative > 0.500) and (negative <= 0.700) and (interdisciplinary <= 0.900) and (interdisciplinary <= 0.700) then response: -0.064
25,If (positive > 0.700) and (negative > 0.500) and (negative <= 0.700) and (interdisciplinary <= 0.900) and (interdisciplinary > 0.700) then response: -0.323
26,If (positive > 0.700) and (negative > 0.500) and (negative <= 0.700) and (interdisciplinary > 0.900) and (technically complicated <= 0.700) then response: -0.388
27,If (positive > 0.700) and (negative > 0.500) and (negative <= 0.700) and (interdisciplinary > 0.900) and (technically complicated > 0.700) then response: -0.273
28,If (positive > 0.700) and (negative > 0.500) and (negative > 0.700) and (common <= 0.900) and (interdisciplinary <= 0.900) then response: -0.368
29,If (positive > 0.700) and (negative > 0.500) and (negative > 0.700) and (common <= 0.900) and (interdisciplinary > 0.900) then response: -0.289
30,If (positive > 0.700) and (negative > 0.500) and (negative > 0.700) and (common > 0.900) and (technically complicated <= 0.700) then response: -0.320
31,If (positive > 0.700) and (negative > 0.500) and (negative > 0.700) and (common > 0.900) and (technically complicated > 0.700) then response: -0.109
