,rule
0,If (common <= 0.900) and (technically complicated <= 0.500) and (socially controversial <= 0.700) then response: 0.000
1,If (common <= 0.900) and (technically complicated <= 0.500) and (socially controversial > 0.700) and (subject to time variability <= 0.700) and (conceptually dense <= 0.700) then response: 0.880
2,If (common <= 0.900) and (technically complicated <= 0.500) and (socially controversial > 0.700) and (subject to time variability <= 0.700) and (conceptually dense > 0.700) then response: 0.000
3,If (common <= 0.900) and (technically complicated <= 0.500) and (socially controversial > 0.700) and (subject to time variability > 0.700) then response: 0.000
4,If (common <= 0.900) and (technically complicated > 0.500) then response: 0.000
5,If (common > 0.900) and (socially controversial <= 0.500) and (conceptually dense <= 0.500) and (technically complicated <= 0.300) then response: 17.800
6,If (common > 0.900) and (socially controversial <= 0.500) and (conceptually dense <= 0.500) and (technically complicated > 0.300) and (subject to time variability <= 0.500) then response: 13.686
7,If (common > 0.900) and (socially controversial <= 0.500) and (conceptually dense <= 0.500) and (technically complicated > 0.300) and (subject to time variability > 0.500) then response: 15.250
8,If (common > 0.900) and (socially controversial <= 0.500) and (conceptually dense > 0.500) and (positive <= 0.300) then response: 13.900
9,If (common > 0.900) and (socially controversial <= 0.500) and (conceptually dense > 0.500) and (positive > 0.300) and (socially controversial <= 0.300) then response: 16.118
10,If (common > 0.900) and (socially controversial <= 0.500) and (conceptually dense > 0.500) and (positive > 0.300) and (socially controversial > 0.300) then response: 15.482
11,If (common > 0.900) and (socially controversial > 0.500) and (subject to geographical variability <= 0.900) and (positive <= 0.500) and (neutral <= 0.500) then response: 15.733
12,If (common > 0.900) and (socially controversial > 0.500) and (subject to geographical variability <= 0.900) and (positive <= 0.500) and (neutral > 0.500) then response: 16.650
13,If (common > 0.900) and (socially controversial > 0.500) and (subject to geographical variability <= 0.900) and (positive > 0.500) and (neutral <= 0.500) then response: 16.973
14,If (common > 0.900) and (socially controversial > 0.500) and (subject to geographical variability <= 0.900) and (positive > 0.500) and (neutral > 0.500) then response: 16.220
15,If (common > 0.900) and (socially controversial > 0.500) and (subject to geographical variability > 0.900) and (negative <= 0.500) and (neutral <= 0.500) then response: 16.233
16,If (common > 0.900) and (socially controversial > 0.500) and (subject to geographical variability > 0.900) and (negative <= 0.500) and (neutral > 0.500) then response: 15.000
17,If (common > 0.900) and (socially controversial > 0.500) and (subject to geographical variability > 0.900) and (negative > 0.500) and (socially controversial <= 0.900) then response: 17.900
18,If (common > 0.900) and (socially controversial > 0.500) and (subject to geographical variability > 0.900) and (negative > 0.500) and (socially controversial > 0.900) then response: 16.857
