,rule
0,If (positive <= 0.700) and (conceptually dense <= 0.700) and (subject to time variability <= 0.500) and (interdisciplinary <= 0.500) and (common <= 0.500) then response: 17.835
1,If (positive <= 0.700) and (conceptually dense <= 0.700) and (subject to time variability <= 0.500) and (interdisciplinary <= 0.500) and (common > 0.500) then response: 10.390
2,If (positive <= 0.700) and (conceptually dense <= 0.700) and (subject to time variability <= 0.500) and (interdisciplinary > 0.500) and (interdisciplinary <= 0.700) then response: 16.328
3,If (positive <= 0.700) and (conceptually dense <= 0.700) and (subject to time variability <= 0.500) and (interdisciplinary > 0.500) and (interdisciplinary > 0.700) then response: 11.600
4,If (positive <= 0.700) and (conceptually dense <= 0.700) and (subject to time variability > 0.500) and (conceptually dense <= 0.500) and (common <= 0.900) then response: 16.553
5,If (positive <= 0.700) and (conceptually dense <= 0.700) and (subject to time variability > 0.500) and (conceptually dense <= 0.500) and (common > 0.900) then response: 13.714
6,If (positive <= 0.700) and (conceptually dense <= 0.700) and (subject to time variability > 0.500) and (conceptually dense > 0.500) and (neutral <= 0.700) then response: 17.473
7,If (positive <= 0.700) and (conceptually dense <= 0.700) and (subject to time variability > 0.500) and (conceptually dense > 0.500) and (neutral > 0.700) then response: 18.426
8,If (positive <= 0.700) and (conceptually dense > 0.700) and (unambiguous <= 0.500) and (common <= 0.500) and (positive <= 0.500) then response: 19.988
9,If (positive <= 0.700) and (conceptually dense > 0.700) and (unambiguous <= 0.500) and (common <= 0.500) and (positive > 0.500) then response: 17.168
10,If (positive <= 0.700) and (conceptually dense > 0.700) and (unambiguous <= 0.500) and (common > 0.500) and (positive <= 0.500) then response: 19.275
11,If (positive <= 0.700) and (conceptually dense > 0.700) and (unambiguous <= 0.500) and (common > 0.500) and (positive > 0.500) then response: 20.212
12,If (positive <= 0.700) and (conceptually dense > 0.700) and (unambiguous > 0.500) and (technically complicated <= 0.700) and (common <= 0.700) then response: 19.328
13,If (positive <= 0.700) and (conceptually dense > 0.700) and (unambiguous > 0.500) and (technically complicated <= 0.700) and (common > 0.700) then response: 18.575
14,If (positive <= 0.700) and (conceptually dense > 0.700) and (unambiguous > 0.500) and (technically complicated > 0.700) and (positive <= 0.500) then response: 17.049
15,If (positive <= 0.700) and (conceptually dense > 0.700) and (unambiguous > 0.500) and (technically complicated > 0.700) and (positive > 0.500) then response: 18.624
16,If (positive > 0.700) and (common <= 0.500) and (conceptually dense <= 0.700) and (socially controversial <= 0.300) and (subject to geographical variability <= 0.500) then response: 14.050
17,If (positive > 0.700) and (common <= 0.500) and (conceptually dense <= 0.700) and (socially controversial <= 0.300) and (subject to geographical variability > 0.500) then response: 16.182
18,If (positive > 0.700) and (common <= 0.500) and (conceptually dense <= 0.700) and (socially controversial > 0.300) and (technically complicated <= 0.500) then response: 16.584
19,If (positive > 0.700) and (common <= 0.500) and (conceptually dense <= 0.700) and (socially controversial > 0.300) and (technically complicated > 0.500) then response: 16.908
20,If (positive > 0.700) and (common <= 0.500) and (conceptually dense > 0.700) and (unambiguous <= 0.500) and (neutral <= 0.500) then response: 19.280
21,If (positive > 0.700) and (common <= 0.500) and (conceptually dense > 0.700) and (unambiguous <= 0.500) and (neutral > 0.500) then response: 17.418
22,If (positive > 0.700) and (common <= 0.500) and (conceptually dense > 0.700) and (unambiguous > 0.500) and (technically complicated <= 0.700) then response: 16.881
23,If (positive > 0.700) and (common <= 0.500) and (conceptually dense > 0.700) and (unambiguous > 0.500) and (technically complicated > 0.700) then response: 17.121
24,If (positive > 0.700) and (common > 0.500) and (conceptually dense <= 0.700) and (conceptually dense <= 0.500) and (socially controversial <= 0.500) then response: 20.008
25,If (positive > 0.700) and (common > 0.500) and (conceptually dense <= 0.700) and (conceptually dense <= 0.500) and (socially controversial > 0.500) then response: 21.681
26,If (positive > 0.700) and (common > 0.500) and (conceptually dense <= 0.700) and (conceptually dense > 0.500) and (technically complicated <= 0.500) then response: 21.256
27,If (positive > 0.700) and (common > 0.500) and (conceptually dense <= 0.700) and (conceptually dense > 0.500) and (technically complicated > 0.500) then response: 22.125
28,If (positive > 0.700) and (common > 0.500) and (conceptually dense > 0.700) and (technically complicated <= 0.500) and (unambiguous <= 0.500) then response: 21.511
29,If (positive > 0.700) and (common > 0.500) and (conceptually dense > 0.700) and (technically complicated <= 0.500) and (unambiguous > 0.500) then response: 22.246
30,If (positive > 0.700) and (common > 0.500) and (conceptually dense > 0.700) and (technically complicated > 0.500) and (common <= 0.700) then response: 23.534
31,If (positive > 0.700) and (common > 0.500) and (conceptually dense > 0.700) and (technically complicated > 0.500) and (common > 0.700) then response: 22.937
