,rule
0,If (positive <= 0.700) and (positive <= 0.500) and (subject to geographical variability <= 0.900) and (unambiguous <= 0.500) and (subject to geographical variability <= 0.500) then response: 0.600
1,If (positive <= 0.700) and (positive <= 0.500) and (subject to geographical variability <= 0.900) and (unambiguous <= 0.500) and (subject to geographical variability > 0.500) then response: 0.029
2,If (positive <= 0.700) and (positive <= 0.500) and (subject to geographical variability <= 0.900) and (unambiguous > 0.500) and (technically complicated <= 0.500) then response: 0.083
3,If (positive <= 0.700) and (positive <= 0.500) and (subject to geographical variability <= 0.900) and (unambiguous > 0.500) and (technically complicated > 0.500) then response: -0.000
4,If (positive <= 0.700) and (positive <= 0.500) and (subject to geographical variability > 0.900) and (subject to time variability <= 0.900) and (technically complicated <= 0.700) then response: 0.081
5,If (positive <= 0.700) and (positive <= 0.500) and (subject to geographical variability > 0.900) and (subject to time variability <= 0.900) and (technically complicated > 0.700) then response: 0.014
6,If (positive <= 0.700) and (positive <= 0.500) and (subject to geographical variability > 0.900) and (subject to time variability > 0.900) and (technically complicated <= 0.500) then response: 0.481
7,If (positive <= 0.700) and (positive <= 0.500) and (subject to geographical variability > 0.900) and (subject to time variability > 0.900) and (technically complicated > 0.500) then response: 0.158
8,If (positive <= 0.700) and (positive > 0.500) and (socially controversial <= 0.900) and (common <= 0.500) and (neutral <= 0.700) then response: 0.118
9,If (positive <= 0.700) and (positive > 0.500) and (socially controversial <= 0.900) and (common <= 0.500) and (neutral > 0.700) then response: 0.070
10,If (positive <= 0.700) and (positive > 0.500) and (socially controversial <= 0.900) and (common > 0.500) and (socially controversial <= 0.700) then response: 0.044
11,If (positive <= 0.700) and (positive > 0.500) and (socially controversial <= 0.900) and (common > 0.500) and (socially controversial > 0.700) then response: 0.073
12,If (positive <= 0.700) and (positive > 0.500) and (socially controversial > 0.900) and (interdisciplinary <= 0.700) and (common <= 0.700) then response: -0.050
13,If (positive <= 0.700) and (positive > 0.500) and (socially controversial > 0.900) and (interdisciplinary <= 0.700) and (common > 0.700) then response: 0.271
14,If (positive <= 0.700) and (positive > 0.500) and (socially controversial > 0.900) and (interdisciplinary > 0.700) and (subject to geographical variability <= 0.900) then response: 0.076
15,If (positive <= 0.700) and (positive > 0.500) and (socially controversial > 0.900) and (interdisciplinary > 0.700) and (subject to geographical variability > 0.900) then response: 0.151
16,If (positive > 0.700) and (common <= 0.500) and (neutral <= 0.700) and (negative <= 0.300) and (subject to time variability <= 0.500) then response: -0.021
17,If (positive > 0.700) and (common <= 0.500) and (neutral <= 0.700) and (negative <= 0.300) and (subject to time variability > 0.500) then response: 0.013
18,If (positive > 0.700) and (common <= 0.500) and (neutral <= 0.700) and (negative > 0.300) and (technically complicated <= 0.700) then response: 0.076
19,If (positive > 0.700) and (common <= 0.500) and (neutral <= 0.700) and (negative > 0.300) and (technically complicated > 0.700) then response: 0.096
20,If (positive > 0.700) and (common <= 0.500) and (neutral > 0.700) and (technically complicated <= 0.300) then response: -0.001
21,If (positive > 0.700) and (common <= 0.500) and (neutral > 0.700) and (technically complicated > 0.300) and (technically complicated <= 0.500) then response: 0.103
22,If (positive > 0.700) and (common <= 0.500) and (neutral > 0.700) and (technically complicated > 0.300) and (technically complicated > 0.500) then response: 0.087
23,If (positive > 0.700) and (common > 0.500) and (neutral <= 0.700) and (positive <= 0.900) and (subject to time variability <= 0.700) then response: -0.077
24,If (positive > 0.700) and (common > 0.500) and (neutral <= 0.700) and (positive <= 0.900) and (subject to time variability > 0.700) then response: -0.051
25,If (positive > 0.700) and (common > 0.500) and (neutral <= 0.700) and (positive > 0.900) and (subject to geographical variability <= 0.700) then response: -0.046
26,If (positive > 0.700) and (common > 0.500) and (neutral <= 0.700) and (positive > 0.900) and (subject to geographical variability > 0.700) then response: 0.057
27,If (positive > 0.700) and (common > 0.500) and (neutral > 0.700) and (interdisciplinary <= 0.700) and (positive <= 0.900) then response: -0.128
28,If (positive > 0.700) and (common > 0.500) and (neutral > 0.700) and (interdisciplinary <= 0.700) and (positive > 0.900) then response: -0.081
29,If (positive > 0.700) and (common > 0.500) and (neutral > 0.700) and (interdisciplinary > 0.700) and (subject to geographical variability <= 0.700) then response: -0.109
30,If (positive > 0.700) and (common > 0.500) and (neutral > 0.700) and (interdisciplinary > 0.700) and (subject to geographical variability > 0.700) then response: -0.083
