,rule
0,If (technically complicated <= 0.700) and (socially controversial <= 0.700) and (common <= 0.700) and (negative <= 0.500) and (subject to geographical variability <= 0.500) then response: 2.333
1,If (technically complicated <= 0.700) and (socially controversial <= 0.700) and (common <= 0.700) and (negative <= 0.500) and (subject to geographical variability > 0.500) then response: 2.034
2,If (technically complicated <= 0.700) and (socially controversial <= 0.700) and (common <= 0.700) and (negative > 0.500) and (subject to time variability <= 0.700) then response: 4.000
3,If (technically complicated <= 0.700) and (socially controversial <= 0.700) and (common <= 0.700) and (negative > 0.500) and (subject to time variability > 0.700) then response: 2.318
4,If (technically complicated <= 0.700) and (socially controversial <= 0.700) and (common > 0.700) and (negative <= 0.300) and (technically complicated <= 0.500) then response: 2.767
5,If (technically complicated <= 0.700) and (socially controversial <= 0.700) and (common > 0.700) and (negative <= 0.300) and (technically complicated > 0.500) then response: 3.360
6,If (technically complicated <= 0.700) and (socially controversial <= 0.700) and (common > 0.700) and (negative > 0.300) and (technically complicated <= 0.500) then response: 2.392
7,If (technically complicated <= 0.700) and (socially controversial <= 0.700) and (common > 0.700) and (negative > 0.300) and (technically complicated > 0.500) then response: 2.605
8,If (technically complicated <= 0.700) and (socially controversial > 0.700) and (unambiguous <= 0.700) and (neutral <= 0.700) and (positive <= 0.500) then response: 2.293
9,If (technically complicated <= 0.700) and (socially controversial > 0.700) and (unambiguous <= 0.700) and (neutral <= 0.700) and (positive > 0.500) then response: 2.534
10,If (technically complicated <= 0.700) and (socially controversial > 0.700) and (unambiguous <= 0.700) and (neutral > 0.700) and (common <= 0.700) then response: 2.111
11,If (technically complicated <= 0.700) and (socially controversial > 0.700) and (unambiguous <= 0.700) and (neutral > 0.700) and (common > 0.700) then response: 2.297
12,If (technically complicated <= 0.700) and (socially controversial > 0.700) and (unambiguous > 0.700) and (conceptually dense <= 0.700) and (positive <= 0.300) then response: 4.000
13,If (technically complicated <= 0.700) and (socially controversial > 0.700) and (unambiguous > 0.700) and (conceptually dense <= 0.700) and (positive > 0.300) then response: 2.667
14,If (technically complicated <= 0.700) and (socially controversial > 0.700) and (unambiguous > 0.700) and (conceptually dense > 0.700) and (positive <= 0.500) then response: 2.115
15,If (technically complicated <= 0.700) and (socially controversial > 0.700) and (unambiguous > 0.700) and (conceptually dense > 0.700) and (positive > 0.500) then response: 2.230
16,If (technically complicated > 0.700) and (conceptually dense <= 0.900) and (common <= 0.700) and (subject to geographical variability <= 0.700) and (subject to time variability <= 0.700) then response: 2.458
17,If (technically complicated > 0.700) and (conceptually dense <= 0.900) and (common <= 0.700) and (subject to geographical variability <= 0.700) and (subject to time variability > 0.700) then response: 3.440
18,If (technically complicated > 0.700) and (conceptually dense <= 0.900) and (common <= 0.700) and (subject to geographical variability > 0.700) and (unambiguous <= 0.700) then response: 2.663
19,If (technically complicated > 0.700) and (conceptually dense <= 0.900) and (common <= 0.700) and (subject to geographical variability > 0.700) and (unambiguous > 0.700) then response: 2.441
20,If (technically complicated > 0.700) and (conceptually dense <= 0.900) and (common > 0.700) and (common <= 0.900) and (unambiguous <= 0.700) then response: 2.940
21,If (technically complicated > 0.700) and (conceptually dense <= 0.900) and (common > 0.700) and (common <= 0.900) and (unambiguous > 0.700) then response: 2.784
22,If (technically complicated > 0.700) and (conceptually dense <= 0.900) and (common > 0.700) and (common > 0.900) and (unambiguous <= 0.700) then response: 3.571
23,If (technically complicated > 0.700) and (conceptually dense <= 0.900) and (common > 0.700) and (common > 0.900) and (unambiguous > 0.700) then response: 3.079
24,If (technically complicated > 0.700) and (conceptually dense > 0.900) and (socially controversial <= 0.900) and (subject to geographical variability <= 0.900) and (technically complicated <= 0.900) then response: 3.439
25,If (technically complicated > 0.700) and (conceptually dense > 0.900) and (socially controversial <= 0.900) and (subject to geographical variability <= 0.900) and (technically complicated > 0.900) then response: 3.838
26,If (technically complicated > 0.700) and (conceptually dense > 0.900) and (socially controversial <= 0.900) and (subject to geographical variability > 0.900) and (negative <= 0.500) then response: 2.000
27,If (technically complicated > 0.700) and (conceptually dense > 0.900) and (socially controversial <= 0.900) and (subject to geographical variability > 0.900) and (negative > 0.500) then response: 3.000
28,If (technically complicated > 0.700) and (conceptually dense > 0.900) and (socially controversial > 0.900) and (unambiguous <= 0.500) and (neutral <= 0.700) then response: 3.182
29,If (technically complicated > 0.700) and (conceptually dense > 0.900) and (socially controversial > 0.900) and (unambiguous <= 0.500) and (neutral > 0.700) then response: 2.000
30,If (technically complicated > 0.700) and (conceptually dense > 0.900) and (socially controversial > 0.900) and (unambiguous > 0.500) and (subject to geographical variability <= 0.900) then response: 2.182
31,If (technically complicated > 0.700) and (conceptually dense > 0.900) and (socially controversial > 0.900) and (unambiguous > 0.500) and (subject to geographical variability > 0.900) then response: 2.667
