,rule
0,If (common <= 0.900) and (conceptually dense <= 0.700) and (neutral <= 0.700) and (negative <= 0.700) and (socially controversial <= 0.500) then response: 21.269
1,If (common <= 0.900) and (conceptually dense <= 0.700) and (neutral <= 0.700) and (negative <= 0.700) and (socially controversial > 0.500) then response: 18.304
2,If (common <= 0.900) and (conceptually dense <= 0.700) and (neutral <= 0.700) and (negative > 0.700) and (conceptually dense <= 0.500) then response: 15.184
3,If (common <= 0.900) and (conceptually dense <= 0.700) and (neutral <= 0.700) and (negative > 0.700) and (conceptually dense > 0.500) then response: 18.174
4,If (common <= 0.900) and (conceptually dense <= 0.700) and (neutral > 0.700) and (conceptually dense <= 0.500) and (unambiguous <= 0.500) then response: 9.050
5,If (common <= 0.900) and (conceptually dense <= 0.700) and (neutral > 0.700) and (conceptually dense <= 0.500) and (unambiguous > 0.500) then response: 16.576
6,If (common <= 0.900) and (conceptually dense <= 0.700) and (neutral > 0.700) and (conceptually dense > 0.500) and (negative <= 0.300) then response: 18.445
7,If (common <= 0.900) and (conceptually dense <= 0.700) and (neutral > 0.700) and (conceptually dense > 0.500) and (negative > 0.300) then response: 17.170
8,If (common <= 0.900) and (conceptually dense > 0.700) and (socially controversial <= 0.700) and (interdisciplinary <= 0.900) and (socially controversial <= 0.300) then response: 17.177
9,If (common <= 0.900) and (conceptually dense > 0.700) and (socially controversial <= 0.700) and (interdisciplinary <= 0.900) and (socially controversial > 0.300) then response: 19.141
10,If (common <= 0.900) and (conceptually dense > 0.700) and (socially controversial <= 0.700) and (interdisciplinary > 0.900) and (conceptually dense <= 0.900) then response: 19.922
11,If (common <= 0.900) and (conceptually dense > 0.700) and (socially controversial <= 0.700) and (interdisciplinary > 0.900) and (conceptually dense > 0.900) then response: 21.257
12,If (common <= 0.900) and (conceptually dense > 0.700) and (socially controversial > 0.700) and (common <= 0.700) and (unambiguous <= 0.700) then response: 22.556
13,If (common <= 0.900) and (conceptually dense > 0.700) and (socially controversial > 0.700) and (common <= 0.700) and (unambiguous > 0.700) then response: 20.984
14,If (common <= 0.900) and (conceptually dense > 0.700) and (socially controversial > 0.700) and (common > 0.700) and (socially controversial <= 0.900) then response: 20.172
15,If (common <= 0.900) and (conceptually dense > 0.700) and (socially controversial > 0.700) and (common > 0.700) and (socially controversial > 0.900) then response: 21.491
16,If (common > 0.900) and (interdisciplinary <= 0.900) and (conceptually dense <= 0.500) and (neutral <= 0.700) and (unambiguous <= 0.600) then response: 12.620
17,If (common > 0.900) and (interdisciplinary <= 0.900) and (conceptually dense <= 0.500) and (neutral <= 0.700) and (unambiguous > 0.600) then response: 14.638
18,If (common > 0.900) and (interdisciplinary <= 0.900) and (conceptually dense <= 0.500) and (neutral > 0.700) and (unambiguous <= 0.900) then response: 12.698
19,If (common > 0.900) and (interdisciplinary <= 0.900) and (conceptually dense <= 0.500) and (neutral > 0.700) and (unambiguous > 0.900) then response: 15.040
20,If (common > 0.900) and (interdisciplinary <= 0.900) and (conceptually dense > 0.500) and (positive <= 0.900) and (socially controversial <= 0.300) then response: 12.334
21,If (common > 0.900) and (interdisciplinary <= 0.900) and (conceptually dense > 0.500) and (positive <= 0.900) and (socially controversial > 0.300) then response: 13.561
22,If (common > 0.900) and (interdisciplinary <= 0.900) and (conceptually dense > 0.500) and (positive > 0.900) and (socially controversial <= 0.300) then response: 14.445
23,If (common > 0.900) and (interdisciplinary <= 0.900) and (conceptually dense > 0.500) and (positive > 0.900) and (socially controversial > 0.300) then response: 13.880
24,If (common > 0.900) and (interdisciplinary > 0.900) and (negative <= 0.500) and (subject to time variability <= 0.700) and (technically complicated <= 0.500) then response: 12.797
25,If (common > 0.900) and (interdisciplinary > 0.900) and (negative <= 0.500) and (subject to time variability <= 0.700) and (technically complicated > 0.500) then response: 14.400
26,If (common > 0.900) and (interdisciplinary > 0.900) and (negative <= 0.500) and (subject to time variability > 0.700) and (positive <= 0.600) then response: 12.120
27,If (common > 0.900) and (interdisciplinary > 0.900) and (negative <= 0.500) and (subject to time variability > 0.700) and (positive > 0.600) then response: 14.439
28,If (common > 0.900) and (interdisciplinary > 0.900) and (negative > 0.500) and (subject to time variability <= 0.900) and (positive <= 0.700) then response: 15.031
29,If (common > 0.900) and (interdisciplinary > 0.900) and (negative > 0.500) and (subject to time variability <= 0.900) and (positive > 0.700) then response: 14.436
30,If (common > 0.900) and (interdisciplinary > 0.900) and (negative > 0.500) and (subject to time variability > 0.900) and (negative <= 0.700) then response: 17.285
31,If (common > 0.900) and (interdisciplinary > 0.900) and (negative > 0.500) and (subject to time variability > 0.900) and (negative > 0.700) then response: 15.470
