,rule
0,If (positive <= 0.700) and (interdisciplinary <= 0.900) and (neutral <= 0.700) and (positive <= 0.500) and (neutral <= 0.500) then response: 2.691
1,If (positive <= 0.700) and (interdisciplinary <= 0.900) and (neutral <= 0.700) and (positive <= 0.500) and (neutral > 0.500) then response: 2.426
2,If (positive <= 0.700) and (interdisciplinary <= 0.900) and (neutral <= 0.700) and (positive > 0.500) and (common <= 0.700) then response: 2.500
3,If (positive <= 0.700) and (interdisciplinary <= 0.900) and (neutral <= 0.700) and (positive > 0.500) and (common > 0.700) then response: 1.929
4,If (positive <= 0.700) and (interdisciplinary <= 0.900) and (neutral > 0.700) and (negative <= 0.700) and (technically complicated <= 0.500) then response: 2.667
5,If (positive <= 0.700) and (interdisciplinary <= 0.900) and (neutral > 0.700) and (negative <= 0.700) and (technically complicated > 0.500) then response: 1.716
6,If (positive <= 0.700) and (interdisciplinary <= 0.900) and (neutral > 0.700) and (negative > 0.700) and (conceptually dense <= 0.500) then response: 4.000
7,If (positive <= 0.700) and (interdisciplinary <= 0.900) and (neutral > 0.700) and (negative > 0.700) and (conceptually dense > 0.500) then response: 2.061
8,If (positive <= 0.700) and (interdisciplinary > 0.900) and (positive <= 0.300) and (neutral <= 0.700) and (socially controversial <= 0.900) then response: 4.667
9,If (positive <= 0.700) and (interdisciplinary > 0.900) and (positive <= 0.300) and (neutral <= 0.700) and (socially controversial > 0.900) then response: 4.321
10,If (positive <= 0.700) and (interdisciplinary > 0.900) and (positive <= 0.300) and (neutral > 0.700) and (unambiguous <= 0.700) then response: 4.368
11,If (positive <= 0.700) and (interdisciplinary > 0.900) and (positive <= 0.300) and (neutral > 0.700) and (unambiguous > 0.700) then response: 4.175
12,If (positive <= 0.700) and (interdisciplinary > 0.900) and (positive > 0.300) and (negative <= 0.500) and (neutral <= 0.700) then response: 4.500
13,If (positive <= 0.700) and (interdisciplinary > 0.900) and (positive > 0.300) and (negative <= 0.500) and (neutral > 0.700) then response: 3.864
14,If (positive <= 0.700) and (interdisciplinary > 0.900) and (positive > 0.300) and (negative > 0.500) and (positive <= 0.500) then response: 4.095
15,If (positive <= 0.700) and (interdisciplinary > 0.900) and (positive > 0.300) and (negative > 0.500) and (positive > 0.500) then response: 4.016
16,If (positive > 0.700) and (interdisciplinary <= 0.900) and (negative <= 0.700) and (common <= 0.500) and (subject to time variability <= 0.500) then response: 4.833
17,If (positive > 0.700) and (interdisciplinary <= 0.900) and (negative <= 0.700) and (common <= 0.500) and (subject to time variability > 0.500) then response: 4.333
18,If (positive > 0.700) and (interdisciplinary <= 0.900) and (negative <= 0.700) and (common > 0.500) and (positive <= 0.900) then response: 4.616
19,If (positive > 0.700) and (interdisciplinary <= 0.900) and (negative <= 0.700) and (common > 0.500) and (positive > 0.900) then response: 4.507
20,If (positive > 0.700) and (interdisciplinary <= 0.900) and (negative > 0.700) and (subject to time variability <= 0.700) then response: 4.000
21,If (positive > 0.700) and (interdisciplinary <= 0.900) and (negative > 0.700) and (subject to time variability > 0.700) and (unambiguous <= 0.700) then response: 4.707
22,If (positive > 0.700) and (interdisciplinary <= 0.900) and (negative > 0.700) and (subject to time variability > 0.700) and (unambiguous > 0.700) then response: 4.853
23,If (positive > 0.700) and (interdisciplinary > 0.900) and (common <= 0.500) and (technically complicated <= 0.700) and (socially controversial <= 0.600) then response: 5.000
24,If (positive > 0.700) and (interdisciplinary > 0.900) and (common <= 0.500) and (technically complicated <= 0.700) and (socially controversial > 0.600) then response: 4.500
25,If (positive > 0.700) and (interdisciplinary > 0.900) and (common <= 0.500) and (technically complicated > 0.700) and (neutral <= 0.700) then response: 4.636
26,If (positive > 0.700) and (interdisciplinary > 0.900) and (common <= 0.500) and (technically complicated > 0.700) and (neutral > 0.700) then response: 4.847
27,If (positive > 0.700) and (interdisciplinary > 0.900) and (common > 0.500) and (unambiguous <= 0.700) and (subject to time variability <= 0.900) then response: 4.959
28,If (positive > 0.700) and (interdisciplinary > 0.900) and (common > 0.500) and (unambiguous <= 0.700) and (subject to time variability > 0.900) then response: 4.864
29,If (positive > 0.700) and (interdisciplinary > 0.900) and (common > 0.500) and (unambiguous > 0.700) and (technically complicated <= 0.700) then response: 4.959
30,If (positive > 0.700) and (interdisciplinary > 0.900) and (common > 0.500) and (unambiguous > 0.700) and (technically complicated > 0.700) then response: 4.987
