,rule
0,If (interdisciplinary <= 0.900) and (positive <= 0.700) and (common <= 0.500) and (positive <= 0.500) and (neutral <= 0.700) then response: 1.000
1,If (interdisciplinary <= 0.900) and (positive <= 0.700) and (common <= 0.500) and (positive <= 0.500) and (neutral > 0.700) then response: 1.111
2,If (interdisciplinary <= 0.900) and (positive <= 0.700) and (common <= 0.500) and (positive > 0.500) and (neutral <= 0.700) then response: 3.000
3,If (interdisciplinary <= 0.900) and (positive <= 0.700) and (common <= 0.500) and (positive > 0.500) and (neutral > 0.700) then response: 4.000
4,If (interdisciplinary <= 0.900) and (positive <= 0.700) and (common > 0.500) and (subject to geographical variability <= 0.700) and (subject to time variability <= 0.700) then response: 1.000
5,If (interdisciplinary <= 0.900) and (positive <= 0.700) and (common > 0.500) and (subject to geographical variability <= 0.700) and (subject to time variability > 0.700) then response: 1.125
6,If (interdisciplinary <= 0.900) and (positive <= 0.700) and (common > 0.500) and (subject to geographical variability > 0.700) and (neutral <= 0.500) then response: 1.013
7,If (interdisciplinary <= 0.900) and (positive <= 0.700) and (common > 0.500) and (subject to geographical variability > 0.700) and (neutral > 0.500) then response: 1.000
8,If (interdisciplinary <= 0.900) and (positive > 0.700) and (conceptually dense <= 0.700) and (common <= 0.900) and (negative <= 0.300) then response: 1.141
9,If (interdisciplinary <= 0.900) and (positive > 0.700) and (conceptually dense <= 0.700) and (common <= 0.900) and (negative > 0.300) then response: 1.334
10,If (interdisciplinary <= 0.900) and (positive > 0.700) and (conceptually dense <= 0.700) and (common > 0.900) and (technically complicated <= 0.500) then response: 1.444
11,If (interdisciplinary <= 0.900) and (positive > 0.700) and (conceptually dense <= 0.700) and (common > 0.900) and (technically complicated > 0.500) then response: 1.875
12,If (interdisciplinary <= 0.900) and (positive > 0.700) and (conceptually dense > 0.700) and (common <= 0.500) and (neutral <= 0.900) then response: 2.192
13,If (interdisciplinary <= 0.900) and (positive > 0.700) and (conceptually dense > 0.700) and (common <= 0.500) and (neutral > 0.900) then response: 4.000
14,If (interdisciplinary <= 0.900) and (positive > 0.700) and (conceptually dense > 0.700) and (common > 0.500) and (conceptually dense <= 0.900) then response: 1.576
15,If (interdisciplinary <= 0.900) and (positive > 0.700) and (conceptually dense > 0.700) and (common > 0.500) and (conceptually dense > 0.900) then response: 3.200
16,If (interdisciplinary > 0.900) and (common <= 0.500) and (positive <= 0.500) and (technically complicated <= 0.500) then response: 4.000
17,If (interdisciplinary > 0.900) and (common <= 0.500) and (positive <= 0.500) and (technically complicated > 0.500) and (negative <= 0.900) then response: 4.976
18,If (interdisciplinary > 0.900) and (common <= 0.500) and (positive <= 0.500) and (technically complicated > 0.500) and (negative > 0.900) then response: 4.500
19,If (interdisciplinary > 0.900) and (common <= 0.500) and (positive > 0.500) and (socially controversial <= 0.700) and (subject to geographical variability <= 0.700) then response: 4.667
20,If (interdisciplinary > 0.900) and (common <= 0.500) and (positive > 0.500) and (socially controversial <= 0.700) and (subject to geographical variability > 0.700) then response: 4.182
21,If (interdisciplinary > 0.900) and (common <= 0.500) and (positive > 0.500) and (socially controversial > 0.700) and (conceptually dense <= 0.900) then response: 4.459
22,If (interdisciplinary > 0.900) and (common <= 0.500) and (positive > 0.500) and (socially controversial > 0.700) and (conceptually dense > 0.900) then response: 4.826
23,If (interdisciplinary > 0.900) and (common > 0.500) and (technically complicated <= 0.700) and (socially controversial <= 0.500) and (positive <= 0.700) then response: 4.947
24,If (interdisciplinary > 0.900) and (common > 0.500) and (technically complicated <= 0.700) and (socially controversial <= 0.500) and (positive > 0.700) then response: 4.591
25,If (interdisciplinary > 0.900) and (common > 0.500) and (technically complicated <= 0.700) and (socially controversial > 0.500) and (technically complicated <= 0.500) then response: 4.697
26,If (interdisciplinary > 0.900) and (common > 0.500) and (technically complicated <= 0.700) and (socially controversial > 0.500) and (technically complicated > 0.500) then response: 4.793
27,If (interdisciplinary > 0.900) and (common > 0.500) and (technically complicated > 0.700) and (positive <= 0.700) and (positive <= 0.300) then response: 4.794
28,If (interdisciplinary > 0.900) and (common > 0.500) and (technically complicated > 0.700) and (positive <= 0.700) and (positive > 0.300) then response: 4.947
29,If (interdisciplinary > 0.900) and (common > 0.500) and (technically complicated > 0.700) and (positive > 0.700) and (subject to geographical variability <= 0.500) then response: 5.000
30,If (interdisciplinary > 0.900) and (common > 0.500) and (technically complicated > 0.700) and (positive > 0.700) and (subject to geographical variability > 0.500) then response: 4.834
