,rule
0,If (socially controversial <= 0.500) and (technically complicated <= 0.700) and (socially controversial <= 0.300) and (conceptually dense <= 0.700) and (common <= 0.700) then response: 3.333
1,If (socially controversial <= 0.500) and (technically complicated <= 0.700) and (socially controversial <= 0.300) and (conceptually dense <= 0.700) and (common > 0.700) then response: 3.737
2,If (socially controversial <= 0.500) and (technically complicated <= 0.700) and (socially controversial <= 0.300) and (conceptually dense > 0.700) then response: 2.000
3,If (socially controversial <= 0.500) and (technically complicated <= 0.700) and (socially controversial > 0.300) and (interdisciplinary <= 0.500) and (positive <= 0.700) then response: 3.000
4,If (socially controversial <= 0.500) and (technically complicated <= 0.700) and (socially controversial > 0.300) and (interdisciplinary <= 0.500) and (positive > 0.700) then response: 3.800
5,If (socially controversial <= 0.500) and (technically complicated <= 0.700) and (socially controversial > 0.300) and (interdisciplinary > 0.500) and (positive <= 0.300) then response: 4.500
6,If (socially controversial <= 0.500) and (technically complicated <= 0.700) and (socially controversial > 0.300) and (interdisciplinary > 0.500) and (positive > 0.300) then response: 3.931
7,If (socially controversial <= 0.500) and (technically complicated > 0.700) and (socially controversial <= 0.300) and (conceptually dense <= 0.700) and (neutral <= 0.500) then response: 4.000
8,If (socially controversial <= 0.500) and (technically complicated > 0.700) and (socially controversial <= 0.300) and (conceptually dense <= 0.700) and (neutral > 0.500) then response: 3.000
9,If (socially controversial <= 0.500) and (technically complicated > 0.700) and (socially controversial <= 0.300) and (conceptually dense > 0.700) and (common <= 0.700) then response: 2.500
10,If (socially controversial <= 0.500) and (technically complicated > 0.700) and (socially controversial <= 0.300) and (conceptually dense > 0.700) and (common > 0.700) then response: 3.000
11,If (socially controversial <= 0.500) and (technically complicated > 0.700) and (socially controversial > 0.300) and (neutral <= 0.700) and (common <= 0.500) then response: 3.538
12,If (socially controversial <= 0.500) and (technically complicated > 0.700) and (socially controversial > 0.300) and (neutral <= 0.700) and (common > 0.500) then response: 3.673
13,If (socially controversial <= 0.500) and (technically complicated > 0.700) and (socially controversial > 0.300) and (neutral > 0.700) and (positive <= 0.900) then response: 3.743
14,If (socially controversial <= 0.500) and (technically complicated > 0.700) and (socially controversial > 0.300) and (neutral > 0.700) and (positive > 0.900) then response: 3.000
15,If (socially controversial > 0.500) and (socially controversial <= 0.700) and (positive <= 0.700) and (positive <= 0.300) and (technically complicated <= 0.500) then response: 4.000
16,If (socially controversial > 0.500) and (socially controversial <= 0.700) and (positive <= 0.700) and (positive <= 0.300) and (technically complicated > 0.500) then response: 3.588
17,If (socially controversial > 0.500) and (socially controversial <= 0.700) and (positive <= 0.700) and (positive > 0.300) and (negative <= 0.700) then response: 3.780
18,If (socially controversial > 0.500) and (socially controversial <= 0.700) and (positive <= 0.700) and (positive > 0.300) and (negative > 0.700) then response: 3.854
19,If (socially controversial > 0.500) and (socially controversial <= 0.700) and (positive > 0.700) and (negative <= 0.900) and (common <= 0.700) then response: 3.935
20,If (socially controversial > 0.500) and (socially controversial <= 0.700) and (positive > 0.700) and (negative <= 0.900) and (common > 0.700) then response: 3.905
21,If (socially controversial > 0.500) and (socially controversial <= 0.700) and (positive > 0.700) and (negative > 0.900) and (conceptually dense <= 0.700) then response: 3.938
22,If (socially controversial > 0.500) and (socially controversial <= 0.700) and (positive > 0.700) and (negative > 0.900) and (conceptually dense > 0.700) then response: 3.811
23,If (socially controversial > 0.500) and (socially controversial > 0.700) and (conceptually dense <= 0.900) and (common <= 0.700) and (interdisciplinary <= 0.700) then response: 3.908
24,If (socially controversial > 0.500) and (socially controversial > 0.700) and (conceptually dense <= 0.900) and (common <= 0.700) and (interdisciplinary > 0.700) then response: 3.967
25,If (socially controversial > 0.500) and (socially controversial > 0.700) and (conceptually dense <= 0.900) and (common > 0.700) and (technically complicated <= 0.700) then response: 3.951
26,If (socially controversial > 0.500) and (socially controversial > 0.700) and (conceptually dense <= 0.900) and (common > 0.700) and (technically complicated > 0.700) then response: 3.920
27,If (socially controversial > 0.500) and (socially controversial > 0.700) and (conceptually dense > 0.900) and (technically complicated <= 0.500) and (unambiguous <= 0.300) then response: 3.600
28,If (socially controversial > 0.500) and (socially controversial > 0.700) and (conceptually dense > 0.900) and (technically complicated <= 0.500) and (unambiguous > 0.300) then response: 3.200
29,If (socially controversial > 0.500) and (socially controversial > 0.700) and (conceptually dense > 0.900) and (technically complicated > 0.500) and (technically complicated <= 0.900) then response: 3.839
30,If (socially controversial > 0.500) and (socially controversial > 0.700) and (conceptually dense > 0.900) and (technically complicated > 0.500) and (technically complicated > 0.900) then response: 3.556
