,rule
0,If (positive <= 0.700) and (positive <= 0.500) and (negative <= 0.900) and (socially controversial <= 0.700) and (negative <= 0.700) then response: -0.189
1,If (positive <= 0.700) and (positive <= 0.500) and (negative <= 0.900) and (socially controversial <= 0.700) and (negative > 0.700) then response: -0.350
2,If (positive <= 0.700) and (positive <= 0.500) and (negative <= 0.900) and (socially controversial > 0.700) and (negative <= 0.700) then response: -0.017
3,If (positive <= 0.700) and (positive <= 0.500) and (negative <= 0.900) and (socially controversial > 0.700) and (negative > 0.700) then response: -0.200
4,If (positive <= 0.700) and (positive <= 0.500) and (negative > 0.900) and (unambiguous <= 0.700) and (neutral <= 0.500) then response: -0.148
5,If (positive <= 0.700) and (positive <= 0.500) and (negative > 0.900) and (unambiguous <= 0.700) and (neutral > 0.500) then response: -0.079
6,If (positive <= 0.700) and (positive <= 0.500) and (negative > 0.900) and (unambiguous > 0.700) and (technically complicated <= 0.700) then response: -0.351
7,If (positive <= 0.700) and (positive <= 0.500) and (negative > 0.900) and (unambiguous > 0.700) and (technically complicated > 0.700) then response: -0.200
8,If (positive <= 0.700) and (positive > 0.500) and (technically complicated <= 0.300) then response: 0.465
9,If (positive <= 0.700) and (positive > 0.500) and (technically complicated > 0.300) and (negative <= 0.700) and (socially controversial <= 0.500) then response: -0.107
10,If (positive <= 0.700) and (positive > 0.500) and (technically complicated > 0.300) and (negative <= 0.700) and (socially controversial > 0.500) then response: -0.035
11,If (positive <= 0.700) and (positive > 0.500) and (technically complicated > 0.300) and (negative > 0.700) and (conceptually dense <= 0.700) then response: -0.029
12,If (positive <= 0.700) and (positive > 0.500) and (technically complicated > 0.300) and (negative > 0.700) and (conceptually dense > 0.700) then response: -0.085
13,If (positive > 0.700) and (negative <= 0.500) and (technically complicated <= 0.500) and (socially controversial <= 0.700) and (interdisciplinary <= 0.700) then response: 0.092
14,If (positive > 0.700) and (negative <= 0.500) and (technically complicated <= 0.500) and (socially controversial <= 0.700) and (interdisciplinary > 0.700) then response: 0.142
15,If (positive > 0.700) and (negative <= 0.500) and (technically complicated <= 0.500) and (socially controversial > 0.700) and (neutral <= 0.400) then response: 0.000
16,If (positive > 0.700) and (negative <= 0.500) and (technically complicated <= 0.500) and (socially controversial > 0.700) and (neutral > 0.400) then response: 0.228
17,If (positive > 0.700) and (negative <= 0.500) and (technically complicated > 0.500) and (technically complicated <= 0.700) and (conceptually dense <= 0.700) then response: 0.075
18,If (positive > 0.700) and (negative <= 0.500) and (technically complicated > 0.500) and (technically complicated <= 0.700) and (conceptually dense > 0.700) then response: 0.120
19,If (positive > 0.700) and (negative <= 0.500) and (technically complicated > 0.500) and (technically complicated > 0.700) and (common <= 0.700) then response: 0.027
20,If (positive > 0.700) and (negative <= 0.500) and (technically complicated > 0.500) and (technically complicated > 0.700) and (common > 0.700) then response: 0.062
21,If (positive > 0.700) and (negative > 0.500) and (negative <= 0.700) and (technically complicated <= 0.500) and (unambiguous <= 0.700) then response: 0.064
22,If (positive > 0.700) and (negative > 0.500) and (negative <= 0.700) and (technically complicated <= 0.500) and (unambiguous > 0.700) then response: -0.202
23,If (positive > 0.700) and (negative > 0.500) and (negative <= 0.700) and (technically complicated > 0.500) and (socially controversial <= 0.300) then response: 0.359
24,If (positive > 0.700) and (negative > 0.500) and (negative <= 0.700) and (technically complicated > 0.500) and (socially controversial > 0.300) then response: 0.038
25,If (positive > 0.700) and (negative > 0.500) and (negative > 0.700) and (negative <= 0.900) and (common <= 0.700) then response: -0.042
26,If (positive > 0.700) and (negative > 0.500) and (negative > 0.700) and (negative <= 0.900) and (common > 0.700) then response: -0.008
27,If (positive > 0.700) and (negative > 0.500) and (negative > 0.700) and (negative > 0.900) and (technically complicated <= 0.500) then response: 0.097
28,If (positive > 0.700) and (negative > 0.500) and (negative > 0.700) and (negative > 0.900) and (technically complicated > 0.500) then response: 0.037
