,rule
0,If (positive <= 0.700) and (interdisciplinary <= 0.700) and (common <= 0.700) and (conceptually dense <= 0.500) and (interdisciplinary <= 0.500) then response: 4.000
1,If (positive <= 0.700) and (interdisciplinary <= 0.700) and (common <= 0.700) and (conceptually dense <= 0.500) and (interdisciplinary > 0.500) then response: 4.491
2,If (positive <= 0.700) and (interdisciplinary <= 0.700) and (common <= 0.700) and (conceptually dense > 0.500) and (subject to time variability <= 0.900) then response: 4.246
3,If (positive <= 0.700) and (interdisciplinary <= 0.700) and (common <= 0.700) and (conceptually dense > 0.500) and (subject to time variability > 0.900) then response: 3.500
4,If (positive <= 0.700) and (interdisciplinary <= 0.700) and (common > 0.700) and (neutral <= 0.700) and (socially controversial <= 0.900) then response: 4.684
5,If (positive <= 0.700) and (interdisciplinary <= 0.700) and (common > 0.700) and (neutral <= 0.700) and (socially controversial > 0.900) then response: 5.000
6,If (positive <= 0.700) and (interdisciplinary <= 0.700) and (common > 0.700) and (neutral > 0.700) and (negative <= 0.700) then response: 4.000
7,If (positive <= 0.700) and (interdisciplinary <= 0.700) and (common > 0.700) and (neutral > 0.700) and (negative > 0.700) then response: 4.500
8,If (positive <= 0.700) and (interdisciplinary > 0.700) and (socially controversial <= 0.700) and (common <= 0.700) and (common <= 0.500) then response: 3.718
9,If (positive <= 0.700) and (interdisciplinary > 0.700) and (socially controversial <= 0.700) and (common <= 0.700) and (common > 0.500) then response: 3.538
10,If (positive <= 0.700) and (interdisciplinary > 0.700) and (socially controversial <= 0.700) and (common > 0.700) and (neutral <= 0.400) then response: 3.204
11,If (positive <= 0.700) and (interdisciplinary > 0.700) and (socially controversial <= 0.700) and (common > 0.700) and (neutral > 0.400) then response: 3.512
12,If (positive <= 0.700) and (interdisciplinary > 0.700) and (socially controversial > 0.700) and (positive <= 0.500) and (neutral <= 0.700) then response: 3.828
13,If (positive <= 0.700) and (interdisciplinary > 0.700) and (socially controversial > 0.700) and (positive <= 0.500) and (neutral > 0.700) then response: 3.649
14,If (positive <= 0.700) and (interdisciplinary > 0.700) and (socially controversial > 0.700) and (positive > 0.500) and (common <= 0.700) then response: 3.744
15,If (positive <= 0.700) and (interdisciplinary > 0.700) and (socially controversial > 0.700) and (positive > 0.500) and (common > 0.700) then response: 3.618
16,If (positive > 0.700) and (interdisciplinary <= 0.700) and (common <= 0.500) and (socially controversial <= 0.300) then response: 5.000
17,If (positive > 0.700) and (interdisciplinary <= 0.700) and (common <= 0.500) and (socially controversial > 0.300) and (technically complicated <= 0.700) then response: 4.368
18,If (positive > 0.700) and (interdisciplinary <= 0.700) and (common <= 0.500) and (socially controversial > 0.300) and (technically complicated > 0.700) then response: 4.667
19,If (positive > 0.700) and (interdisciplinary <= 0.700) and (common > 0.500) and (technically complicated <= 0.300) and (interdisciplinary <= 0.500) then response: 4.000
20,If (positive > 0.700) and (interdisciplinary <= 0.700) and (common > 0.500) and (technically complicated <= 0.300) and (interdisciplinary > 0.500) then response: 4.714
21,If (positive > 0.700) and (interdisciplinary <= 0.700) and (common > 0.500) and (technically complicated > 0.300) and (technically complicated <= 0.500) then response: 4.904
22,If (positive > 0.700) and (interdisciplinary <= 0.700) and (common > 0.500) and (technically complicated > 0.300) and (technically complicated > 0.500) then response: 4.667
23,If (positive > 0.700) and (interdisciplinary > 0.700) and (common <= 0.500) and (conceptually dense <= 0.500) and (unambiguous <= 0.500) then response: 4.000
24,If (positive > 0.700) and (interdisciplinary > 0.700) and (common <= 0.500) and (conceptually dense <= 0.500) and (unambiguous > 0.500) then response: 4.250
25,If (positive > 0.700) and (interdisciplinary > 0.700) and (common <= 0.500) and (conceptually dense > 0.500) and (negative <= 0.500) then response: 4.077
26,If (positive > 0.700) and (interdisciplinary > 0.700) and (common <= 0.500) and (conceptually dense > 0.500) and (negative > 0.500) then response: 4.027
27,If (positive > 0.700) and (interdisciplinary > 0.700) and (common > 0.500) and (technically complicated <= 0.700) and (socially controversial <= 0.700) then response: 4.279
28,If (positive > 0.700) and (interdisciplinary > 0.700) and (common > 0.500) and (technically complicated <= 0.700) and (socially controversial > 0.700) then response: 4.172
29,If (positive > 0.700) and (interdisciplinary > 0.700) and (common > 0.500) and (technically complicated > 0.700) and (negative <= 0.500) then response: 4.357
30,If (positive > 0.700) and (interdisciplinary > 0.700) and (common > 0.500) and (technically complicated > 0.700) and (negative > 0.500) then response: 4.289
