rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
positive > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & technically complicated <= 0.7000000178813934,22.283478871290974,22.283478871290974,0.17946877243359655,750,972.7026666666667,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial <= 0.9000000059604645 & socially controversial > 0.7000000178813934,19.876963173381807,19.876963173381807,0.15530031107920556,649,1224.8567026194146,5,rule
positive > 0.7000000178813934 & common <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & common > 0.5000000149011612 & socially controversial > 0.7000000178813934,9.106228921766574,9.106228921766574,0.10361330461832974,433,1184.7528868360278,5,rule
positive > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & technically complicated > 0.7000000178813934,8.246293315536015,8.246293315536015,0.10863843024647045,454,1020.9603524229075,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & unambiguous <= 0.7000000178813934,7.3147793468832285,7.3147793468832285,0.033022254127781765,138,1318.376811594203,5,rule
positive > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial > 0.7000000178813934 & technically complicated > 0.5000000149011612 & common <= 0.9000000059604645,5.5024726029702125,5.5024726029702125,0.15769322804498684,659,1061.9726858877086,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & unambiguous > 0.7000000178813934,5.305551660833931,5.305551660833931,0.017707585546781528,74,1396.4864864864865,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & positive > 0.5000000149011612,3.494833028610315,3.494833028610315,0.02129696099545346,89,1260.9662921348315,5,rule
positive > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & socially controversial > 0.5000000149011612,3.0424777813920794,3.0424777813920794,0.009810959559703278,41,786.7560975609756,5,rule
positive > 0.7000000178813934 & common <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & conceptually dense > 0.7000000178813934 & unambiguous > 0.7000000178813934,3.0277279253409906,3.0277279253409906,0.03062933716200048,128,998.015625,5,rule
positive > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & socially controversial <= 0.5000000149011612,1.391276509033263,1.391276509033263,0.0641301746829385,268,1075.1716417910447,5,rule
positive > 0.7000000178813934 & common <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & common <= 0.5000000149011612 & technically complicated > 0.7000000178813934,1.3829323795315862,1.3829323795315862,0.004067958841828189,17,1436.8235294117646,5,rule
positive > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial > 0.7000000178813934 & technically complicated <= 0.5000000149011612 & unambiguous > 0.7000000178813934,1.097150793027638,1.097150793027638,0.003589375448671931,15,791.2,5,rule
positive > 0.7000000178813934 & common <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & conceptually dense > 0.7000000178813934 & unambiguous <= 0.7000000178813934,0.7587603194544149,0.7587603194544149,0.00382866714525006,16,898.6875,5,rule
positive > 0.7000000178813934 & common <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & common <= 0.5000000149011612 & technically complicated <= 0.7000000178813934,0.5397156448163438,0.5397156448163438,0.002632208662359416,11,1301.909090909091,5,rule
positive <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & socially controversial <= 0.7000000178813934 & common > 0.7000000178813934,0.516502714465183,0.516502714465183,0.000957166786312515,4,557.25,5,rule
positive > 0.7000000178813934 & common <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & technically complicated <= 0.5000000149011612,0.4661266713029437,0.4661266713029437,0.005264417324718832,22,1185.409090909091,5,rule
positive <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & socially controversial <= 0.7000000178813934 & common <= 0.7000000178813934,0.44402934501375935,0.44402934501375935,0.0007178750897343862,3,478.3333333333333,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial > 0.9000000059604645 & technically complicated <= 0.7000000178813934,0.3634992765165111,0.3634992765165111,0.0016750418760469012,7,879.8571428571429,5,rule
positive > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial > 0.7000000178813934 & technically complicated > 0.5000000149011612 & common > 0.9000000059604645,0.3006936187634602,0.3006936187634602,0.0007178750897343862,3,678.0,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial > 0.9000000059604645 & technically complicated > 0.7000000178813934,0.1946537467845182,0.1946537467845182,0.004546542234984446,19,1054.0526315789473,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial <= 0.9000000059604645 & socially controversial <= 0.7000000178813934,0.17107019472361962,0.17107019472361962,0.016271835367312755,68,1086.3529411764705,5,rule
positive <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & socially controversial > 0.7000000178813934 & unambiguous > 0.7000000178813934,0.13564637734804977,0.13564637734804977,0.00023929169657812874,1,530.0,5,rule
positive > 0.7000000178813934 & common <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & technically complicated > 0.5000000149011612,0.09384954908470926,0.09384954908470926,0.0014357501794687725,6,1031.5,5,rule
positive > 0.7000000178813934 & common <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & common > 0.5000000149011612 & socially controversial <= 0.7000000178813934,0.08336698372817072,0.08336698372817072,0.06508734146925102,272,1098.1470588235295,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & positive <= 0.5000000149011612,0.07223734932101024,0.07223734932101024,0.006939459200765733,29,1107.2758620689656,5,rule
