rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
positive > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & unambiguous > 0.7000000178813934,0.11761608247010719,0.11761608247010719,0.271356783919598,1134,2.0793650793650795,5,rule
positive <= 0.7000000178813934 & common > 0.7000000178813934 & socially controversial > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & common <= 0.9000000059604645,0.04694509038402579,0.04694509038402579,0.05264417324718832,220,3.4045454545454548,5,rule
positive <= 0.7000000178813934 & common > 0.7000000178813934 & socially controversial > 0.7000000178813934 & technically complicated > 0.7000000178813934 & positive <= 0.5000000149011612,0.03294329108105632,0.03294329108105632,0.04355108877721943,182,3.269230769230769,5,rule
positive > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial > 0.7000000178813934 & unambiguous > 0.7000000178813934 & technically complicated > 0.5000000149011612,0.028031487246967725,0.028031487246967725,0.13352476669059585,558,2.302867383512545,5,rule
positive <= 0.7000000178813934 & common <= 0.7000000178813934 & positive > 0.5000000149011612 & technically complicated > 0.7000000178813934 & socially controversial > 0.7000000178813934,0.022806920227065385,0.022806920227065385,0.03158650394831299,132,3.234848484848485,5,rule
positive <= 0.7000000178813934 & common <= 0.7000000178813934 & positive > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & technically complicated > 0.5000000149011612,0.022702419977491624,0.022702419977491624,0.02105766929887533,88,3.590909090909091,5,rule
positive > 0.7000000178813934 & common <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & technically complicated > 0.5000000149011612,0.022077477814107738,0.022077477814107738,0.06987317540081359,292,2.828767123287671,5,rule
positive <= 0.7000000178813934 & common <= 0.7000000178813934 & positive <= 0.5000000149011612 & technically complicated > 0.7000000178813934 & socially controversial > 0.7000000178813934,0.01919269402023137,0.01919269402023137,0.014836085187843982,62,3.806451612903226,5,rule
positive > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & conceptually dense > 0.7000000178813934,0.01351623097000067,0.01351623097000067,0.03709021296960995,155,2.1483870967741936,5,rule
positive > 0.7000000178813934 & common <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & conceptually dense > 0.7000000178813934 & unambiguous > 0.7000000178813934,0.009724496739650633,0.009724496739650633,0.03062933716200048,128,2.1953125,5,rule
positive <= 0.7000000178813934 & common > 0.7000000178813934 & socially controversial > 0.7000000178813934 & technically complicated > 0.7000000178813934 & positive > 0.5000000149011612,0.009585122909235546,0.009585122909235546,0.06436946637951663,269,2.6617100371747213,5,rule
positive <= 0.7000000178813934 & common <= 0.7000000178813934 & positive <= 0.5000000149011612 & technically complicated <= 0.7000000178813934 & common > 0.5000000149011612,0.007571557915133704,0.007571557915133704,0.006700167504187605,28,3.642857142857143,5,rule
positive > 0.7000000178813934 & common <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & technically complicated > 0.7000000178813934 & socially controversial > 0.7000000178813934,0.007038690622242535,0.007038690622242535,0.057669298875329025,241,2.6348547717842323,5,rule
positive <= 0.7000000178813934 & common > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & unambiguous > 0.7000000178813934 & conceptually dense > 0.7000000178813934,0.00652197303598536,0.00652197303598536,0.014118210098109596,59,2.0508474576271185,5,rule
positive > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & conceptually dense <= 0.7000000178813934,0.0052576039960778535,0.0052576039960778535,0.03685092127303183,154,2.3701298701298703,5,rule
