rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & unambiguous > 0.7000000178813934 & socially controversial <= 0.7000000178813934,0.042994163971421896,0.042994163971421896,0.2273271117492223,950,2.170526315789474,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common > 0.7000000178813934 & positive <= 0.5000000149011612 & socially controversial <= 0.9000000059604645,0.028622244099847267,0.028622244099847267,0.0641301746829385,268,2.8059701492537314,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & unambiguous <= 0.7000000178813934,0.0217647242129605,0.0217647242129605,0.051926298157453935,217,2.7788018433179724,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common > 0.7000000178813934 & positive > 0.5000000149011612 & socially controversial > 0.7000000178813934,0.021416009399530894,0.021416009399530894,0.09547738693467336,399,2.5839598997493733,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & unambiguous > 0.7000000178813934,0.014873706373080992,0.014873706373080992,0.025843503230437905,108,2.935185185185185,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & common > 0.7000000178813934,0.014427071411833855,0.014427071411833855,0.04809763101220388,201,2.0597014925373136,5,rule
positive > 0.7000000178813934 & technically complicated > 0.7000000178813934 & common > 0.7000000178813934 & common <= 0.9000000059604645 & unambiguous > 0.7000000178813934,0.013550465116662913,0.013550465116662913,0.17540081359176837,733,2.282401091405184,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & unambiguous > 0.7000000178813934 & socially controversial > 0.7000000178813934,0.00969397277174796,0.00969397277174796,0.08949509452022014,374,2.251336898395722,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & unambiguous > 0.7000000178813934,0.003740542983004682,0.003740542983004682,0.00574300071787509,24,1.7083333333333333,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & unambiguous <= 0.7000000178813934 & socially controversial > 0.5000000149011612,0.002042652631268091,0.002042652631268091,0.044268963866953816,185,2.3135135135135134,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common > 0.7000000178813934 & positive > 0.5000000149011612 & socially controversial <= 0.7000000178813934,0.0012488523776749733,0.0012488523776749733,0.01316104331179708,55,2.4545454545454546,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & unambiguous <= 0.7000000178813934,0.0011481878203505906,0.0011481878203505906,0.0011964584828906438,5,1.4,5,rule
positive <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & common > 0.5000000149011612 & common > 0.7000000178813934 & socially controversial <= 0.7000000178813934,0.0010621252742273495,0.0010621252742273495,0.000957166786312515,4,1.25,5,rule
positive > 0.7000000178813934 & technically complicated > 0.7000000178813934 & common <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & common > 0.5000000149011612,0.0009712567024751314,0.0009712567024751314,0.09643455372098589,403,2.369727047146402,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & unambiguous <= 0.7000000178813934 & socially controversial <= 0.5000000149011612,0.0009298536816861938,0.0009298536816861938,0.004067958841828189,17,2.588235294117647,5,rule
positive > 0.7000000178813934 & technically complicated > 0.7000000178813934 & common <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & unambiguous > 0.7000000178813934,0.0007975820891450355,0.0007975820891450355,0.009093084469968891,38,2.4473684210526314,5,rule
positive <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & common > 0.5000000149011612 & common <= 0.7000000178813934,0.0006507084854027391,0.0006507084854027391,0.0004785833931562575,2,1.0,4,rule
positive > 0.7000000178813934 & technically complicated > 0.7000000178813934 & common <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & unambiguous <= 0.7000000178813934,0.0005940206600279581,0.0005940206600279581,0.0016750418760469012,7,2.7142857142857144,5,rule
positive > 0.7000000178813934 & technically complicated > 0.7000000178813934 & common <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & common <= 0.5000000149011612,0.000505896497782579,0.000505896497782579,0.004067958841828189,17,2.235294117647059,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & unambiguous > 0.7000000178813934,0.0004974793349478512,0.0004974793349478512,0.0007178750897343862,3,1.6666666666666667,5,rule
positive > 0.7000000178813934 & technically complicated > 0.7000000178813934 & common > 0.7000000178813934 & common <= 0.9000000059604645 & unambiguous <= 0.7000000178813934,0.00045985814971083883,0.00045985814971083883,0.02656137832017229,111,2.3423423423423424,5,rule
positive <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & common > 0.5000000149011612 & common > 0.7000000178813934 & socially controversial > 0.7000000178813934,0.0004114167888246104,0.0004114167888246104,0.0004785833931562575,2,1.5,5,rule
positive <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & common <= 0.5000000149011612,0.00017212509224648166,0.00017212509224648166,0.0004785833931562575,2,2.0,3,rule
positive > 0.7000000178813934 & technically complicated > 0.7000000178813934 & common > 0.7000000178813934 & common > 0.9000000059604645 & socially controversial <= 0.7000000178813934,0.0001532291504548879,0.0001532291504548879,0.00023929169657812874,1,3.0,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common > 0.7000000178813934 & positive <= 0.5000000149011612 & socially controversial > 0.9000000059604645,0.00013227159254115557,0.00013227159254115557,0.005025125628140704,21,2.3333333333333335,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & unambiguous <= 0.7000000178813934,6.716660433164708e-05,6.716660433164708e-05,0.0004785833931562575,2,2.5,5,rule
positive > 0.7000000178813934 & technically complicated > 0.7000000178813934 & common > 0.7000000178813934 & common > 0.9000000059604645 & socially controversial > 0.7000000178813934,6.716660433164708e-05,6.716660433164708e-05,0.0004785833931562575,2,2.5,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & common <= 0.7000000178813934,1.6834325669455486e-05,1.6834325669455486e-05,0.006700167504187605,28,2.357142857142857,5,rule
