rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
common > 0.9000000059604645 & technically complicated <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & positive > 0.5000000149011612 & positive > 0.7000000178813934,4.6324836637848845,4.6324836637848845,0.002871500358937545,12,1767.25,5,rule
common <= 0.9000000059604645 & socially controversial <= 0.5000000149011612 & technically complicated > 0.5000000149011612 & common > 0.7000000178813934 & positive > 0.7000000178813934,4.247831462815379,4.247831462815379,0.1407035175879397,588,123.79761904761905,5,rule
common <= 0.9000000059604645 & socially controversial <= 0.5000000149011612 & technically complicated <= 0.5000000149011612 & positive <= 0.9000000059604645 & conceptually dense > 0.5000000149011612,2.550408543397092,2.550408543397092,0.07394113424264179,309,119.49514563106796,5,rule
common > 0.9000000059604645 & technically complicated > 0.7000000178813934 & unambiguous > 0.7000000178813934 & socially controversial > 0.7000000178813934 & socially controversial <= 0.9000000059604645,2.110806934569378,2.110806934569378,0.0011964584828906438,5,1918.2,5,rule
common <= 0.9000000059604645 & socially controversial > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & common > 0.7000000178813934 & socially controversial <= 0.7000000178813934,1.902066159801753,1.902066159801753,0.08207705192629816,343,130.8134110787172,5,rule
common <= 0.9000000059604645 & socially controversial > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & common > 0.7000000178813934 & socially controversial > 0.7000000178813934,1.852053673080806,1.852053673080806,0.12060301507537688,504,138.63095238095238,5,rule
common <= 0.9000000059604645 & socially controversial > 0.5000000149011612 & technically complicated > 0.7000000178813934 & common > 0.7000000178813934 & unambiguous > 0.7000000178813934,1.6969720055880664,1.6969720055880664,0.21847331897583153,913,146.22015334063528,5,rule
common > 0.9000000059604645 & technically complicated <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & positive > 0.5000000149011612 & positive <= 0.7000000178813934,1.2570082095571329,1.2570082095571329,0.0007178750897343862,3,1905.0,5,rule
common > 0.9000000059604645 & technically complicated > 0.7000000178813934 & unambiguous > 0.7000000178813934 & socially controversial > 0.7000000178813934 & socially controversial > 0.9000000059604645,1.2129785373867572,1.2129785373867572,0.0007178750897343862,3,1843.6666666666667,5,rule
common <= 0.9000000059604645 & socially controversial > 0.5000000149011612 & technically complicated > 0.7000000178813934 & common <= 0.7000000178813934 & unambiguous <= 0.7000000178813934,0.7628927310707192,0.7628927310707192,0.07944484326393875,332,163.59036144578315,5,rule
common > 0.9000000059604645 & technically complicated <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & positive <= 0.5000000149011612 & unambiguous <= 0.7000000178813934,0.7408530442273682,0.7408530442273682,0.0004785833931562575,2,1702.0,5,rule
common > 0.9000000059604645 & technically complicated <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & positive <= 0.5000000149011612 & unambiguous > 0.7000000178813934,0.6946697467877894,0.6946697467877894,0.0004785833931562575,2,1605.5,5,rule
common > 0.9000000059604645 & technically complicated <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & positive <= 0.9000000059604645 & socially controversial <= 0.5000000149011612,0.656861658728445,0.656861658728445,0.0004785833931562575,2,1526.5,5,rule
common <= 0.9000000059604645 & socially controversial > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & common <= 0.7000000178813934 & conceptually dense > 0.7000000178813934,0.6120518020078533,0.6120518020078533,0.10074180425939219,421,147.91211401425178,5,rule
common <= 0.9000000059604645 & socially controversial <= 0.5000000149011612 & technically complicated > 0.5000000149011612 & common <= 0.7000000178813934 & technically complicated <= 0.7000000178813934,0.5089746654589913,0.5089746654589913,0.0191433357262503,80,127.4,5,rule
common > 0.9000000059604645 & technically complicated > 0.7000000178813934 & unambiguous <= 0.7000000178813934,0.46949328449702943,0.46949328449702943,0.00023929169657812874,1,2116.0,3,rule
common > 0.9000000059604645 & technically complicated <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & positive > 0.9000000059604645,0.3752123560452467,0.3752123560452467,0.00023929169657812874,1,1722.0,4,rule
common > 0.9000000059604645 & technically complicated > 0.7000000178813934 & unambiguous > 0.7000000178813934 & socially controversial <= 0.7000000178813934,0.36946935532737163,0.36946935532737163,0.00023929169657812874,1,1698.0,4,rule
common > 0.9000000059604645 & technically complicated <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & positive <= 0.9000000059604645 & socially controversial > 0.5000000149011612,0.362769187823184,0.362769187823184,0.00023929169657812874,1,1670.0,5,rule
common <= 0.9000000059604645 & socially controversial > 0.5000000149011612 & technically complicated > 0.7000000178813934 & common <= 0.7000000178813934 & unambiguous > 0.7000000178813934,0.2313306470269882,0.2313306470269882,0.07178750897343862,300,157.21,5,rule
common <= 0.9000000059604645 & socially controversial <= 0.5000000149011612 & technically complicated > 0.5000000149011612 & common <= 0.7000000178813934 & technically complicated > 0.7000000178813934,0.22384311651379118,0.22384311651379118,0.010768126346015794,45,133.2,5,rule
common <= 0.9000000059604645 & socially controversial > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & common <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934,0.11338557863840222,0.11338557863840222,0.0031107920555156735,13,117.53846153846153,5,rule
common <= 0.9000000059604645 & socially controversial <= 0.5000000149011612 & technically complicated > 0.5000000149011612 & common > 0.7000000178813934 & positive <= 0.7000000178813934,0.10044002053725659,0.10044002053725659,0.005025125628140704,21,134.0,5,rule
common <= 0.9000000059604645 & socially controversial <= 0.5000000149011612 & technically complicated <= 0.5000000149011612 & positive > 0.9000000059604645 & socially controversial > 0.30000000447034836,0.07464115446793118,0.07464115446793118,0.0014357501794687725,6,102.0,5,rule
common <= 0.9000000059604645 & socially controversial > 0.5000000149011612 & technically complicated > 0.7000000178813934 & common > 0.7000000178813934 & unambiguous <= 0.7000000178813934,0.04459087356308172,0.04459087356308172,0.06436946637951663,269,154.68029739776952,5,rule
common <= 0.9000000059604645 & socially controversial <= 0.5000000149011612 & technically complicated <= 0.5000000149011612 & positive > 0.9000000059604645 & socially controversial <= 0.30000000447034836,0.020097526701821983,0.020097526701821983,0.00023929169657812874,1,70.0,5,rule
common <= 0.9000000059604645 & socially controversial <= 0.5000000149011612 & technically complicated <= 0.5000000149011612 & positive <= 0.9000000059604645 & conceptually dense <= 0.5000000149011612,0.01866177652235321,0.01866177652235321,0.00023929169657812874,1,76.0,5,rule
