rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
positive <= 0.5000000149011612 & technically complicated > 0.5000000149011612 & common > 0.7000000178813934 & socially controversial > 0.5000000149011612 & conceptually dense <= 0.9000000059604645,0.010981498012013,0.010981498012013,0.06700167504187604,280,-0.15928383363144738,5,rule
positive > 0.5000000149011612 & positive > 0.7000000178813934 & technically complicated <= 0.5000000149011612 & common > 0.5000000149011612 & technically complicated > 0.30000000447034836,0.007219930064979675,0.007219930064979675,0.09308446996889208,389,0.082178231759672,5,rule
positive > 0.5000000149011612 & positive > 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial > 0.5000000149011612 & conceptually dense > 0.7000000178813934,0.006034201168287817,0.006034201168287817,0.47307968413496054,1977,0.017370171735669,5,rule
positive > 0.5000000149011612 & positive > 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial <= 0.5000000149011612 & positive <= 0.9000000059604645,0.005751557120677599,0.005751557120677599,0.17181143814309643,718,0.03809100916624733,5,rule
positive > 0.5000000149011612 & positive <= 0.7000000178813934 & common <= 0.9000000059604645 & unambiguous > 0.7000000178813934 & technically complicated <= 0.7000000178813934,0.002158555175443177,0.002158555175443177,0.031107920555156737,130,-0.06477422255736132,5,rule
positive > 0.5000000149011612 & positive <= 0.7000000178813934 & common <= 0.9000000059604645 & unambiguous > 0.7000000178813934 & technically complicated > 0.7000000178813934,0.0015856982928618957,0.0015856982928618957,0.05288346494376645,221,-0.025369741258578063,5,rule
positive <= 0.5000000149011612 & technically complicated > 0.5000000149011612 & common <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & common > 0.5000000149011612,0.0015854075108437512,0.0015854075108437512,0.020579085905719073,86,-0.07242471984652586,5,rule
positive > 0.5000000149011612 & positive <= 0.7000000178813934 & common <= 0.9000000059604645 & unambiguous <= 0.7000000178813934 & socially controversial > 0.5000000149011612,0.001224317873392872,0.001224317873392872,0.08231634362287629,344,-0.010258302525725476,5,rule
positive <= 0.5000000149011612 & technically complicated > 0.5000000149011612 & common > 0.7000000178813934 & socially controversial <= 0.5000000149011612 & technically complicated > 0.7000000178813934,0.0003519875173940346,0.0003519875173940346,0.0007178750897343862,3,-0.48570358753204346,5,rule
positive <= 0.5000000149011612 & technically complicated <= 0.5000000149011612 & common > 0.7000000178813934,0.0002644604961622928,0.0002644604961622928,0.0004785833931562575,2,-0.5479751825332642,3,rule
positive <= 0.5000000149011612 & technically complicated > 0.5000000149011612 & common > 0.7000000178813934 & socially controversial > 0.5000000149011612 & conceptually dense > 0.9000000059604645,0.00023423945446563097,0.00023423945446563097,0.0007178750897343862,3,-0.3216805358727773,5,rule
