rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
technically complicated > 0.5000000149011612 & technically complicated > 0.7000000178813934 & common <= 0.9000000059604645 & common > 0.7000000178813934 & positive > 0.30000000447034836,0.024961725663599655,0.024961725663599655,0.3165829145728643,1323,0.04027763056376624,5,rule
technically complicated <= 0.5000000149011612 & conceptually dense > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & common > 0.7000000178813934 & common <= 0.9000000059604645,0.0101040832842757,0.0101040832842757,0.038525963149078725,161,0.3813918436536137,5,rule
technically complicated > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & common <= 0.7000000178813934 & positive > 0.7000000178813934 & socially controversial > 0.7000000178813934,0.006616964962999339,0.006616964962999339,0.047619047619047616,199,0.2580812504543132,5,rule
technically complicated <= 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & common <= 0.9000000059604645 & positive <= 0.9000000059604645,0.005653398687772758,0.005653398687772758,0.03685092127303183,154,0.2725376688040696,5,rule
technically complicated > 0.5000000149011612 & technically complicated > 0.7000000178813934 & common <= 0.9000000059604645 & common <= 0.7000000178813934 & socially controversial <= 0.7000000178813934,0.0039189506993393035,0.0039189506993393035,0.057908590571907156,242,0.05145021361752975,5,rule
technically complicated <= 0.5000000149011612 & conceptually dense > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & common <= 0.7000000178813934 & positive > 0.7000000178813934,0.0034908046774329055,0.0034908046774329055,0.008614501076812634,36,0.5243492292033302,5,rule
technically complicated > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & common <= 0.7000000178813934 & positive > 0.7000000178813934 & socially controversial <= 0.7000000178813934,0.002991086809393835,0.002991086809393835,0.041158171811438146,172,0.19179796167584354,5,rule
technically complicated > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & common > 0.7000000178813934 & common <= 0.9000000059604645 & positive <= 0.7000000178813934,0.0019779058842317827,0.0019779058842317827,0.055515673606125866,232,0.08349710394596231,5,rule
technically complicated > 0.5000000149011612 & technically complicated > 0.7000000178813934 & common <= 0.9000000059604645 & common <= 0.7000000178813934 & socially controversial > 0.7000000178813934,0.0010415841483219753,0.0010415841483219753,0.104091888011486,435,0.10911859506848215,5,rule
technically complicated > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & common > 0.7000000178813934 & common > 0.9000000059604645 & socially controversial > 0.7000000178813934,0.0008119225277373539,0.0008119225277373539,0.0016750418760469012,7,0.6038427352905273,5,rule
technically complicated > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & common > 0.7000000178813934 & common > 0.9000000059604645 & socially controversial <= 0.7000000178813934,0.0007601344619649653,0.0007601344619649653,0.002871500358937545,12,0.3838418126106262,5,rule
technically complicated > 0.5000000149011612 & technically complicated > 0.7000000178813934 & common <= 0.9000000059604645 & common > 0.7000000178813934 & positive <= 0.30000000447034836,0.0005090622528656501,0.0005090622528656501,0.0021536252692031586,9,0.3554995589786106,5,rule
technically complicated > 0.5000000149011612 & technically complicated > 0.7000000178813934 & common > 0.9000000059604645 & unambiguous > 0.7000000178813934 & socially controversial <= 0.9000000059604645,0.0004090134943179122,0.0004090134943179122,0.0014357501794687725,6,0.40400288502375287,5,rule
technically complicated > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & common <= 0.7000000178813934 & positive <= 0.7000000178813934 & unambiguous > 0.7000000178813934,0.00039518694967195496,0.00039518694967195496,0.008135917683656377,34,0.16769811160424175,5,rule
technically complicated <= 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & unambiguous > 0.7000000178813934 & common > 0.7000000178813934,0.0003607998548383546,0.0003607998548383546,0.004307250538406317,18,0.03535928659968906,5,rule
technically complicated > 0.5000000149011612 & technically complicated > 0.7000000178813934 & common > 0.9000000059604645 & unambiguous > 0.7000000178813934 & socially controversial > 0.9000000059604645,0.0003351073843150882,0.0003351073843150882,0.0007178750897343862,3,0.5859295725822449,5,rule
technically complicated <= 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & common <= 0.9000000059604645 & positive > 0.9000000059604645,0.00029077516927990683,0.00029077516927990683,0.000957166786312515,4,0.4229123443365097,5,rule
technically complicated > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & common <= 0.7000000178813934 & positive <= 0.7000000178813934 & unambiguous <= 0.7000000178813934,0.00023642270958403652,0.00023642270958403652,0.019382627422828428,81,0.10692732569612103,5,rule
technically complicated > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & common > 0.7000000178813934 & common <= 0.9000000059604645 & positive > 0.7000000178813934,0.000218860091889809,0.000218860091889809,0.24096673845417563,1007,0.12003324474573372,5,rule
technically complicated <= 0.5000000149011612 & conceptually dense > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & common > 0.7000000178813934 & common > 0.9000000059604645,0.00019038087779980979,0.00019038087779980979,0.00023929169657812874,1,0.9147266745567322,5,rule
