rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
positive <= 0.7000000178813934 & common > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & technically complicated > 0.7000000178813934 & positive > 0.5000000149011612,0.17016989366468369,0.17016989366468369,0.07228338918142652,302,1.3973509933774835,5,rule
positive > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & technically complicated > 0.5000000149011612,0.13363648613655388,0.13363648613655388,0.17951172809956917,750,4.496,5,rule
positive <= 0.7000000178813934 & common > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & socially controversial <= 0.9000000059604645,0.1137206604059602,0.1137206604059602,0.05768310196266156,241,1.7800829875518671,5,rule
positive <= 0.7000000178813934 & common > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & technically complicated > 0.7000000178813934 & positive <= 0.5000000149011612,0.09455486990835978,0.09455486990835978,0.046194351364289135,193,1.7046632124352332,5,rule
positive > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial > 0.5000000149011612,0.06623997757913055,0.06623997757913055,0.07683101962661561,321,4.613707165109035,5,rule
positive <= 0.7000000178813934 & common <= 0.7000000178813934 & common > 0.5000000149011612 & technically complicated > 0.7000000178813934 & positive > 0.5000000149011612,0.060247650552788905,0.060247650552788905,0.03303015797032073,138,1.9275362318840579,5,rule
positive > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial > 0.7000000178813934 & technically complicated > 0.7000000178813934 & unambiguous > 0.7000000178813934,0.05176159894997109,0.05176159894997109,0.07539492580181906,315,4.438095238095238,5,rule
positive > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & technically complicated <= 0.5000000149011612,0.04829327297758519,0.04829327297758519,0.0739588319770225,309,4.4045307443365695,5,rule
positive > 0.7000000178813934 & common <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & common > 0.5000000149011612,0.04007222385369971,0.04007222385369971,0.05050263283867879,211,4.545023696682464,5,rule
positive > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & common <= 0.9000000059604645,0.038190087728833644,0.038190087728833644,0.06797510770703687,284,4.313380281690141,5,rule
positive <= 0.7000000178813934 & common <= 0.7000000178813934 & common > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & socially controversial > 0.7000000178813934,0.0358206509060127,0.0358206509060127,0.024413595021541407,102,2.284313725490196,5,rule
positive > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial <= 0.5000000149011612,0.02442390962101273,0.02442390962101273,0.0318334131163236,133,4.518796992481203,5,rule
positive <= 0.7000000178813934 & common <= 0.7000000178813934 & common > 0.5000000149011612 & technically complicated > 0.7000000178813934 & positive <= 0.5000000149011612,0.022582098592006744,0.022582098592006744,0.01507898516036381,63,2.253968253968254,5,rule
positive > 0.7000000178813934 & common <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial > 0.7000000178813934 & unambiguous <= 0.7000000178813934,0.01898430579584029,0.01898430579584029,0.028243178554332216,118,4.423728813559322,5,rule
positive > 0.7000000178813934 & common <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial > 0.7000000178813934 & unambiguous > 0.7000000178813934,0.01688814054784049,0.01688814054784049,0.029439923408329346,123,4.32520325203252,5,rule
