rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
conceptually dense > 0.7000000178813934 & positive <= 0.7000000178813934 & common > 0.7000000178813934 & socially controversial > 0.30000000447034836 & positive <= 0.5000000149011612,0.2005890911991599,0.2005890911991599,0.06917185256103399,289,17.759826940648697,5,rule
conceptually dense > 0.7000000178813934 & positive <= 0.7000000178813934 & common > 0.7000000178813934 & socially controversial > 0.30000000447034836 & positive > 0.5000000149011612,0.18678575077942533,0.18678575077942533,0.10842508377213977,453,18.936975619124524,5,rule
conceptually dense > 0.7000000178813934 & positive > 0.7000000178813934 & common <= 0.7000000178813934 & common > 0.5000000149011612 & socially controversial > 0.7000000178813934,0.1757283400210996,0.1757283400210996,0.10363810435615127,433,22.355288617880735,5,rule
conceptually dense <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & socially controversial > 0.30000000447034836 & common > 0.7000000178813934 & positive <= 0.9000000059604645,0.12692298861768844,0.12692298861768844,0.03446625179511728,144,24.342222253481548,5,rule
conceptually dense > 0.7000000178813934 & positive > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial <= 0.5000000149011612 & technically complicated <= 0.7000000178813934,0.12635650789983102,0.12635650789983102,0.1266156055528961,529,19.661739096975055,5,rule
conceptually dense <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & socially controversial <= 0.30000000447034836 & technically complicated > 0.30000000447034836 & positive <= 0.9000000059604645,0.09589898957197263,0.09589898957197263,0.01244614648157013,52,28.364807734122643,5,rule
conceptually dense > 0.7000000178813934 & positive > 0.7000000178813934 & common <= 0.7000000178813934 & common > 0.5000000149011612 & socially controversial <= 0.7000000178813934,0.07803839436554345,0.07803839436554345,0.09693633317376735,405,21.464740694305043,5,rule
conceptually dense > 0.7000000178813934 & positive <= 0.7000000178813934 & common <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & positive > 0.5000000149011612,0.05920020035432816,0.05920020035432816,0.05576831019626616,233,19.59815440771406,5,rule
conceptually dense > 0.7000000178813934 & positive > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial > 0.5000000149011612 & unambiguous > 0.7000000178813934,0.05102915784398437,0.05102915784398437,0.2728578267113451,1140,20.47267537702594,5,rule
conceptually dense <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & socially controversial > 0.30000000447034836 & common <= 0.7000000178813934 & common > 0.5000000149011612,0.046411677032295394,0.046411677032295394,0.006223073240785065,26,28.117692250471848,5,rule
conceptually dense <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & unambiguous > 0.7000000178813934 & technically complicated <= 0.5000000149011612 & socially controversial <= 0.7000000178813934,0.0436564744973993,0.0436564744973993,0.005265677357587362,22,28.95045414837924,5,rule
conceptually dense > 0.7000000178813934 & positive > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial > 0.5000000149011612 & unambiguous <= 0.7000000178813934,0.03639586180691063,0.03639586180691063,0.04044997606510292,169,21.55946738339035,5,rule
conceptually dense <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & unambiguous <= 0.7000000178813934 & positive > 0.7000000178813934 & technically complicated <= 0.5000000149011612,0.015732701741205328,0.015732701741205328,0.0009573958831977022,4,37.09249973297119,5,rule
