rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
positive > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & common > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & socially controversial <= 0.5000000149011612,0.0957426986036944,0.0957426986036944,0.19243657252273816,804,3.6878109452736316,5,rule
positive > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & common > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & socially controversial > 0.5000000149011612,0.0827878371786991,0.0827878371786991,0.21397797989468645,894,3.577181208053691,5,rule
positive <= 0.7000000178813934 & common > 0.7000000178813934 & socially controversial > 0.7000000178813934 & positive > 0.5000000149011612 & technically complicated > 0.7000000178813934,0.04647820745717401,0.04647820745717401,0.06438487314504547,269,2.4684014869888475,5,rule
positive <= 0.7000000178813934 & common > 0.7000000178813934 & socially controversial > 0.7000000178813934 & positive <= 0.5000000149011612 & common <= 0.9000000059604645,0.03581022109181874,0.03581022109181874,0.0636668262326472,266,2.6278195488721803,5,rule
positive <= 0.7000000178813934 & common <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & technically complicated > 0.5000000149011612 & common > 0.5000000149011612,0.032787823574345544,0.032787823574345544,0.07419818094782192,310,2.7483870967741937,5,rule
positive > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & technically complicated > 0.5000000149011612,0.02964724428406053,0.02964724428406053,0.047630445189085685,199,2.5678391959798996,5,rule
positive <= 0.7000000178813934 & common > 0.7000000178813934 & socially controversial > 0.7000000178813934 & positive > 0.5000000149011612 & technically complicated <= 0.7000000178813934,0.018936637031113264,0.018936637031113264,0.031594064145524174,132,2.590909090909091,5,rule
positive > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common > 0.7000000178813934 & technically complicated > 0.7000000178813934 & common <= 0.9000000059604645,0.015461848534254894,0.015461848534254894,0.09358544758257539,391,3.3554987212276215,5,rule
positive > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & common > 0.5000000149011612,0.013381195159663767,0.013381195159663767,0.05648635710866443,236,2.9533898305084745,5,rule
positive <= 0.7000000178813934 & common > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & positive > 0.5000000149011612,0.011360825506222198,0.011360825506222198,0.013164193393968406,55,2.327272727272727,5,rule
positive > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & common > 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & common > 0.7000000178813934,0.010085659200577945,0.010085659200577945,0.052656773575873624,220,3.381818181818182,5,rule
positive <= 0.7000000178813934 & common > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & positive <= 0.5000000149011612,0.003703607104508257,0.003703607104508257,0.0031115366203925323,13,2.0,5,rule
positive <= 0.7000000178813934 & common <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & technically complicated > 0.5000000149011612 & common <= 0.5000000149011612,0.0028372989880975897,0.0028372989880975897,0.0035902345619913834,15,2.4,5,rule
positive <= 0.7000000178813934 & common > 0.7000000178813934 & socially controversial > 0.7000000178813934 & positive <= 0.5000000149011612 & common > 0.9000000059604645,0.002370230600330577,0.002370230600330577,0.0023934897079942556,10,2.2,5,rule
positive > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & common <= 0.5000000149011612 & unambiguous <= 0.7000000178813934 & technically complicated > 0.7000000178813934,0.001743271454719335,0.001743271454719335,0.0028721876495931067,12,2.5833333333333335,5,rule
