rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
positive > 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial <= 0.7000000178813934 & positive <= 0.9000000059604645 & conceptually dense > 0.7000000178813934,0.015360019623149002,0.015360019623149002,0.365007180469124,1525,-0.25078422035350173,5,rule
positive > 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial > 0.7000000178813934 & common > 0.5000000149011612 & technically complicated > 0.7000000178813934,0.014097937828134038,0.014097937828134038,0.15055050263283867,629,-0.30234538492508267,5,rule
positive <= 0.7000000178813934 & positive > 0.5000000149011612 & unambiguous > 0.7000000178813934 & common > 0.7000000178813934 & common <= 0.9000000059604645,0.012332977169777801,0.012332977169777801,0.06965055050263284,291,-0.03163346033735374,5,rule
positive <= 0.7000000178813934 & positive > 0.5000000149011612 & unambiguous <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & technically complicated > 0.7000000178813934,0.010267920253549596,0.010267920253549596,0.050981330780277646,213,-0.007297305853713846,5,rule
positive > 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial > 0.7000000178813934 & common > 0.5000000149011612 & technically complicated <= 0.7000000178813934,0.00778530237776289,0.00778530237776289,0.11081857348013403,463,-0.2789554880453237,5,rule
positive <= 0.7000000178813934 & positive > 0.5000000149011612 & unambiguous <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & technically complicated <= 0.7000000178813934,0.004960253863257047,0.004960253863257047,0.023934897079942556,100,-0.0014633962512016296,5,rule
positive <= 0.7000000178813934 & positive <= 0.5000000149011612 & technically complicated > 0.5000000149011612 & common > 0.7000000178813934 & socially controversial > 0.5000000149011612,0.003336272695065687,0.003336272695065687,0.06773575873623744,283,-0.1594485718454152,5,rule
positive <= 0.7000000178813934 & positive <= 0.5000000149011612 & technically complicated > 0.5000000149011612 & common <= 0.7000000178813934 & socially controversial > 0.7000000178813934,0.0031840638389080667,0.0031840638389080667,0.021302058401148877,89,-0.05923068222035183,5,rule
positive > 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial <= 0.7000000178813934 & positive <= 0.9000000059604645 & conceptually dense <= 0.7000000178813934,0.002027630934366032,0.002027630934366032,0.017472474868358068,73,-0.32474995394275613,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.5000000149011612 & positive <= 0.9000000059604645 & common > 0.5000000149011612 & socially controversial <= 0.5000000149011612,0.0019397454763383263,0.0019397454763383263,0.07348013403542365,307,-0.18230457269019334,5,rule
positive <= 0.7000000178813934 & positive > 0.5000000149011612 & unambiguous > 0.7000000178813934 & common <= 0.7000000178813934 & technically complicated > 0.5000000149011612,0.001833470294839632,0.001833470294839632,0.013882240306366683,58,-0.07662971831601241,5,rule
positive <= 0.7000000178813934 & positive > 0.5000000149011612 & unambiguous <= 0.7000000178813934 & socially controversial <= 0.7000000178813934 & technically complicated <= 0.7000000178813934,0.0008009137748930088,0.0008009137748930088,0.00430828147438966,18,-0.02280181646347046,5,rule
positive <= 0.7000000178813934 & positive > 0.5000000149011612 & unambiguous <= 0.7000000178813934 & socially controversial <= 0.7000000178813934 & technically complicated > 0.7000000178813934,0.0007492920152875098,0.0007492920152875098,0.0035902345619913834,15,0.0,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.5000000149011612 & positive <= 0.9000000059604645 & common > 0.5000000149011612 & socially controversial > 0.5000000149011612,0.0003333352880651383,0.0003333352880651383,0.018190521780756343,76,-0.2270274715203988,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.5000000149011612 & positive > 0.9000000059604645 & socially controversial > 0.30000000447034836 & conceptually dense > 0.7000000178813934,0.00028061072840081155,0.00028061072840081155,0.0007180469123982767,3,0.1820944050947825,5,rule
positive <= 0.7000000178813934 & positive > 0.5000000149011612 & unambiguous > 0.7000000178813934 & common > 0.7000000178813934 & common > 0.9000000059604645,0.0002478197851838422,0.0002478197851838422,0.0007180469123982767,3,0.13642755150794983,5,rule
positive > 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial <= 0.7000000178813934 & positive > 0.9000000059604645,0.00018367412388182075,0.00018367412388182075,0.00023934897079942556,1,0.558687686920166,4,rule
positive > 0.7000000178813934 & technically complicated <= 0.5000000149011612 & positive > 0.9000000059604645 & socially controversial > 0.30000000447034836 & conceptually dense <= 0.7000000178813934,0.00016777397856979407,0.00016777397856979407,0.0009573958831977022,4,-0.03346288204193115,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.5000000149011612 & positive > 0.9000000059604645 & socially controversial <= 0.30000000447034836,0.00016621161785463558,0.00016621161785463558,0.00023934897079942556,1,0.4857293367385864,4,rule
positive <= 0.7000000178813934 & positive <= 0.5000000149011612 & technically complicated <= 0.5000000149011612 & common > 0.7000000178813934,0.00016240898988759364,0.00016240898988759364,0.0004786979415988511,2,-0.5479751825332642,4,rule
positive > 0.7000000178813934 & technically complicated <= 0.5000000149011612 & positive <= 0.9000000059604645 & common <= 0.5000000149011612 & conceptually dense > 0.7000000178813934,0.00015335082437160084,0.00015335082437160084,0.0004786979415988511,2,-0.5290526747703552,5,rule
positive <= 0.7000000178813934 & positive <= 0.5000000149011612 & technically complicated > 0.5000000149011612 & common > 0.7000000178813934 & socially controversial <= 0.5000000149011612,0.00014894675729148064,0.00014894675729148064,0.0009573958831977022,4,-0.3642776906490326,5,rule
positive <= 0.7000000178813934 & positive <= 0.5000000149011612 & technically complicated > 0.5000000149011612 & common <= 0.7000000178813934 & socially controversial <= 0.7000000178813934,0.00014552864918816085,0.00014552864918816085,0.0007180469123982767,3,-0.4113757014274597,5,rule
positive > 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial > 0.7000000178813934 & common <= 0.5000000149011612 & technically complicated > 0.7000000178813934,0.00013647911478994906,0.00013647911478994906,0.0011967448539971278,5,-0.09466085433959961,5,rule
positive <= 0.7000000178813934 & positive <= 0.5000000149011612 & technically complicated <= 0.5000000149011612 & common <= 0.7000000178813934 & unambiguous > 0.7000000178813934,0.0001287669043269324,0.0001287669043269324,0.00023934897079942556,1,-0.7466909289360046,5,rule
positive <= 0.7000000178813934 & positive <= 0.5000000149011612 & technically complicated <= 0.5000000149011612 & common <= 0.7000000178813934 & unambiguous <= 0.7000000178813934,0.00010908537358402236,0.00010908537358402236,0.00023934897079942556,1,-0.6644614934921265,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.5000000149011612 & positive <= 0.9000000059604645 & common <= 0.5000000149011612 & conceptually dense <= 0.7000000178813934,9.406196437651259e-05,9.406196437651259e-05,0.00023934897079942556,1,-0.6016936898231506,5,rule
positive <= 0.7000000178813934 & positive > 0.5000000149011612 & unambiguous > 0.7000000178813934 & common <= 0.7000000178813934 & technically complicated <= 0.5000000149011612,5.2481133610281206e-05,5.2481133610281206e-05,0.0004786979415988511,2,-0.3183358907699585,5,rule
positive > 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial > 0.7000000178813934 & common <= 0.5000000149011612 & technically complicated <= 0.7000000178813934,1.1365940948603204e-05,1.1365940948603204e-05,0.0011967448539971278,5,-0.19920542240142822,5,rule
