rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
positive <= 0.7000000178813934 & common > 0.5000000149011612 & positive > 0.5000000149011612 & socially controversial > 0.5000000149011612 & technically complicated > 0.7000000178813934,0.061534045458011125,0.061534045458011125,0.10193826274228285,426,0.03708934658010241,5,rule
positive <= 0.7000000178813934 & common > 0.5000000149011612 & positive <= 0.5000000149011612 & positive > 0.30000000447034836 & technically complicated > 0.7000000178813934,0.0328014274053124,0.0328014274053124,0.05862646566164154,245,0.08123103258561115,5,rule
positive <= 0.7000000178813934 & common > 0.5000000149011612 & positive > 0.5000000149011612 & socially controversial > 0.5000000149011612 & technically complicated <= 0.7000000178813934,0.03251141256965442,0.03251141256965442,0.05719071548217277,239,0.07225605433954853,5,rule
positive > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial <= 0.5000000149011612,0.030508824514698028,0.030508824514698028,0.12945680784876765,541,0.8763976466192996,5,rule
positive > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common <= 0.9000000059604645 & unambiguous > 0.7000000178813934 & common > 0.7000000178813934,0.023522671885283893,0.023522671885283893,0.1363962670495334,570,0.813187991736228,5,rule
positive > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial > 0.5000000149011612 & common > 0.5000000149011612,0.021747005815909905,0.021747005815909905,0.11677434793012682,488,0.8269606848232082,5,rule
positive > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & common > 0.7000000178813934,0.01991874289073337,0.01991874289073337,0.07394113424264179,309,0.9101161594143963,5,rule
positive > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial > 0.5000000149011612,0.019359076057332763,0.019359076057332763,0.09117013639626705,381,0.8530697677079149,5,rule
positive <= 0.7000000178813934 & common > 0.5000000149011612 & positive <= 0.5000000149011612 & positive > 0.30000000447034836 & technically complicated <= 0.7000000178813934,0.014816731278706348,0.014816731278706348,0.029432878679109833,123,0.13732218596993423,5,rule
positive > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common <= 0.9000000059604645 & unambiguous > 0.7000000178813934 & common <= 0.7000000178813934,0.011125637415808107,0.011125637415808107,0.05719071548217277,239,0.8352653927882845,5,rule
positive > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common <= 0.9000000059604645 & unambiguous <= 0.7000000178813934 & technically complicated > 0.7000000178813934,0.007676954958592342,0.007676954958592342,0.04690117252931323,196,0.8044133125519266,5,rule
positive > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial <= 0.5000000149011612 & unambiguous > 0.7000000178813934,0.006104640354234996,0.006104640354234996,0.040918880114860015,171,0.7899185080974422,5,rule
positive > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & common <= 0.7000000178813934,0.0032402379685653165,0.0032402379685653165,0.015793251974156496,66,0.8458956425840204,5,rule
positive > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common <= 0.9000000059604645 & unambiguous <= 0.7000000178813934 & technically complicated <= 0.7000000178813934,0.0025838829165128,0.0025838829165128,0.027039961713328547,113,0.736287601226199,5,rule
positive <= 0.7000000178813934 & common > 0.5000000149011612 & positive > 0.5000000149011612 & socially controversial <= 0.5000000149011612 & technically complicated > 0.5000000149011612,0.0020684048044935428,0.0020684048044935428,0.004067958841828189,17,0.13226709646337173,5,rule
positive <= 0.7000000178813934 & common > 0.5000000149011612 & positive <= 0.5000000149011612 & positive <= 0.30000000447034836 & unambiguous <= 0.7000000178813934,0.0007666064438337229,0.0007666064438337229,0.0011964584828906438,5,0.0,5,rule
positive > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial <= 0.5000000149011612 & unambiguous <= 0.7000000178813934,0.0004726323992420425,0.0004726323992420425,0.0016750418760469012,7,0.9228912081037249,5,rule
positive <= 0.7000000178813934 & common <= 0.5000000149011612 & technically complicated > 0.7000000178813934 & positive > 0.5000000149011612 & socially controversial <= 0.7000000178813934,0.0004139314088047792,0.0004139314088047792,0.000957166786312515,4,0.20827482640743256,5,rule
positive <= 0.7000000178813934 & common <= 0.5000000149011612 & technically complicated > 0.7000000178813934 & positive > 0.5000000149011612 & socially controversial > 0.7000000178813934,0.0004077619358408705,0.0004077619358408705,0.0011964584828906438,5,0.29992223978042604,5,rule
positive <= 0.7000000178813934 & common > 0.5000000149011612 & positive <= 0.5000000149011612 & positive <= 0.30000000447034836 & unambiguous > 0.7000000178813934,0.00030763618796029763,0.00030763618796029763,0.0016750418760469012,7,0.4570708615439279,5,rule
positive <= 0.7000000178813934 & common <= 0.5000000149011612 & technically complicated > 0.7000000178813934 & positive <= 0.5000000149011612,0.00030664257753348917,0.00030664257753348917,0.0004785833931562575,2,0.0,4,rule
positive > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common > 0.9000000059604645 & technically complicated > 0.7000000178813934,0.00030664257753348917,0.00030664257753348917,0.0004785833931562575,2,0.0,4,rule
positive > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial > 0.5000000149011612 & common <= 0.5000000149011612,0.00023864677118382176,0.00023864677118382176,0.002871500358937545,12,0.7238384038209915,5,rule
positive <= 0.7000000178813934 & common > 0.5000000149011612 & positive > 0.5000000149011612 & socially controversial <= 0.5000000149011612 & technically complicated <= 0.5000000149011612,0.00021962478817521912,0.00021962478817521912,0.000957166786312515,4,0.4112766683101654,5,rule
positive <= 0.7000000178813934 & common <= 0.5000000149011612 & technically complicated <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & positive > 0.5000000149011612,0.0001871431521406354,0.0001871431521406354,0.000957166786312515,4,0.8362474739551544,5,rule
positive <= 0.7000000178813934 & common <= 0.5000000149011612 & technically complicated <= 0.7000000178813934 & socially controversial <= 0.5000000149011612,0.00015332128876674458,0.00015332128876674458,0.00023929169657812874,1,0.0,4,rule
positive <= 0.7000000178813934 & common <= 0.5000000149011612 & technically complicated <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & positive <= 0.5000000149011612,0.00015332128876674458,0.00015332128876674458,0.00023929169657812874,1,0.0,5,rule
positive > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common > 0.9000000059604645 & technically complicated <= 0.7000000178813934,8.145217890943686e-05,8.145217890943686e-05,0.00023929169657812874,1,0.9811183214187622,4,rule
