rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
socially controversial > 0.7000000178813934 & positive > 0.7000000178813934 & common <= 0.9000000059604645 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.7000000178813934,0.028820630098856326,0.028820630098856326,0.19860017497812774,1362,3.483847283406755,5,rule
socially controversial > 0.7000000178813934 & positive <= 0.7000000178813934 & common <= 0.9000000059604645 & socially controversial <= 0.9000000059604645 & technically complicated <= 0.7000000178813934,0.02712952440561653,0.02712952440561653,0.07961504811898512,546,3.6794871794871793,5,rule
socially controversial <= 0.7000000178813934 & positive <= 0.9000000059604645 & common <= 0.9000000059604645 & technically complicated <= 0.7000000178813934 & socially controversial > 0.5000000149011612,0.01795802425107514,0.01795802425107514,0.08530183727034121,585,3.128205128205128,5,rule
socially controversial > 0.7000000178813934 & positive <= 0.7000000178813934 & common <= 0.9000000059604645 & socially controversial <= 0.9000000059604645 & technically complicated > 0.7000000178813934,0.017589333384890177,0.017589333384890177,0.13619130941965588,934,3.467880085653105,5,rule
socially controversial <= 0.7000000178813934 & positive <= 0.9000000059604645 & common <= 0.9000000059604645 & technically complicated > 0.7000000178813934 & socially controversial > 0.5000000149011612,0.017002383068303883,0.017002383068303883,0.04330708661417323,297,2.946127946127946,5,rule
socially controversial > 0.7000000178813934 & positive > 0.7000000178813934 & common <= 0.9000000059604645 & technically complicated > 0.7000000178813934 & socially controversial <= 0.9000000059604645,0.013746089231658558,0.013746089231658558,0.22353455818022747,1533,3.27723418134377,5,rule
socially controversial > 0.7000000178813934 & positive <= 0.7000000178813934 & common <= 0.9000000059604645 & socially controversial > 0.9000000059604645 & positive <= 0.5000000149011612,0.013666159976637718,0.013666159976637718,0.02551764362787985,175,3.874285714285714,5,rule
socially controversial <= 0.7000000178813934 & positive <= 0.9000000059604645 & common <= 0.9000000059604645 & technically complicated <= 0.7000000178813934 & socially controversial <= 0.5000000149011612,0.012571288462316508,0.012571288462316508,0.03280839895013123,225,2.9555555555555557,5,rule
socially controversial > 0.7000000178813934 & positive <= 0.7000000178813934 & common <= 0.9000000059604645 & socially controversial > 0.9000000059604645 & positive > 0.5000000149011612,0.011721002356795391,0.011721002356795391,0.0347039953339166,238,3.676470588235294,5,rule
socially controversial <= 0.7000000178813934 & positive <= 0.9000000059604645 & common > 0.9000000059604645 & conceptually dense <= 0.7000000178813934 & socially controversial <= 0.5000000149011612,0.011315085374081784,0.011315085374081784,0.016185476815398076,111,2.6396396396396398,5,rule
