rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
common <= 0.9000000059604645 & positive > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common > 0.7000000178813934 & technically complicated > 0.7000000178813934,0.05171307094871007,0.05171307094871007,0.21128608923884515,1449,2.2028985507246377,5,rule
common <= 0.9000000059604645 & positive > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common > 0.7000000178813934 & technically complicated <= 0.7000000178813934,0.03299400944791825,0.03299400944791825,0.1942257217847769,1332,2.2777777777777777,5,rule
common <= 0.9000000059604645 & positive > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934,0.022457565292042445,0.022457565292042445,0.06124234470691164,420,2.080952380952381,5,rule
common > 0.9000000059604645 & socially controversial <= 0.9000000059604645 & positive <= 0.9000000059604645 & socially controversial > 0.7000000178813934 & unambiguous <= 0.7000000178813934,0.020238321214766566,0.020238321214766566,0.024496937882764653,168,3.2738095238095237,5,rule
common > 0.9000000059604645 & socially controversial <= 0.9000000059604645 & positive <= 0.9000000059604645 & socially controversial <= 0.7000000178813934 & technically complicated > 0.5000000149011612,0.020075666761912837,0.020075666761912837,0.02974628171478565,204,3.122549019607843,5,rule
common > 0.9000000059604645 & socially controversial <= 0.9000000059604645 & positive <= 0.9000000059604645 & socially controversial > 0.7000000178813934 & unambiguous > 0.7000000178813934,0.018820695329178315,0.018820695329178315,0.016914552347623214,116,3.560344827586207,5,rule
common <= 0.9000000059604645 & positive <= 0.7000000178813934 & positive > 0.5000000149011612 & socially controversial > 0.7000000178813934 & technically complicated <= 0.7000000178813934,0.018809173294183076,0.018809173294183076,0.07101195683872849,487,2.7125256673511293,5,rule
common <= 0.9000000059604645 & positive > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.7000000178813934,0.016703928479928607,0.016703928479928607,0.05555555555555555,381,2.146981627296588,5,rule
common <= 0.9000000059604645 & positive > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial > 0.5000000149011612,0.015302122490994951,0.015302122490994951,0.03776611256926218,259,2.0424710424710426,5,rule
common <= 0.9000000059604645 & positive <= 0.7000000178813934 & positive <= 0.5000000149011612 & socially controversial > 0.9000000059604645 & conceptually dense <= 0.9000000059604645,0.014597330541157387,0.014597330541157387,0.02537182852143482,174,3.0229885057471266,5,rule
common <= 0.9000000059604645 & positive <= 0.7000000178813934 & positive <= 0.5000000149011612 & socially controversial <= 0.9000000059604645 & unambiguous <= 0.7000000178813934,0.012687531460405745,0.012687531460405745,0.034849810440361624,239,2.811715481171548,5,rule
common > 0.9000000059604645 & socially controversial <= 0.9000000059604645 & positive <= 0.9000000059604645 & socially controversial <= 0.7000000178813934 & technically complicated <= 0.5000000149011612,0.008181975582453208,0.008181975582453208,0.010061242344706912,69,3.260869565217391,5,rule
common <= 0.9000000059604645 & positive <= 0.7000000178813934 & positive > 0.5000000149011612 & socially controversial > 0.7000000178813934 & technically complicated > 0.7000000178813934,0.007703073659559202,0.007703073659559202,0.12904636920384951,885,2.5073446327683615,5,rule
common > 0.9000000059604645 & socially controversial > 0.9000000059604645 & technically complicated > 0.7000000178813934 & positive > 0.5000000149011612 & unambiguous > 0.5000000149011612,0.007204431665642472,0.007204431665642472,0.006707494896471274,46,3.5217391304347827,5,rule
common > 0.9000000059604645 & socially controversial > 0.9000000059604645 & technically complicated > 0.7000000178813934 & positive <= 0.5000000149011612 & conceptually dense <= 0.9000000059604645,0.0057046919600474795,0.0057046919600474795,0.004520268299795859,31,3.7096774193548385,5,rule
