rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
common <= 0.9000000059604645 & conceptually dense > 0.7000000178813934 & unambiguous <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & technically complicated > 0.7000000178813934,0.39648931121714925,0.39648931121714925,0.3531641878098571,2422,21.74528900047258,5,rule
common <= 0.9000000059604645 & conceptually dense > 0.7000000178813934 & unambiguous <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & technically complicated <= 0.7000000178813934,0.12698211597610645,0.12698211597610645,0.21361913094196558,1465,21.217044321261984,5,rule
common > 0.9000000059604645 & socially controversial <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & conceptually dense > 0.5000000149011612 & technically complicated <= 0.7000000178813934,0.0876343683446938,0.0876343683446938,0.018226888305628464,125,15.814640014648438,5,rule
common > 0.9000000059604645 & socially controversial > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & socially controversial <= 0.9000000059604645 & conceptually dense > 0.5000000149011612,0.08000793537686123,0.08000793537686123,0.022018081073199185,151,16.988874113322883,5,rule
common > 0.9000000059604645 & socially controversial > 0.7000000178813934 & technically complicated > 0.7000000178813934 & positive > 0.5000000149011612 & conceptually dense <= 0.9000000059604645,0.06157290925086846,0.06157290925086846,0.02216389617964421,152,17.84453955449556,5,rule
common > 0.9000000059604645 & socially controversial <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & positive <= 0.9000000059604645,0.04858512661484179,0.04858512661484179,0.0121026538349373,83,16.608192742589008,5,rule
common <= 0.9000000059604645 & conceptually dense <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & socially controversial <= 0.7000000178813934 & positive > 0.7000000178813934,0.0451549474127128,0.0451549474127128,0.01968503937007874,135,18.32874067094591,5,rule
common > 0.9000000059604645 & socially controversial <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & positive <= 0.9000000059604645,0.042256108314867924,0.042256108314867924,0.009623797025371828,66,16.231818199157715,5,rule
common <= 0.9000000059604645 & conceptually dense > 0.7000000178813934 & unambiguous > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & common > 0.7000000178813934,0.03863999432674755,0.03863999432674755,0.11461067366579178,786,20.285470674966128,5,rule
common <= 0.9000000059604645 & conceptually dense > 0.7000000178813934 & unambiguous > 0.7000000178813934 & technically complicated > 0.7000000178813934 & positive > 0.5000000149011612,0.03663530931002763,0.03663530931002763,0.06838728492271799,469,21.15831552029673,5,rule
common <= 0.9000000059604645 & conceptually dense <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial > 0.5000000149011612 & unambiguous <= 0.7000000178813934,0.029974322376045394,0.029974322376045394,0.018081073199183437,124,18.9648385893914,5,rule
common <= 0.9000000059604645 & conceptually dense <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial <= 0.5000000149011612 & common > 0.5000000149011612,0.02959855411448329,0.02959855411448329,0.015456401283172936,106,18.707641394633168,5,rule
common > 0.9000000059604645 & socially controversial > 0.7000000178813934 & technically complicated > 0.7000000178813934 & positive <= 0.5000000149011612 & unambiguous > 0.7000000178813934,0.017720355136500887,0.017720355136500887,0.004811898512685914,33,16.940000013871625,5,rule
common > 0.9000000059604645 & socially controversial <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & conceptually dense <= 0.5000000149011612 & positive <= 0.9000000059604645,0.01631082352343159,0.01631082352343159,0.0027704870224555265,19,14.735263171948885,5,rule
common <= 0.9000000059604645 & conceptually dense <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial > 0.5000000149011612 & unambiguous > 0.7000000178813934,0.015381994800895816,0.015381994800895816,0.025663458734324875,176,20.023238588463176,5,rule
common <= 0.9000000059604645 & conceptually dense > 0.7000000178813934 & unambiguous > 0.7000000178813934 & technically complicated > 0.7000000178813934 & positive <= 0.5000000149011612,0.012487019627599773,0.012487019627599773,0.014289880431612716,98,19.748775462714992,5,rule
common > 0.9000000059604645 & socially controversial > 0.7000000178813934 & technically complicated > 0.7000000178813934 & positive <= 0.5000000149011612 & unambiguous <= 0.7000000178813934,0.011234053024643533,0.011234053024643533,0.004082822980460776,28,17.871071440832957,5,rule
common <= 0.9000000059604645 & conceptually dense > 0.7000000178813934 & unambiguous <= 0.7000000178813934 & socially controversial <= 0.7000000178813934 & positive <= 0.7000000178813934,0.009206973765883019,0.009206973765883019,0.0051035287255759695,35,18.81857125418527,5,rule
common <= 0.9000000059604645 & conceptually dense <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & common > 0.7000000178813934,0.006733938152082949,0.006733938152082949,0.0017497812773403325,12,16.774166345596313,5,rule
common <= 0.9000000059604645 & conceptually dense > 0.7000000178813934 & unambiguous <= 0.7000000178813934 & socially controversial <= 0.7000000178813934 & positive > 0.7000000178813934,0.005030529948913531,0.005030529948913531,0.04636920384951881,318,20.731100598221307,5,rule
common > 0.9000000059604645 & socially controversial > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & socially controversial > 0.9000000059604645 & positive <= 0.7000000178813934,0.003984245763085054,0.003984245763085054,0.00189559638378536,13,18.520769119262695,5,rule
common > 0.9000000059604645 & socially controversial > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & socially controversial > 0.9000000059604645 & positive > 0.7000000178813934,0.003692168889083262,0.003692168889083262,0.0011665208515602217,8,17.457500219345093,5,rule
common > 0.9000000059604645 & socially controversial <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & conceptually dense > 0.5000000149011612 & technically complicated > 0.7000000178813934,0.0030381557857305404,0.0030381557857305404,0.0008748906386701663,6,17.14999993642171,5,rule
common <= 0.9000000059604645 & conceptually dense > 0.7000000178813934 & unambiguous > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & common <= 0.7000000178813934,0.002766613085577945,0.002766613085577945,0.002041411490230388,14,21.977857181004115,5,rule
common > 0.9000000059604645 & socially controversial <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & conceptually dense <= 0.5000000149011612 & positive > 0.9000000059604645,0.001543485586411684,0.001543485586411684,0.00029163021289005544,2,15.329999923706055,5,rule
common > 0.9000000059604645 & socially controversial <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & positive > 0.9000000059604645,0.0015361948032774082,0.0015361948032774082,0.00029163021289005544,2,15.355000019073486,5,rule
common > 0.9000000059604645 & socially controversial > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & socially controversial <= 0.9000000059604645 & conceptually dense <= 0.5000000149011612,0.000999214281386417,0.000999214281386417,0.00014581510644502772,1,13.770000457763672,5,rule
common > 0.9000000059604645 & socially controversial <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & positive > 0.9000000059604645,0.0008304495267737326,0.0008304495267737326,0.00029163021289005544,2,17.77500057220459,5,rule
common <= 0.9000000059604645 & conceptually dense <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & common <= 0.7000000178813934,0.0006164824451570019,0.0006164824451570019,0.0004374453193350831,3,19.213333129882812,5,rule
common <= 0.9000000059604645 & conceptually dense <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial <= 0.5000000149011612 & common <= 0.5000000149011612,0.0004924741907973581,0.0004924741907973581,0.00014581510644502772,1,24.0,5,rule
common <= 0.9000000059604645 & conceptually dense <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & socially controversial <= 0.7000000178813934 & positive <= 0.7000000178813934,0.00046001394276856753,0.00046001394276856753,0.00029163021289005544,2,22.199999809265137,5,rule
common > 0.9000000059604645 & socially controversial > 0.7000000178813934 & technically complicated > 0.7000000178813934 & positive > 0.5000000149011612 & conceptually dense > 0.9000000059604645,0.00011703299864209683,0.00011703299864209683,0.00014581510644502772,1,19.81999969482422,5,rule
