rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
positive > 0.7000000178813934 & technically complicated > 0.7000000178813934 & common > 0.5000000149011612 & socially controversial > 0.5000000149011612 & unambiguous <= 0.7000000178813934,0.09165804655220253,0.09165804655220253,0.23301254009915429,1598,2.964956195244055,5,rule
positive <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & unambiguous <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & unambiguous > 0.5000000149011612,0.05390340741642295,0.05390340741642295,0.08588509769612132,589,1.9439728353140917,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & common <= 0.9000000059604645 & positive > 0.5000000149011612 & common > 0.7000000178813934,0.022788274319466,0.022788274319466,0.12175561388159814,835,2.384431137724551,5,rule
positive > 0.7000000178813934 & technically complicated > 0.7000000178813934 & common > 0.5000000149011612 & socially controversial > 0.5000000149011612 & unambiguous > 0.7000000178813934,0.01907137567359387,0.01907137567359387,0.057451151939340916,394,2.9035532994923856,5,rule
positive <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & unambiguous > 0.7000000178813934 & socially controversial > 0.7000000178813934 & positive > 0.30000000447034836,0.017960049035980946,0.017960049035980946,0.023767862350539515,163,1.8159509202453987,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & common <= 0.9000000059604645 & positive <= 0.5000000149011612 & unambiguous <= 0.7000000178813934,0.015212312110418055,0.015212312110418055,0.035287255759696705,242,2.1404958677685952,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & common > 0.5000000149011612 & socially controversial > 0.7000000178813934,0.013327809665042475,0.013327809665042475,0.2268883056284631,1556,2.512853470437018,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & common > 0.9000000059604645 & socially controversial > 0.7000000178813934 & unambiguous > 0.7000000178813934,0.008101987574530884,0.008101987574530884,0.00699912510936133,48,3.7291666666666665,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & common > 0.5000000149011612 & socially controversial <= 0.7000000178813934,0.007328733058739184,0.007328733058739184,0.14712744240303297,1009,2.6214073339940533,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & common <= 0.9000000059604645 & positive > 0.5000000149011612 & common <= 0.7000000178813934,0.005813765783079097,0.005813765783079097,0.011956838728492273,82,2.0853658536585367,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & positive <= 0.9000000059604645 & unambiguous > 0.7000000178813934,0.0044150213417905385,0.0044150213417905385,0.006561679790026247,45,3.2444444444444445,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & common > 0.9000000059604645 & socially controversial > 0.7000000178813934 & unambiguous <= 0.7000000178813934,0.004122540776254692,0.004122540776254692,0.011665208515602217,80,2.925,5,rule
