rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
positive <= 0.7000000178813934 & common <= 0.9000000059604645 & unambiguous <= 0.7000000178813934 & common > 0.5000000149011612 & socially controversial > 0.7000000178813934,0.10550559168482147,0.10550559168482147,0.22820064158646836,1565,1.9252396166134185,5,rule
positive > 0.7000000178813934 & technically complicated > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial > 0.7000000178813934 & unambiguous <= 0.7000000178813934,0.06061761829101436,0.06061761829101436,0.18445610965296005,1265,2.716205533596838,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & common > 0.5000000149011612 & socially controversial > 0.7000000178813934 & common > 0.7000000178813934,0.02081175196723569,0.02081175196723569,0.210411198600175,1443,2.4864864864864864,5,rule
positive <= 0.7000000178813934 & common > 0.9000000059604645 & socially controversial > 0.7000000178813934 & positive > 0.30000000447034836 & conceptually dense <= 0.9000000059604645,0.01993316816984651,0.01993316816984651,0.026975794692330125,185,1.6486486486486487,5,rule
positive > 0.7000000178813934 & technically complicated > 0.7000000178813934 & common <= 0.7000000178813934 & common > 0.5000000149011612 & socially controversial > 0.5000000149011612,0.018060278009485325,0.018060278009485325,0.033537474482356375,230,2.9260869565217393,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & common > 0.5000000149011612 & socially controversial <= 0.7000000178813934 & conceptually dense > 0.7000000178813934,0.01647391594613945,0.01647391594613945,0.06547098279381744,449,2.6391982182628064,5,rule
positive <= 0.7000000178813934 & common <= 0.9000000059604645 & unambiguous > 0.7000000178813934 & positive <= 0.5000000149011612 & socially controversial > 0.7000000178813934,0.014211424101403728,0.014211424101403728,0.022747156605424323,156,1.7628205128205128,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & common > 0.5000000149011612 & socially controversial <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934,0.014082573078296792,0.014082573078296792,0.0889472149314669,610,2.545901639344262,5,rule
positive > 0.7000000178813934 & technically complicated > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & unambiguous <= 0.7000000178813934,0.010748856406268869,0.010748856406268869,0.01778944298629338,122,2.9918032786885247,5,rule
positive <= 0.7000000178813934 & common <= 0.9000000059604645 & unambiguous > 0.7000000178813934 & positive > 0.5000000149011612 & technically complicated <= 0.7000000178813934,0.009490101703856281,0.009490101703856281,0.015456401283172936,106,1.7735849056603774,5,rule
positive > 0.7000000178813934 & technically complicated > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & unambiguous > 0.7000000178813934,0.00874367536209387,0.00874367536209387,0.020705745115193935,142,2.8098591549295775,5,rule
positive > 0.7000000178813934 & technically complicated > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial > 0.7000000178813934 & unambiguous > 0.7000000178813934,0.008071496556889178,0.008071496556889178,0.03937007874015748,270,2.5925925925925926,5,rule
