rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
positive > 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial <= 0.9000000059604645 & common <= 0.9000000059604645 & conceptually dense <= 0.9000000059604645,0.10525738348172409,0.10525738348172409,0.2665500145815106,1828,3.7970459518599564,5,rule
positive <= 0.7000000178813934 & positive > 0.5000000149011612 & technically complicated > 0.7000000178813934 & common <= 0.9000000059604645 & socially controversial > 0.7000000178813934,0.09316270769980878,0.09316270769980878,0.12904636920384951,885,2.680225988700565,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & common <= 0.9000000059604645 & socially controversial <= 0.9000000059604645 & socially controversial > 0.7000000178813934,0.05212097812512415,0.05212097812512415,0.19962088072324294,1369,3.6632578524470416,5,rule
positive <= 0.7000000178813934 & positive > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & technically complicated > 0.5000000149011612,0.050018022518597376,0.050018022518597376,0.08267716535433071,567,2.797178130511464,5,rule
positive <= 0.7000000178813934 & positive <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & common <= 0.9000000059604645 & conceptually dense > 0.7000000178813934,0.03848289549959128,0.03848289549959128,0.07538641003207933,517,2.8916827852998064,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & common <= 0.9000000059604645 & socially controversial <= 0.9000000059604645 & socially controversial <= 0.7000000178813934,0.037747364309794314,0.037747364309794314,0.1167979002624672,801,3.725343320848939,5,rule
positive <= 0.7000000178813934 & positive > 0.5000000149011612 & technically complicated > 0.7000000178813934 & common > 0.9000000059604645 & socially controversial > 0.7000000178813934,0.009032456615500284,0.009032456615500284,0.009769612131816856,67,2.4776119402985075,5,rule
positive <= 0.7000000178813934 & positive <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & common > 0.9000000059604645 & conceptually dense > 0.7000000178813934,0.007081366238909722,0.007081366238909722,0.011081948089822106,76,2.763157894736842,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & common > 0.9000000059604645 & positive <= 0.9000000059604645 & socially controversial > 0.5000000149011612,0.006635120291166178,0.006635120291166178,0.033537474482356375,230,3.6,5,rule
positive <= 0.7000000178813934 & positive > 0.5000000149011612 & technically complicated > 0.7000000178813934 & common <= 0.9000000059604645 & socially controversial <= 0.7000000178813934,0.003917914363030061,0.003917914363030061,0.004666083406240887,32,2.5625,5,rule
positive > 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial <= 0.9000000059604645 & common > 0.9000000059604645 & socially controversial > 0.5000000149011612,0.0037929793077225815,0.0037929793077225815,0.01268591426071741,87,3.7011494252873565,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & common > 0.9000000059604645 & positive <= 0.9000000059604645 & socially controversial <= 0.5000000149011612,0.0015978859061226967,0.0015978859061226967,0.016331291921843103,112,3.5,5,rule
positive <= 0.7000000178813934 & positive > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & technically complicated <= 0.5000000149011612,0.0013455897178549774,0.0013455897178549774,0.00189559638378536,13,2.6923076923076925,5,rule
positive <= 0.7000000178813934 & positive <= 0.5000000149011612 & socially controversial <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & unambiguous <= 0.7000000178813934,0.0013440163568700847,0.0013440163568700847,0.0011665208515602217,8,2.25,5,rule
positive <= 0.7000000178813934 & positive <= 0.5000000149011612 & socially controversial <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & unambiguous > 0.7000000178813934,0.0011110268587550191,0.0011110268587550191,0.0013123359580052493,9,2.5555555555555554,5,rule
positive > 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial > 0.9000000059604645 & common > 0.7000000178813934 & unambiguous > 0.5000000149011612,0.0009845184424626442,0.0009845184424626442,0.016768737241178187,115,3.4608695652173913,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & common > 0.9000000059604645 & positive > 0.9000000059604645 & conceptually dense <= 0.7000000178813934,0.0008542237666995856,0.0008542237666995856,0.003937007874015748,27,3.185185185185185,5,rule
positive <= 0.7000000178813934 & positive <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & common <= 0.9000000059604645 & conceptually dense <= 0.7000000178813934,0.0005261930719900145,0.0005261930719900145,0.0005832604257801109,4,2.5,5,rule
positive <= 0.7000000178813934 & positive <= 0.5000000149011612 & socially controversial <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & common <= 0.9000000059604645,0.00043901868031997674,0.00043901868031997674,0.0007290755322251386,5,2.8,5,rule
positive <= 0.7000000178813934 & positive > 0.5000000149011612 & technically complicated > 0.7000000178813934 & common > 0.9000000059604645 & socially controversial <= 0.7000000178813934,0.00043901868031997674,0.00043901868031997674,0.0007290755322251386,5,2.8,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & common <= 0.9000000059604645 & socially controversial > 0.9000000059604645 & unambiguous <= 0.7000000178813934,0.00035677755077158336,0.00035677755077158336,0.010352872557596968,71,3.436619718309859,5,rule
positive <= 0.7000000178813934 & positive <= 0.5000000149011612 & socially controversial <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & common > 0.9000000059604645,0.0002932035738749489,0.0002932035738749489,0.0007290755322251386,5,3.0,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & common <= 0.9000000059604645 & socially controversial > 0.9000000059604645 & unambiguous > 0.7000000178813934,0.00023613622008485243,0.00023613622008485243,0.0013123359580052493,9,3.2222222222222223,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & common > 0.9000000059604645 & positive > 0.9000000059604645 & conceptually dense > 0.7000000178813934,0.00023141613713017204,0.00023141613713017204,0.0008748906386701663,6,3.6666666666666665,5,rule
positive <= 0.7000000178813934 & positive > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612,0.0002044558212200175,0.0002044558212200175,0.00014581510644502772,1,2.0,4,rule
positive <= 0.7000000178813934 & positive <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & common > 0.9000000059604645 & conceptually dense <= 0.7000000178813934,0.0002044558212200175,0.0002044558212200175,0.00014581510644502772,1,2.0,5,rule
positive > 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial > 0.9000000059604645 & common <= 0.7000000178813934,8.717439167003793e-05,8.717439167003793e-05,0.00014581510644502772,1,4.0,4,rule
positive > 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial <= 0.9000000059604645 & common <= 0.9000000059604645 & conceptually dense > 0.9000000059604645,5.864071477498978e-05,5.864071477498978e-05,0.00014581510644502772,1,3.0,5,rule
positive > 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial > 0.9000000059604645 & common > 0.7000000178813934 & unambiguous <= 0.5000000149011612,5.864071477498978e-05,5.864071477498978e-05,0.00014581510644502772,1,3.0,5,rule
positive > 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial <= 0.9000000059604645 & common > 0.9000000059604645 & socially controversial <= 0.5000000149011612,1.5733609848935344e-06,1.5733609848935344e-06,0.0007290755322251386,5,3.4,5,rule
