rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
unambiguous > 0.5000000149011612 & socially controversial <= 0.5000000149011612 & common > 0.7000000178813934 & positive <= 0.9000000059604645 & socially controversial > 0.30000000447034836,0.030770934618685172,0.030770934618685172,0.09745618993781797,862,2.3967517401392113,5,rule
unambiguous <= 0.5000000149011612 & positive > 0.5000000149011612 & common <= 0.7000000178813934 & socially controversial > 0.30000000447034836 & conceptually dense > 0.7000000178813934,0.021614750311696802,0.021614750311696802,0.11961560203504805,1058,2.893194706994329,5,rule
unambiguous <= 0.5000000149011612 & positive <= 0.5000000149011612 & technically complicated <= 0.7000000178813934 & common > 0.5000000149011612 & positive > 0.30000000447034836,0.01984213337917122,0.01984213337917122,0.058790276992651214,520,3.05,5,rule
unambiguous > 0.5000000149011612 & socially controversial <= 0.5000000149011612 & common > 0.7000000178813934 & positive <= 0.9000000059604645 & socially controversial <= 0.30000000447034836,0.012071627610952186,0.012071627610952186,0.02328999434708875,206,2.1941747572815533,5,rule
unambiguous > 0.5000000149011612 & socially controversial > 0.5000000149011612 & positive > 0.5000000149011612 & positive <= 0.7000000178813934 & socially controversial <= 0.7000000178813934,0.009944548210631399,0.009944548210631399,0.047597512719050314,421,2.503562945368171,5,rule
unambiguous > 0.5000000149011612 & socially controversial > 0.5000000149011612 & positive > 0.5000000149011612 & positive > 0.7000000178813934 & common <= 0.7000000178813934,0.007260612177269305,0.007260612177269305,0.12198982475975127,1079,2.772011121408712,5,rule
unambiguous > 0.5000000149011612 & socially controversial <= 0.5000000149011612 & common <= 0.7000000178813934 & positive > 0.7000000178813934 & technically complicated > 0.7000000178813934,0.006856697302473819,0.006856697302473819,0.04024872809496891,356,2.542134831460674,5,rule
unambiguous <= 0.5000000149011612 & positive > 0.5000000149011612 & common <= 0.7000000178813934 & socially controversial > 0.30000000447034836 & conceptually dense <= 0.7000000178813934,0.005976670471674439,0.005976670471674439,0.01842849067269644,163,3.03680981595092,5,rule
unambiguous > 0.5000000149011612 & socially controversial <= 0.5000000149011612 & common <= 0.7000000178813934 & positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934,0.0044459684209138955,0.0044459684209138955,0.006557377049180328,58,2.0344827586206895,5,rule
unambiguous > 0.5000000149011612 & socially controversial <= 0.5000000149011612 & common > 0.7000000178813934 & positive > 0.9000000059604645 & socially controversial <= 0.30000000447034836,0.0044289426658030906,0.0044289426658030906,0.016054267947993216,142,2.436619718309859,5,rule
unambiguous > 0.5000000149011612 & socially controversial > 0.5000000149011612 & positive <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & common > 0.7000000178813934,0.004232812776883628,0.004232812776883628,0.027699265121537593,245,2.8653061224489798,5,rule
unambiguous > 0.5000000149011612 & socially controversial <= 0.5000000149011612 & common <= 0.7000000178813934 & positive <= 0.7000000178813934 & technically complicated <= 0.7000000178813934,0.003937174493542763,0.003937174493542763,0.011079706048615037,98,2.357142857142857,5,rule
unambiguous <= 0.5000000149011612 & positive > 0.5000000149011612 & common > 0.7000000178813934 & conceptually dense > 0.5000000149011612 & technically complicated <= 0.7000000178813934,0.0039249158161652805,0.0039249158161652805,0.05415488976823064,479,2.7849686847599164,5,rule
unambiguous > 0.5000000149011612 & socially controversial > 0.5000000149011612 & positive <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & common <= 0.7000000178813934,0.003475201392726348,0.003475201392726348,0.010514414923685699,93,3.043010752688172,5,rule
unambiguous <= 0.5000000149011612 & positive <= 0.5000000149011612 & technically complicated <= 0.7000000178813934 & common <= 0.5000000149011612 & technically complicated > 0.5000000149011612,0.0026922428655112244,0.0026922428655112244,0.006218202374222725,55,3.1454545454545455,5,rule
