rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
conceptually dense > 0.7000000178813934 & positive > 0.5000000149011612 & socially controversial > 0.30000000447034836 & positive > 0.7000000178813934 & socially controversial > 0.5000000149011612,0.17372323807651158,0.17372323807651158,0.20079140757490108,1776,16.532882867632686,5,rule
conceptually dense > 0.7000000178813934 & positive > 0.5000000149011612 & socially controversial > 0.30000000447034836 & positive <= 0.7000000178813934 & technically complicated > 0.5000000149011612,0.10476308146595878,0.10476308146595878,0.18451102317693613,1632,16.23547793369667,5,rule
conceptually dense <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & socially controversial > 0.30000000447034836 & common > 0.7000000178813934 & socially controversial <= 0.5000000149011612,0.08220361803398754,0.08220361803398754,0.07190503109101187,636,14.524465431957125,5,rule
conceptually dense <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & common > 0.5000000149011612 & socially controversial <= 0.30000000447034836 & positive <= 0.9000000059604645,0.0648071049161386,0.0648071049161386,0.021594120972300734,191,12.666544502318217,5,rule
conceptually dense <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & common > 0.5000000149011612 & socially controversial > 0.30000000447034836 & socially controversial <= 0.5000000149011612,0.05487779862062619,0.05487779862062619,0.027699265121537593,245,13.686489751387615,5,rule
conceptually dense > 0.7000000178813934 & positive > 0.5000000149011612 & socially controversial > 0.30000000447034836 & positive > 0.7000000178813934 & socially controversial <= 0.5000000149011612,0.04902388571075546,0.04902388571075546,0.0928208027133974,821,16.195846512314752,5,rule
conceptually dense <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & socially controversial > 0.30000000447034836 & common > 0.7000000178813934 & socially controversial > 0.5000000149011612,0.04102390347529828,0.04102390347529828,0.07066139061616733,625,15.087119995117188,5,rule
conceptually dense <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & socially controversial > 0.30000000447034836 & common <= 0.7000000178813934 & positive > 0.30000000447034836,0.036575314902935835,0.036575314902935835,0.11656302996042962,1031,15.353908841293142,5,rule
conceptually dense > 0.7000000178813934 & positive <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & common <= 0.9000000059604645 & technically complicated > 0.5000000149011612,0.029499248894949735,0.029499248894949735,0.09010740531373658,797,15.995069017972671,5,rule
conceptually dense <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & socially controversial <= 0.30000000447034836 & common > 0.5000000149011612 & technically complicated <= 0.5000000149011612,0.028951569638594594,0.028951569638594594,0.01582815149802148,140,13.8385714667184,5,rule
conceptually dense <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & common > 0.5000000149011612 & socially controversial <= 0.30000000447034836 & positive > 0.9000000059604645,0.021025850760727844,0.021025850760727844,0.011079706048615037,98,13.769999971195142,5,rule
conceptually dense <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & socially controversial <= 0.30000000447034836 & common > 0.5000000149011612 & technically complicated > 0.5000000149011612,0.009888841015528388,0.009888841015528388,0.007009609949123799,62,14.25693545802947,5,rule
conceptually dense > 0.7000000178813934 & positive <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & common <= 0.9000000059604645 & technically complicated <= 0.5000000149011612,0.009794954825013689,0.009794954825013689,0.012549462973431317,111,16.448198163831556,5,rule
conceptually dense <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & common > 0.5000000149011612 & socially controversial > 0.30000000447034836 & socially controversial > 0.5000000149011612,0.00925301702228759,0.00925301702228759,0.007687959299039005,68,14.464117695303525,5,rule
conceptually dense > 0.7000000178813934 & positive <= 0.5000000149011612 & socially controversial <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & common <= 0.9000000059604645,0.005522618096989381,0.005522618096989381,0.007461842849067269,66,14.92757577607126,5,rule
conceptually dense > 0.7000000178813934 & positive > 0.5000000149011612 & socially controversial <= 0.30000000447034836 & unambiguous > 0.5000000149011612 & common > 0.5000000149011612,0.0036589913074413652,0.0036589913074413652,0.0037309214245336347,33,14.686969728180856,5,rule
conceptually dense > 0.7000000178813934 & positive <= 0.5000000149011612 & socially controversial <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & technically complicated > 0.7000000178813934,0.00356114141141849,0.00356114141141849,0.00938383267382702,83,15.288192737533386,5,rule
conceptually dense <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & common <= 0.5000000149011612 & socially controversial <= 0.7000000178813934 & common > 0.30000000447034836,0.0027480890415293,0.0027480890415293,0.004070096099491238,36,14.992500066757202,5,rule
conceptually dense <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & socially controversial > 0.30000000447034836 & common <= 0.7000000178813934 & positive <= 0.30000000447034836,0.0012810357214031144,0.0012810357214031144,0.0004522328999434709,4,12.835000038146973,5,rule
conceptually dense > 0.7000000178813934 & positive <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & common > 0.9000000059604645 & unambiguous <= 0.5000000149011612,0.0009722117180875486,0.0009722117180875486,0.0010175240248728094,9,14.712222205268013,5,rule
conceptually dense > 0.7000000178813934 & positive <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & common > 0.9000000059604645 & unambiguous > 0.5000000149011612,0.0007988823545120603,0.0007988823545120603,0.0021481062747314866,19,15.29578951785439,5,rule
conceptually dense > 0.7000000178813934 & positive <= 0.5000000149011612 & socially controversial <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & common > 0.9000000059604645,0.0005805970316488504,0.0005805970316488504,0.00022611644997173544,2,13.099999904632568,5,rule
conceptually dense <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & socially controversial <= 0.30000000447034836 & common <= 0.5000000149011612 & technically complicated <= 0.5000000149011612,0.0005538100506236422,0.0005538100506236422,0.0005652911249293386,5,14.688000297546386,5,rule
