rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
conceptually dense > 0.7000000178813934 & socially controversial > 0.5000000149011612 & positive <= 0.9000000059604645 & positive > 0.30000000447034836 & positive > 0.5000000149011612,0.0093445328550194,0.0093445328550194,0.39626907857546634,3505,3.005135520684736,5,rule
conceptually dense > 0.7000000178813934 & socially controversial <= 0.5000000149011612 & common > 0.5000000149011612 & socially controversial > 0.30000000447034836 & positive > 0.7000000178813934,0.006281654116391731,0.006281654116391731,0.08094968908988129,716,2.951117318435754,5,rule
conceptually dense <= 0.7000000178813934 & unambiguous <= 0.5000000149011612 & positive > 0.5000000149011612 & conceptually dense > 0.5000000149011612 & technically complicated > 0.5000000149011612,0.006202914689205812,0.006202914689205812,0.01628038439796495,144,3.4097222222222223,5,rule
conceptually dense <= 0.7000000178813934 & unambiguous > 0.5000000149011612 & socially controversial > 0.30000000447034836 & conceptually dense > 0.5000000149011612 & socially controversial > 0.5000000149011612,0.00514314469811337,0.00514314469811337,0.08468061051441492,749,3.0894526034712952,5,rule
conceptually dense <= 0.7000000178813934 & unambiguous <= 0.5000000149011612 & positive > 0.5000000149011612 & conceptually dense <= 0.5000000149011612 & technically complicated <= 0.5000000149011612,0.0032456465667759105,0.0032456465667759105,0.005087620124364048,45,3.6666666666666665,5,rule
conceptually dense <= 0.7000000178813934 & unambiguous > 0.5000000149011612 & socially controversial > 0.30000000447034836 & conceptually dense <= 0.5000000149011612 & unambiguous <= 0.7000000178813934,0.0032206188695723253,0.0032206188695723253,0.021707179197286604,192,3.1770833333333335,5,rule
conceptually dense <= 0.7000000178813934 & unambiguous > 0.5000000149011612 & socially controversial <= 0.30000000447034836 & positive <= 0.9000000059604645 & technically complicated <= 0.7000000178813934,0.003093462707364274,0.003093462707364274,0.03685698134539288,326,2.9447852760736195,5,rule
conceptually dense <= 0.7000000178813934 & unambiguous <= 0.5000000149011612 & positive > 0.5000000149011612 & conceptually dense > 0.5000000149011612 & technically complicated <= 0.5000000149011612,0.0022080672670044153,0.0022080672670044153,0.009723007348784623,86,3.255813953488372,5,rule
conceptually dense > 0.7000000178813934 & socially controversial <= 0.5000000149011612 & common > 0.5000000149011612 & socially controversial > 0.30000000447034836 & positive <= 0.7000000178813934,0.0017333125043818341,0.0017333125043818341,0.013114754098360656,116,2.896551724137931,5,rule
conceptually dense <= 0.7000000178813934 & unambiguous <= 0.5000000149011612 & positive <= 0.5000000149011612 & conceptually dense > 0.5000000149011612 & positive > 0.30000000447034836,0.0014302216255442457,0.0014302216255442457,0.005313736574335783,47,3.297872340425532,5,rule
