rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
socially controversial <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial > 0.30000000447034836,0.0050379973606176475,0.0050379973606176475,0.1236856981345393,1094,0.0624688663800848,5,rule
socially controversial > 0.7000000178813934 & unambiguous <= 0.5000000149011612 & positive <= 0.7000000178813934 & common > 0.7000000178813934 & conceptually dense > 0.7000000178813934,0.004533406345772838,0.004533406345772838,0.06693046919163369,592,0.17093419394380338,5,rule
socially controversial <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & unambiguous > 0.30000000447034836 & common <= 0.7000000178813934,0.004151161071471133,0.004151161071471133,0.06896551724137931,610,0.04300928555551122,5,rule
socially controversial <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & unambiguous > 0.30000000447034836 & positive > 0.7000000178813934 & common > 0.5000000149011612,0.003953251372359446,0.003953251372359446,0.18044092707744488,1596,0.1251099609342733,5,rule
socially controversial <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & unambiguous > 0.30000000447034836 & common > 0.7000000178813934,0.00320988782318788,0.00320988782318788,0.0746184284906727,660,0.06018376079472629,5,rule
socially controversial > 0.7000000178813934 & unambiguous <= 0.5000000149011612 & positive <= 0.7000000178813934 & common <= 0.7000000178813934 & technically complicated <= 0.7000000178813934,0.002690330894064808,0.002690330894064808,0.08569813453928773,758,0.13459423027126644,5,rule
socially controversial > 0.7000000178813934 & unambiguous > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & positive > 0.30000000447034836,0.002344918281362177,0.002344918281362177,0.09259468626342567,819,0.12852566590093722,5,rule
socially controversial > 0.7000000178813934 & unambiguous <= 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & technically complicated > 0.5000000149011612,0.0019187407819749001,0.0019187407819749001,0.017637083097795363,156,0.21199126350574005,5,rule
socially controversial > 0.7000000178813934 & unambiguous > 0.5000000149011612 & technically complicated > 0.7000000178813934 & positive > 0.30000000447034836 & common <= 0.9000000059604645,0.0009441005974721611,0.0009441005974721611,0.024194460146975693,214,0.06417976695800497,5,rule
socially controversial <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & unambiguous > 0.30000000447034836 & positive <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934,0.0009154656500786695,0.0009154656500786695,0.01537591859807801,136,0.043662197011358594,5,rule
socially controversial > 0.7000000178813934 & unambiguous > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & unambiguous <= 0.7000000178813934,0.0006888208414889648,0.0006888208414889648,0.014810627473148671,131,0.056692568855431245,5,rule
socially controversial <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & unambiguous <= 0.5000000149011612,0.0006534969254089923,0.0006534969254089923,0.0322215941209723,285,0.12348245549620243,5,rule
socially controversial <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial <= 0.30000000447034836,0.0005600513072253757,0.0005600513072253757,0.005426794799321651,48,0.0,5,rule
socially controversial <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & unambiguous > 0.30000000447034836 & positive > 0.7000000178813934 & common <= 0.5000000149011612,0.0004279043999278929,0.0004279043999278929,0.009496890898812888,84,0.058143806599435355,5,rule
socially controversial <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & unambiguous > 0.5000000149011612,0.00037990126857789954,0.00037990126857789954,0.14143583945732052,1251,0.10051508854142577,5,rule
socially controversial > 0.7000000178813934 & unambiguous > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & positive <= 0.30000000447034836,0.00034570511011433104,0.00034570511011433104,0.0066704352741661956,59,0.051374651617923026,5,rule
socially controversial > 0.7000000178813934 & unambiguous <= 0.5000000149011612 & positive <= 0.7000000178813934 & common > 0.7000000178813934 & conceptually dense <= 0.7000000178813934,0.00026312129789991795,0.00026312129789991795,0.0063312605992085925,56,0.06164205180747168,5,rule
socially controversial > 0.7000000178813934 & unambiguous <= 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & technically complicated <= 0.5000000149011612,0.0002495101611448453,0.0002495101611448453,0.004635387224420576,41,0.15702837414857818,5,rule
socially controversial <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & unambiguous > 0.30000000447034836 & positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934,0.00022939984376582804,0.00022939984376582804,0.006218202374222725,55,0.1400927868756381,5,rule
socially controversial > 0.7000000178813934 & unambiguous > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & unambiguous > 0.7000000178813934,0.00012080499922373392,0.00012080499922373392,0.0003391746749576032,3,0.4593745271364848,5,rule
socially controversial > 0.7000000178813934 & unambiguous <= 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & technically complicated > 0.5000000149011612,0.00011667735567195324,0.00011667735567195324,0.0011305822498586771,10,0.0,5,rule
socially controversial > 0.7000000178813934 & unambiguous <= 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & technically complicated <= 0.5000000149011612,0.00010802255234791101,0.00010802255234791101,0.0006783493499152064,6,0.2624443670113881,5,rule
socially controversial <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & unambiguous <= 0.30000000447034836,8.57047841938422e-05,8.57047841938422e-05,0.00011305822498586772,1,0.861259937286377,3,rule
socially controversial > 0.7000000178813934 & unambiguous > 0.5000000149011612 & technically complicated > 0.7000000178813934 & positive <= 0.30000000447034836 & socially controversial > 0.9000000059604645,7.235873480042607e-05,7.235873480042607e-05,0.00011305822498586772,1,0.7432141304016113,5,rule
socially controversial > 0.7000000178813934 & unambiguous <= 0.5000000149011612 & positive <= 0.7000000178813934 & common <= 0.7000000178813934 & technically complicated > 0.7000000178813934,5.298363010111068e-05,5.298363010111068e-05,0.01921989824759751,170,0.1059578281991622,5,rule
socially controversial <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & unambiguous <= 0.30000000447034836,4.9879825202808193e-05,4.9879825202808193e-05,0.00011305822498586772,1,0.5443881750106812,4,rule
socially controversial > 0.7000000178813934 & unambiguous > 0.5000000149011612 & technically complicated > 0.7000000178813934 & positive > 0.30000000447034836 & common > 0.9000000059604645,4.66709422687813e-05,4.66709422687813e-05,0.0004522328999434709,4,0.0,5,rule
socially controversial > 0.7000000178813934 & unambiguous > 0.5000000149011612 & technically complicated > 0.7000000178813934 & positive <= 0.30000000447034836 & socially controversial <= 0.9000000059604645,2.464955644192434e-05,2.464955644192434e-05,0.0004522328999434709,4,0.15770745277404785,5,rule
