rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
unambiguous > 0.5000000149011612 & common <= 0.9000000059604645 & socially controversial > 0.30000000447034836 & positive > 0.5000000149011612 & technically complicated <= 0.7000000178813934,0.04310759220371289,0.04310759220371289,0.4511023176936122,3990,2.133834586466165,5,rule
unambiguous > 0.5000000149011612 & common <= 0.9000000059604645 & socially controversial > 0.30000000447034836 & positive > 0.5000000149011612 & technically complicated > 0.7000000178813934,0.02753040144981269,0.02753040144981269,0.11656302996042962,1031,1.9932104752667312,5,rule
unambiguous <= 0.5000000149011612 & positive <= 0.5000000149011612 & technically complicated <= 0.7000000178813934 & common > 0.5000000149011612 & socially controversial <= 0.9000000059604645,0.025171630216763486,0.025171630216763486,0.052911249293386094,468,2.7051282051282053,5,rule
unambiguous <= 0.5000000149011612 & positive > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & common <= 0.7000000178813934,0.0165725451124934,0.0165725451124934,0.09236856981345393,817,2.408812729498164,5,rule
unambiguous > 0.5000000149011612 & common <= 0.9000000059604645 & socially controversial <= 0.30000000447034836 & positive <= 0.9000000059604645 & technically complicated <= 0.7000000178813934,0.015822233811416758,0.015822233811416758,0.035952515545505936,318,1.7893081761006289,5,rule
unambiguous > 0.5000000149011612 & common <= 0.9000000059604645 & socially controversial > 0.30000000447034836 & positive <= 0.5000000149011612 & socially controversial > 0.5000000149011612,0.011666611050939493,0.011666611050939493,0.06003391746749576,531,2.4237288135593222,5,rule
unambiguous <= 0.5000000149011612 & positive > 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & common <= 0.7000000178813934 & socially controversial > 0.5000000149011612,0.007896998617324269,0.007896998617324269,0.01288863764838892,114,2.8421052631578947,5,rule
unambiguous <= 0.5000000149011612 & positive <= 0.5000000149011612 & technically complicated <= 0.7000000178813934 & common > 0.5000000149011612 & socially controversial > 0.9000000059604645,0.007320369738788507,0.007320369738788507,0.01096664782362917,97,2.8969072164948453,5,rule
unambiguous > 0.5000000149011612 & common > 0.9000000059604645 & positive <= 0.9000000059604645 & technically complicated <= 0.7000000178813934 & positive > 0.5000000149011612,0.005831976432864988,0.005831976432864988,0.010062182023742228,89,2.808988764044944,5,rule
unambiguous <= 0.5000000149011612 & positive <= 0.5000000149011612 & technically complicated <= 0.7000000178813934 & common <= 0.5000000149011612 & conceptually dense > 0.7000000178813934,0.004391414018051984,0.004391414018051984,0.005992085924250989,53,2.9622641509433962,5,rule
unambiguous > 0.5000000149011612 & common <= 0.9000000059604645 & socially controversial <= 0.30000000447034836 & positive <= 0.9000000059604645 & technically complicated > 0.7000000178813934,0.003420941259579311,0.003420941259579311,0.004070096099491238,36,1.3888888888888888,5,rule
unambiguous > 0.5000000149011612 & common <= 0.9000000059604645 & socially controversial > 0.30000000447034836 & positive <= 0.5000000149011612 & socially controversial <= 0.5000000149011612,0.003297785219329438,0.003297785219329438,0.01141888072357264,101,1.9405940594059405,5,rule
unambiguous > 0.5000000149011612 & common > 0.9000000059604645 & positive <= 0.9000000059604645 & technically complicated <= 0.7000000178813934 & positive <= 0.5000000149011612,0.002978806174899845,0.002978806174899845,0.003278688524590164,29,3.1379310344827585,5,rule
unambiguous > 0.5000000149011612 & common <= 0.9000000059604645 & socially controversial <= 0.30000000447034836 & positive > 0.9000000059604645 & conceptually dense <= 0.5000000149011612,0.0028994418996548914,0.0028994418996548914,0.010175240248728096,90,1.9444444444444444,5,rule
unambiguous <= 0.5000000149011612 & positive <= 0.5000000149011612 & technically complicated > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & positive > 0.30000000447034836,0.0022181523594228193,0.0022181523594228193,0.013001695873374788,115,2.4,5,rule
unambiguous <= 0.5000000149011612 & positive <= 0.5000000149011612 & technically complicated <= 0.7000000178813934 & common <= 0.5000000149011612 & conceptually dense <= 0.7000000178813934,0.0021853790369459705,0.0021853790369459705,0.0018089315997738835,16,3.4375,5,rule
unambiguous <= 0.5000000149011612 & positive > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & common > 0.7000000178813934,0.002119550386884916,0.002119550386884916,0.042509892594686266,376,2.279255319148936,5,rule
unambiguous > 0.5000000149011612 & common > 0.9000000059604645 & positive > 0.9000000059604645 & socially controversial <= 0.5000000149011612 & unambiguous > 0.7000000178813934,0.0018814575611500496,0.0018814575611500496,0.0021481062747314866,19,3.1052631578947367,5,rule
unambiguous <= 0.5000000149011612 & positive > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & technically complicated > 0.7000000178813934 & common > 0.5000000149011612,0.0017952549720363087,0.0017952549720363087,0.022611644997173545,200,2.15,5,rule
unambiguous > 0.5000000149011612 & common > 0.9000000059604645 & positive > 0.9000000059604645 & socially controversial <= 0.5000000149011612 & unambiguous <= 0.7000000178813934,0.001785016154218623,0.001785016154218623,0.0015828151498021481,14,3.357142857142857,5,rule
unambiguous <= 0.5000000149011612 & positive > 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & common <= 0.7000000178813934 & socially controversial <= 0.5000000149011612,0.0016686984278375388,0.0016686984278375388,0.005539853024307519,49,2.5306122448979593,5,rule
unambiguous <= 0.5000000149011612 & positive > 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & common > 0.7000000178813934 & conceptually dense > 0.5000000149011612,0.0015118484378467496,0.0015118484378467496,0.011644997173544376,103,2.3592233009708736,5,rule
unambiguous <= 0.5000000149011612 & positive > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & technically complicated > 0.7000000178813934 & common <= 0.5000000149011612,0.00104827778429686,0.00104827778429686,0.009723007348784623,86,2.3372093023255816,5,rule
unambiguous <= 0.5000000149011612 & positive > 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & common > 0.7000000178813934 & conceptually dense <= 0.5000000149011612,0.0010288617784792314,0.0010288617784792314,0.0019219898247597512,17,2.764705882352941,5,rule
unambiguous <= 0.5000000149011612 & positive <= 0.5000000149011612 & technically complicated > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & positive <= 0.30000000447034836,0.0003484928655112241,0.0003484928655112241,0.0004522328999434709,4,3.0,5,rule
unambiguous <= 0.5000000149011612 & positive <= 0.5000000149011612 & technically complicated > 0.7000000178813934 & conceptually dense <= 0.7000000178813934,0.00020018144136367376,0.00020018144136367376,0.00011305822498586772,1,4.0,4,rule
unambiguous > 0.5000000149011612 & common > 0.9000000059604645 & positive > 0.9000000059604645 & socially controversial > 0.5000000149011612,0.00020018144136367376,0.00020018144136367376,0.00011305822498586772,1,4.0,4,rule
unambiguous > 0.5000000149011612 & common <= 0.9000000059604645 & socially controversial <= 0.30000000447034836 & positive > 0.9000000059604645 & conceptually dense > 0.5000000149011612,0.00017144724499242476,0.00017144724499242476,0.008140192198982476,72,2.2083333333333335,5,rule
unambiguous > 0.5000000149011612 & common > 0.9000000059604645 & positive <= 0.9000000059604645 & technically complicated > 0.7000000178813934 & unambiguous > 0.7000000178813934,8.712321637780603e-05,8.712321637780603e-05,0.00011305822498586772,1,3.0,5,rule
unambiguous > 0.5000000149011612 & common > 0.9000000059604645 & positive <= 0.9000000059604645 & technically complicated > 0.7000000178813934 & unambiguous <= 0.7000000178813934,6.848683527056418e-05,6.848683527056418e-05,0.0007914075749010741,7,2.142857142857143,5,rule
