rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
conceptually dense > 0.7000000178813934 & positive > 0.5000000149011612 & common <= 0.9000000059604645 & positive > 0.7000000178813934 & technically complicated > 0.5000000149011612,0.37376281672302397,0.37376281672302397,0.2588740673750848,2290,21.93407421486867,5,rule
conceptually dense <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & common <= 0.9000000059604645 & unambiguous <= 0.7000000178813934 & positive <= 0.9000000059604645,0.17492411520964662,0.17492411520964662,0.2275604793126837,2013,19.72157966397736,5,rule
conceptually dense > 0.7000000178813934 & positive > 0.5000000149011612 & common <= 0.9000000059604645 & positive <= 0.7000000178813934 & unambiguous <= 0.5000000149011612,0.14825660449844555,0.14825660449844555,0.11700203481799683,1035,21.75740095037193,5,rule
conceptually dense <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & unambiguous > 0.7000000178813934 & technically complicated > 0.30000000447034836 & common > 0.5000000149011612,0.12733348855707077,0.12733348855707077,0.03402667872484739,301,16.74810627687017,5,rule
conceptually dense <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & unambiguous <= 0.7000000178813934 & common <= 0.9000000059604645 & conceptually dense > 0.30000000447034836,0.09271445350897083,0.09271445350897083,0.03402667872484739,301,17.765514861705693,5,rule
conceptually dense <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & common <= 0.9000000059604645 & unambiguous > 0.7000000178813934 & positive > 0.5000000149011612,0.058238766782563504,0.058238766782563504,0.033235360614967215,294,18.73795915136532,5,rule
conceptually dense > 0.7000000178813934 & positive <= 0.5000000149011612 & unambiguous <= 0.5000000149011612 & common <= 0.9000000059604645 & positive > 0.30000000447034836,0.03794454800551646,0.03794454800551646,0.07155776622202126,633,21.020537090150853,5,rule
conceptually dense > 0.7000000178813934 & positive > 0.5000000149011612 & common <= 0.9000000059604645 & positive <= 0.7000000178813934 & unambiguous > 0.5000000149011612,0.03692636731359297,0.03692636731359297,0.08681890119828171,768,20.91559888298313,5,rule
conceptually dense <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & common > 0.9000000059604645 & socially controversial <= 0.7000000178813934 & technically complicated <= 0.5000000149011612,0.0291584677052611,0.0291584677052611,0.006556635767578567,58,16.043103464718524,5,rule
conceptually dense > 0.7000000178813934 & positive <= 0.5000000149011612 & unambiguous > 0.5000000149011612 & technically complicated > 0.7000000178813934 & socially controversial <= 0.7000000178813934,0.028304008183747755,0.028304008183747755,0.011304544426859598,100,17.98649995803833,5,rule
conceptually dense > 0.7000000178813934 & positive > 0.5000000149011612 & common <= 0.9000000059604645 & positive > 0.7000000178813934 & technically complicated <= 0.5000000149011612,0.026366819010421212,0.026366819010421212,0.03696586027583088,327,21.203547387312675,5,rule
conceptually dense <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & common <= 0.9000000059604645 & unambiguous <= 0.7000000178813934 & positive > 0.9000000059604645,0.021061978457660245,0.021061978457660245,0.010061044539905042,89,18.396853854147235,5,rule
conceptually dense > 0.7000000178813934 & positive <= 0.5000000149011612 & unambiguous > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & common <= 0.9000000059604645,0.015189283389514748,0.015189283389514748,0.04329640515487226,383,20.139451631989242,5,rule
conceptually dense <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & unambiguous > 0.7000000178813934 & technically complicated <= 0.30000000447034836 & common > 0.5000000149011612,0.011612613465811316,0.011612613465811316,0.0021478634411033234,19,15.083684168363872,5,rule
conceptually dense <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & common <= 0.9000000059604645 & unambiguous > 0.7000000178813934 & positive <= 0.5000000149011612,0.009887663185556037,0.009887663185556037,0.0026000452181777073,23,16.68739128112793,5,rule
conceptually dense <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & unambiguous <= 0.7000000178813934 & common > 0.9000000059604645 & socially controversial <= 0.5000000149011612,0.008314892848422562,0.008314892848422562,0.0014695907754917476,13,14.832307742192196,5,rule
conceptually dense <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & common > 0.9000000059604645 & socially controversial <= 0.7000000178813934 & technically complicated > 0.5000000149011612,0.007170965465085959,0.007170965465085959,0.0018087271082975356,16,16.525624990463257,5,rule
conceptually dense > 0.7000000178813934 & positive <= 0.5000000149011612 & unambiguous > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & common > 0.9000000059604645,0.007117926036775203,0.007117926036775203,0.0021478634411033234,19,17.17631601032458,5,rule
conceptually dense > 0.7000000178813934 & positive <= 0.5000000149011612 & unambiguous <= 0.5000000149011612 & common <= 0.9000000059604645 & positive <= 0.30000000447034836,0.005678714197630157,0.005678714197630157,0.005765317657698395,51,19.505293977026845,5,rule
conceptually dense > 0.7000000178813934 & positive > 0.5000000149011612 & common > 0.9000000059604645 & positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934,0.005578031805125994,0.005578031805125994,0.0013565453312231518,12,16.378333409627277,5,rule
conceptually dense > 0.7000000178813934 & positive > 0.5000000149011612 & common > 0.9000000059604645 & positive <= 0.7000000178813934 & technically complicated > 0.5000000149011612,0.004271257362995325,0.004271257362995325,0.0014695907754917476,13,17.583846165583683,5,rule
conceptually dense <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & common > 0.9000000059604645 & socially controversial > 0.7000000178813934 & unambiguous > 0.5000000149011612,0.003289960990145065,0.003289960990145065,0.0012434998869545557,11,17.844545711170543,5,rule
conceptually dense > 0.7000000178813934 & positive <= 0.5000000149011612 & unambiguous > 0.5000000149011612 & technically complicated > 0.7000000178813934 & socially controversial > 0.7000000178813934,0.002610505772693489,0.002610505772693489,0.005200090436355415,46,19.9882609118586,5,rule
