rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
common <= 0.9000000059604645 & unambiguous > 0.5000000149011612 & positive > 0.7000000178813934 & technically complicated > 0.5000000149011612 & technically complicated <= 0.7000000178813934,0.005904820300647104,0.005904820300647104,0.23683020574270858,2095,1.0009546539379475,5,rule
common > 0.9000000059604645 & positive > 0.7000000178813934 & conceptually dense > 0.5000000149011612 & socially controversial <= 0.7000000178813934 & socially controversial <= 0.5000000149011612,0.005836306735721617,0.005836306735721617,0.005991408546235586,53,2.0,5,rule
common > 0.9000000059604645 & positive <= 0.7000000178813934 & positive > 0.30000000447034836 & socially controversial <= 0.9000000059604645 & socially controversial > 0.5000000149011612,0.00485986802687398,0.00485986802687398,0.004408772326475243,39,2.128205128205128,5,rule
common <= 0.9000000059604645 & unambiguous > 0.5000000149011612 & positive > 0.7000000178813934 & technically complicated <= 0.5000000149011612,0.004811082575188054,0.004811082575188054,0.18584671037757178,1644,1.0,4,rule
common <= 0.9000000059604645 & unambiguous > 0.5000000149011612 & positive <= 0.7000000178813934 & common > 0.7000000178813934,0.002405541287594027,0.002405541287594027,0.09292335518878589,822,1.0,4,rule
common <= 0.9000000059604645 & unambiguous > 0.5000000149011612 & positive > 0.7000000178813934 & technically complicated > 0.5000000149011612 & technically complicated > 0.7000000178813934,0.0022592188248449986,0.0022592188248449986,0.08727108297535609,772,1.0,5,rule
common > 0.9000000059604645 & positive > 0.7000000178813934 & conceptually dense > 0.5000000149011612 & socially controversial <= 0.7000000178813934 & socially controversial > 0.5000000149011612,0.0021994534510173277,0.0021994534510173277,0.0023739543296405156,21,1.9523809523809523,5,rule
common > 0.9000000059604645 & positive > 0.7000000178813934 & conceptually dense > 0.5000000149011612 & socially controversial > 0.7000000178813934 & unambiguous > 0.5000000149011612,0.0019850683595000573,0.0019850683595000573,0.0019217725525661315,17,2.0588235294117645,5,rule
common <= 0.9000000059604645 & unambiguous > 0.5000000149011612 & positive <= 0.7000000178813934 & common <= 0.7000000178813934 & socially controversial > 0.5000000149011612,0.001766821054104573,0.001766821054104573,0.07698394754691386,681,1.0029368575624082,5,rule
common > 0.9000000059604645 & positive > 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & technically complicated <= 0.5000000149011612 & positive <= 0.9000000059604645,0.001527033683915713,0.001527033683915713,0.0021478634411033234,19,1.736842105263158,5,rule
common <= 0.9000000059604645 & unambiguous <= 0.5000000149011612 & common > 0.7000000178813934 & positive > 0.5000000149011612,0.001504194917060012,0.001504194917060012,0.058105358354058334,514,1.0,4,rule
common > 0.9000000059604645 & positive <= 0.7000000178813934 & positive > 0.30000000447034836 & socially controversial > 0.9000000059604645 & positive <= 0.5000000149011612,0.0013331337371833073,0.0013331337371833073,0.0009043635541487678,8,2.5,5,rule
common <= 0.9000000059604645 & unambiguous <= 0.5000000149011612 & common <= 0.7000000178813934 & positive > 0.7000000178813934 & conceptually dense > 0.7000000178813934,0.0009316969397594673,0.0009316969397594673,0.04035722360388876,357,1.0028011204481793,5,rule
common <= 0.9000000059604645 & unambiguous <= 0.5000000149011612 & common <= 0.7000000178813934 & positive <= 0.7000000178813934 & common > 0.30000000447034836,0.000901074167454685,0.000901074167454685,0.13961112367171602,1235,1.019433198380567,5,rule
common > 0.9000000059604645 & positive <= 0.7000000178813934 & positive <= 0.30000000447034836 & unambiguous > 0.5000000149011612 & socially controversial <= 0.9000000059604645,0.0008897313078738651,0.0008897313078738651,0.0005652272213429799,5,2.6,5,rule
common > 0.9000000059604645 & positive > 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & technically complicated <= 0.5000000149011612 & positive > 0.9000000059604645,0.0006577875208267119,0.0006577875208267119,0.0007913181098801719,7,1.8571428571428572,5,rule
common <= 0.9000000059604645 & unambiguous <= 0.5000000149011612 & common > 0.7000000178813934 & positive <= 0.5000000149011612 & technically complicated > 0.5000000149011612,0.0005805230291618,0.0005805230291618,0.026791770291657246,237,1.0042194092827004,5,rule
common > 0.9000000059604645 & positive > 0.7000000178813934 & conceptually dense > 0.5000000149011612 & socially controversial > 0.7000000178813934 & unambiguous <= 0.5000000149011612,0.0005535214243230577,0.0005535214243230577,0.0004521817770743839,4,2.25,5,rule
common > 0.9000000059604645 & positive <= 0.7000000178813934 & positive > 0.30000000447034836 & socially controversial <= 0.9000000059604645 & socially controversial <= 0.5000000149011612,0.0004434024293094423,0.0004434024293094423,0.00033913633280578795,3,2.3333333333333335,5,rule
common > 0.9000000059604645 & positive <= 0.7000000178813934 & positive > 0.30000000447034836 & socially controversial > 0.9000000059604645 & positive > 0.5000000149011612,0.00044047598005446164,0.00044047598005446164,0.0004521817770743839,4,2.0,5,rule
common <= 0.9000000059604645 & unambiguous > 0.5000000149011612 & positive <= 0.7000000178813934 & common <= 0.7000000178813934 & socially controversial <= 0.5000000149011612,0.00023043519523977747,0.00023043519523977747,0.01763508930590097,156,1.0128205128205128,5,rule
common > 0.9000000059604645 & positive <= 0.7000000178813934 & positive <= 0.30000000447034836 & unambiguous <= 0.5000000149011612,0.0002231644392822114,0.0002231644392822114,0.00011304544426859598,1,3.0,4,rule
common > 0.9000000059604645 & positive > 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & technically complicated > 0.5000000149011612,0.00022023799002723082,0.00022023799002723082,0.00022609088853719196,2,2.0,4,rule
common > 0.9000000059604645 & positive <= 0.7000000178813934 & positive <= 0.30000000447034836 & unambiguous > 0.5000000149011612 & socially controversial > 0.9000000059604645,0.00022023799002723082,0.00022023799002723082,0.00022609088853719196,2,2.0,5,rule
