rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
common <= 0.5000000149011612 & positive > 0.5000000149011612 & conceptually dense > 0.5000000149011612 & positive > 0.7000000178813934 & socially controversial <= 0.5000000149011612,46.6287171831504,46.6287171831504,0.021478634411033235,190,2552.7842105263157,5,rule
common <= 0.5000000149011612 & positive > 0.5000000149011612 & conceptually dense > 0.5000000149011612 & positive > 0.7000000178813934 & socially controversial > 0.5000000149011612,38.81010707136788,38.81010707136788,0.01740899841736378,154,2611.1623376623374,5,rule
common <= 0.5000000149011612 & positive > 0.5000000149011612 & conceptually dense > 0.5000000149011612 & positive <= 0.7000000178813934 & socially controversial > 0.5000000149011612,38.11316487197825,38.11316487197825,0.017295952973095184,153,2585.4379084967322,5,rule
common > 0.5000000149011612 & positive <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & common <= 0.7000000178813934,32.15612479720265,32.15612479720265,0.1657246212977617,1466,187.81582537517053,5,rule
common > 0.5000000149011612 & positive <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & common > 0.7000000178813934,24.921682973159214,24.921682973159214,0.12061948903459191,1067,175.2352389878163,5,rule
common > 0.5000000149011612 & positive > 0.7000000178813934 & technically complicated > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & technically complicated <= 0.7000000178813934,22.53178119077258,22.53178119077258,0.14842866832466653,1313,230.04722010662604,5,rule
common > 0.5000000149011612 & positive > 0.7000000178813934 & technically complicated <= 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & technically complicated > 0.30000000447034836,14.664395723250182,14.664395723250182,0.16335066696812117,1445,292.0768166089965,5,rule
common > 0.5000000149011612 & positive > 0.7000000178813934 & technically complicated > 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & socially controversial > 0.30000000447034836,13.321693670525962,13.321693670525962,0.10524530861406285,931,255.27175080558538,5,rule
common > 0.5000000149011612 & positive > 0.7000000178813934 & technically complicated > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & technically complicated > 0.7000000178813934,11.998391655325324,11.998391655325324,0.08568844675559575,758,241.8258575197889,5,rule
common <= 0.5000000149011612 & positive > 0.5000000149011612 & conceptually dense > 0.5000000149011612 & positive <= 0.7000000178813934 & socially controversial <= 0.5000000149011612,7.930988115987275,7.930988115987275,0.003391363328057879,30,2720.4333333333334,5,rule
common > 0.5000000149011612 & positive <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & positive > 0.30000000447034836 & common <= 0.9000000059604645,6.923938486442937,6.923938486442937,0.047139950260004525,417,234.96882494004797,5,rule
common > 0.5000000149011612 & positive <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & unambiguous > 0.5000000149011612,5.004473498847025,5.004473498847025,0.028826588288491974,255,208.24313725490197,5,rule
common <= 0.5000000149011612 & positive > 0.5000000149011612 & conceptually dense <= 0.5000000149011612 & unambiguous > 0.5000000149011612 & socially controversial > 0.30000000447034836,2.614041188063461,2.614041188063461,0.0013565453312231518,12,2308.8333333333335,5,rule
common <= 0.5000000149011612 & positive > 0.5000000149011612 & conceptually dense <= 0.5000000149011612 & unambiguous > 0.5000000149011612 & socially controversial <= 0.30000000447034836,2.2992886002721926,2.2992886002721926,0.0011304544426859599,10,2415.8,5,rule
common > 0.5000000149011612 & positive > 0.7000000178813934 & technically complicated <= 0.5000000149011612 & conceptually dense > 0.7000000178813934 & common > 0.7000000178813934,2.234942324744235,2.234942324744235,0.01627854397467782,144,244.55555555555554,5,rule
