rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
positive <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & common > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & positive > 0.5000000149011612,0.1443349550375499,0.1443349550375499,0.14833239118145844,1312,2.5121951219512195,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & common > 0.5000000149011612 & technically complicated > 0.7000000178813934 & socially controversial > 0.5000000149011612,0.07434597937248062,0.07434597937248062,0.0644431882419446,570,2.331578947368421,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & common > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & positive <= 0.5000000149011612,0.07410133042667058,0.07410133042667058,0.1040135669869983,920,2.7728260869565218,5,rule
positive > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & unambiguous > 0.5000000149011612 & socially controversial > 0.5000000149011612 & technically complicated <= 0.7000000178813934,0.062310645835018184,0.062310645835018184,0.11599773883550028,1026,4.022417153996101,5,rule
positive > 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & unambiguous > 0.5000000149011612 & technically complicated <= 0.5000000149011612,0.06135243151132639,0.06135243151132639,0.10469191633691351,926,4.071274298056156,5,rule
positive > 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & unambiguous > 0.5000000149011612 & technically complicated > 0.5000000149011612,0.060203685701196684,0.060203685701196684,0.10729225551158847,949,4.0463645943098,5,rule
positive > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & unambiguous > 0.5000000149011612 & socially controversial <= 0.5000000149011612 & common > 0.5000000149011612,0.042854624161146125,0.042854624161146125,0.08083663086489543,715,4.015384615384615,5,rule
positive > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & unambiguous > 0.5000000149011612 & socially controversial > 0.5000000149011612 & technically complicated > 0.7000000178813934,0.023529824272530975,0.023529824272530975,0.0430751837196156,381,4.031496062992126,5,rule
positive > 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & socially controversial > 0.30000000447034836 & technically complicated <= 0.5000000149011612,0.020245575999189337,0.020245575999189337,0.03120407009609949,276,4.134057971014493,5,rule
positive > 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & socially controversial <= 0.30000000447034836 & technically complicated <= 0.5000000149011612,0.018908894109213807,0.018908894109213807,0.0325607687959299,288,4.065972222222222,5,rule
positive <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & common > 0.5000000149011612 & positive > 0.30000000447034836 & technically complicated > 0.30000000447034836,0.016929822482922567,0.016929822482922567,0.047936687394007915,424,3.1320754716981134,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & common > 0.5000000149011612 & technically complicated > 0.7000000178813934 & socially controversial <= 0.5000000149011612,0.015920822548960614,0.015920822548960614,0.009044657998869417,80,1.725,5,rule
positive > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & unambiguous <= 0.5000000149011612 & common > 0.5000000149011612 & socially controversial > 0.7000000178813934,0.010879536521441531,0.010879536521441531,0.020915771622385528,185,4.005405405405406,5,rule
positive > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & unambiguous <= 0.5000000149011612 & common > 0.5000000149011612 & socially controversial <= 0.7000000178813934,0.008835962952160449,0.008835962952160449,0.016506500847936686,146,4.02054794520548,5,rule
positive > 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & unambiguous <= 0.5000000149011612 & common <= 0.9000000059604645,0.008333688027579746,0.008333688027579746,0.013114754098360656,116,4.120689655172414,5,rule
positive > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & unambiguous <= 0.5000000149011612 & common <= 0.5000000149011612,0.006168901077969186,0.006168901077969186,0.011984171848501979,106,4.0,4,rule
positive > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & unambiguous > 0.5000000149011612 & socially controversial <= 0.5000000149011612 & common <= 0.5000000149011612,0.0043065913185822615,0.0043065913185822615,0.008366308648954211,74,4.0,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & common <= 0.5000000149011612 & technically complicated > 0.7000000178813934 & positive <= 0.5000000149011612,0.0028994802299227808,0.0028994802299227808,0.0027133973996608255,24,2.4166666666666665,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & common <= 0.5000000149011612 & technically complicated > 0.7000000178813934 & positive > 0.5000000149011612,0.0027845687553530846,0.0027845687553530846,0.0066704352741661956,59,3.0677966101694913,5,rule
positive <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & common <= 0.5000000149011612 & unambiguous <= 0.7000000178813934 & conceptually dense > 0.5000000149011612,0.001985376389300236,0.001985376389300236,0.004296212549462973,38,3.9473684210526314,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & common <= 0.5000000149011612 & technically complicated <= 0.7000000178813934 & socially controversial > 0.30000000447034836,0.0014223103067711803,0.0014223103067711803,0.018541548897682305,164,3.408536585365854,5,rule
positive > 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & socially controversial > 0.30000000447034836 & technically complicated > 0.5000000149011612,0.0013251905996560915,0.0013251905996560915,0.0016958733747880158,15,4.266666666666667,5,rule
positive <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & common > 0.5000000149011612 & positive <= 0.30000000447034836 & socially controversial > 0.5000000149011612,0.0010026965995775631,0.0010026965995775631,0.002826455624646693,25,3.84,5,rule
positive > 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & socially controversial <= 0.30000000447034836 & technically complicated > 0.5000000149011612,0.0006916938898184665,0.0006916938898184665,0.0009044657998869418,8,4.25,5,rule
positive > 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & unambiguous <= 0.5000000149011612 & common > 0.9000000059604645,0.00045890516989510093,0.00045890516989510093,0.0004522328999434709,4,4.5,5,rule
positive <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & common > 0.5000000149011612 & positive > 0.30000000447034836 & technically complicated <= 0.30000000447034836,0.0002809774949767618,0.0002809774949767618,0.00011305822498586772,1,1.0,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & common <= 0.5000000149011612 & technically complicated <= 0.7000000178813934 & socially controversial <= 0.30000000447034836,0.0002809774949767618,0.0002809774949767618,0.00011305822498586772,1,1.0,5,rule
positive <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & common <= 0.5000000149011612 & unambiguous <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612,0.00024279712485081081,0.00024279712485081081,0.0011305822498586771,10,3.7,5,rule
positive <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & common <= 0.5000000149011612 & unambiguous > 0.7000000178813934,0.00016791926999089405,0.00016791926999089405,0.00011305822498586772,1,2.0,4,rule
positive <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & common > 0.5000000149011612 & positive <= 0.30000000447034836 & socially controversial <= 0.5000000149011612,0.00016791926999089405,0.00016791926999089405,0.00011305822498586772,1,2.0,5,rule
