rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & technically complicated > 0.5000000149011612 & common > 0.5000000149011612 & common <= 0.7000000178813934,0.1497561495524576,0.1497561495524576,0.1657246212977617,1466,1.3472032742155524,5,rule
positive > 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & common > 0.5000000149011612 & technically complicated > 0.30000000447034836,0.13887914370390833,0.13887914370390833,0.16335066696812117,1445,3.1010380622837372,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & technically complicated > 0.5000000149011612 & common > 0.5000000149011612 & common > 0.7000000178813934,0.11843258197723189,0.11843258197723189,0.12061948903459191,1067,1.2689784442361762,5,rule
positive > 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & common > 0.5000000149011612 & socially controversial > 0.30000000447034836,0.04210498336750595,0.04210498336750595,0.10524530861406285,931,2.6509129967776586,5,rule
positive > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common <= 0.5000000149011612 & technically complicated > 0.5000000149011612 & socially controversial <= 0.7000000178813934,0.02917299663052957,0.02917299663052957,0.02475695229482252,219,3.4292237442922375,5,rule
positive > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common > 0.5000000149011612 & technically complicated > 0.5000000149011612 & technically complicated <= 0.7000000178813934,0.01654569104923641,0.01654569104923641,0.14842866832466653,1313,2.1393754760091395,5,rule
positive > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common > 0.5000000149011612 & technically complicated > 0.5000000149011612 & technically complicated > 0.7000000178813934,0.012871055292538748,0.012871055292538748,0.08568844675559575,758,2.401055408970976,5,rule
positive > 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & common <= 0.5000000149011612 & technically complicated > 0.30000000447034836,0.011975916483648595,0.011975916483648595,0.00813927198733891,72,3.7222222222222223,5,rule
positive > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common > 0.5000000149011612 & technically complicated <= 0.5000000149011612 & common <= 0.7000000178813934,0.010383696084968004,0.010383696084968004,0.019443816414198508,172,2.7848837209302326,5,rule
positive > 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & common <= 0.5000000149011612 & socially controversial > 0.30000000447034836,0.007823509084350946,0.007823509084350946,0.005765317657698395,51,3.607843137254902,5,rule
positive > 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & common > 0.5000000149011612 & socially controversial <= 0.30000000447034836,0.007059781443013504,0.007059781443013504,0.006556635767578567,58,3.3275862068965516,5,rule
positive <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & common <= 0.5000000149011612 & positive > 0.5000000149011612 & conceptually dense > 0.5000000149011612,0.006383808980342787,0.006383808980342787,0.003843545105132263,34,3.911764705882353,5,rule
positive <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & common > 0.5000000149011612 & unambiguous > 0.5000000149011612 & technically complicated > 0.5000000149011612,0.0056484505086092885,0.0056484505086092885,0.028826588288491974,255,2.0549019607843135,5,rule
