rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
positive <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & common > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.7000000178813934,0.09047384489695734,0.09047384489695734,0.213203707890572,1886,0.15114428929407803,5,rule
positive > 0.7000000178813934 & technically complicated > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & common > 0.5000000149011612 & common <= 0.7000000178813934,0.03187404050429212,0.03187404050429212,0.16934207551435676,1498,0.7637210881837379,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.5000000149011612 & socially controversial <= 0.5000000149011612 & socially controversial > 0.30000000447034836 & common <= 0.9000000059604645,0.031751631154158036,0.031751631154158036,0.0955234004069636,845,0.9078946488143425,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & common > 0.5000000149011612 & technically complicated > 0.7000000178813934 & unambiguous > 0.5000000149011612,0.02506970366740588,0.02506970366740588,0.047705177481347505,422,0.04998501598552505,5,rule
positive > 0.7000000178813934 & technically complicated > 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & socially controversial <= 0.5000000149011612,0.023295838875170078,0.023295838875170078,0.07449694777300475,659,0.8882069182504472,5,rule
positive > 0.7000000178813934 & technically complicated > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & common > 0.5000000149011612 & common > 0.7000000178813934,0.015748413829223457,0.015748413829223457,0.0647750395659055,573,0.818623010192658,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & common > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934,0.014372575547181453,0.014372575547181453,0.03911372371693421,346,0.2080422040354999,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.5000000149011612 & socially controversial <= 0.5000000149011612 & socially controversial <= 0.30000000447034836 & conceptually dense <= 0.5000000149011612,0.011557932362792556,0.011557932362792556,0.03255708794935564,288,0.9305033859693341,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & common > 0.5000000149011612 & technically complicated > 0.7000000178813934 & unambiguous <= 0.5000000149011612,0.011552146130386532,0.011552146130386532,0.02588740673750848,229,0.12925249832686378,5,rule
positive > 0.7000000178813934 & technically complicated > 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & socially controversial > 0.5000000149011612,0.009955813186405312,0.009955813186405312,0.040583314492425956,359,0.8208161755192579,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.5000000149011612 & socially controversial > 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & socially controversial <= 0.7000000178813934,0.008725304113586862,0.008725304113586862,0.02950486095410355,261,0.8712225748204637,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.5000000149011612 & socially controversial <= 0.5000000149011612 & socially controversial <= 0.30000000447034836 & conceptually dense > 0.5000000149011612,0.0060167254742362125,0.0060167254742362125,0.016165498530409224,143,0.9476937622457118,5,rule
positive <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & conceptually dense > 0.5000000149011612 & common > 0.5000000149011612 & unambiguous <= 0.5000000149011612,0.005795538816251503,0.005795538816251503,0.024304770517748136,215,0.3370455556137617,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.5000000149011612 & socially controversial > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & socially controversial > 0.7000000178813934,0.005113012268347572,0.005113012268347572,0.016391589418946417,145,0.88742729343217,5,rule
positive > 0.7000000178813934 & technically complicated > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & common <= 0.5000000149011612 & technically complicated <= 0.7000000178813934,0.004654535220646626,0.004654535220646626,0.014017635089305902,124,0.907546819698426,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.5000000149011612 & socially controversial > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & socially controversial <= 0.7000000178813934,0.0038449968279364844,0.0038449968279364844,0.011756726203933981,104,0.9025448400240678,5,rule
positive > 0.7000000178813934 & technically complicated > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & common <= 0.5000000149011612 & technically complicated > 0.7000000178813934,0.003316206439382858,0.003316206439382858,0.012208907981008365,108,0.847120154786993,5,rule
positive <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & conceptually dense > 0.5000000149011612 & common > 0.5000000149011612 & unambiguous > 0.5000000149011612,0.0032236553912191887,0.0032236553912191887,0.022609088853719195,200,0.4329160049557686,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & common <= 0.5000000149011612 & technically complicated > 0.7000000178813934 & socially controversial <= 0.7000000178813934,0.0027002753606080844,0.0027002753606080844,0.006104453990504182,54,0.13315317476237262,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.5000000149011612 & socially controversial <= 0.5000000149011612 & socially controversial > 0.30000000447034836 & common > 0.9000000059604645,0.0017858250510927082,0.0017858250510927082,0.004634863215012435,41,0.9608009268597859,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & common <= 0.5000000149011612 & technically complicated <= 0.7000000178813934 & positive <= 0.5000000149011612,0.001729681585914755,0.001729681585914755,0.007234908433190143,64,0.33642385620623827,5,rule
positive <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & conceptually dense <= 0.5000000149011612 & positive > 0.5000000149011612 & common <= 0.7000000178813934,0.001131852705932003,0.001131852705932003,0.0021478634411033234,19,0.048531491505472285,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & common <= 0.5000000149011612 & technically complicated <= 0.7000000178813934 & positive > 0.5000000149011612,0.0009708772841929417,0.0009708772841929417,0.011417589871128193,101,0.49046481304829664,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & common <= 0.5000000149011612 & technically complicated > 0.7000000178813934 & socially controversial > 0.7000000178813934,0.0009689384891575556,0.0009689384891575556,0.0032783178837892833,29,0.2799386320442989,5,rule
positive <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & conceptually dense <= 0.5000000149011612 & positive > 0.5000000149011612 & common > 0.7000000178813934,0.0006779432498893935,0.0006779432498893935,0.0019217725525661315,17,0.22272851887871237,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.5000000149011612 & socially controversial > 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & socially controversial > 0.7000000178813934,0.0005763824536416045,0.0005763824536416045,0.004747908659281031,42,0.6968954063597179,5,rule
positive <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & conceptually dense > 0.5000000149011612 & common <= 0.5000000149011612 & unambiguous <= 0.7000000178813934,0.00046027422274719557,0.00046027422274719557,0.004295726882206647,38,0.682645276973122,5,rule
positive > 0.7000000178813934 & technically complicated > 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & common <= 0.7000000178813934,0.0003403083733134536,0.0003403083733134536,0.0023739543296405156,21,0.7188491338775271,5,rule
positive <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & conceptually dense <= 0.5000000149011612 & positive <= 0.5000000149011612 & socially controversial <= 0.7000000178813934,0.00016319160813959698,0.00016319160813959698,0.0005652272213429799,5,0.28677968978881835,5,rule
positive > 0.7000000178813934 & technically complicated > 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & common > 0.7000000178813934,0.00015375491803570513,0.00015375491803570513,0.0004521817770743839,4,0.2354692816734314,5,rule
positive <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & conceptually dense > 0.5000000149011612 & common <= 0.5000000149011612 & unambiguous > 0.7000000178813934,6.50574590673065e-05,6.50574590673065e-05,0.00011304544426859598,1,0.0,5,rule
