rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
positive > 0.7000000178813934 & positive <= 0.9000000059604645 & unambiguous <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & socially controversial > 0.5000000149011612,0.1795676033533246,0.1795676033533246,0.26772187676653475,2368,4.005489864864865,5,rule
positive > 0.7000000178813934 & positive <= 0.9000000059604645 & unambiguous <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & socially controversial <= 0.5000000149011612,0.13631977288314615,0.13631977288314615,0.20407009609949123,1805,4.002770083102493,5,rule
positive <= 0.7000000178813934 & unambiguous > 0.5000000149011612 & positive > 0.5000000149011612 & common > 0.5000000149011612 & socially controversial > 0.5000000149011612,0.12061725344746849,0.12061725344746849,0.09417750141322781,833,2.0540216086434575,5,rule
positive <= 0.7000000178813934 & unambiguous <= 0.5000000149011612 & common > 0.5000000149011612 & positive > 0.5000000149011612 & conceptually dense > 0.7000000178813934,0.10495360866652292,0.10495360866652292,0.10378745053702657,918,2.323529411764706,5,rule
positive <= 0.7000000178813934 & unambiguous <= 0.5000000149011612 & common > 0.5000000149011612 & positive <= 0.5000000149011612 & technically complicated <= 0.7000000178813934,0.03879507861614496,0.03879507861614496,0.06387789711701526,565,2.7274336283185843,5,rule
positive <= 0.7000000178813934 & unambiguous > 0.5000000149011612 & positive <= 0.5000000149011612 & socially controversial > 0.5000000149011612 & socially controversial > 0.7000000178813934,0.03189945921781981,0.03189945921781981,0.03821368004522329,338,2.5,5,rule
positive <= 0.7000000178813934 & unambiguous > 0.5000000149011612 & positive > 0.5000000149011612 & common > 0.5000000149011612 & socially controversial <= 0.5000000149011612,0.02647991126509559,0.02647991126509559,0.016958733747880157,150,1.7733333333333334,5,rule
positive <= 0.7000000178813934 & unambiguous > 0.5000000149011612 & positive <= 0.5000000149011612 & socially controversial > 0.5000000149011612 & socially controversial <= 0.7000000178813934,0.026152394166971214,0.026152394166971214,0.025098925946862635,222,2.2927927927927927,5,rule
positive > 0.7000000178813934 & positive <= 0.9000000059604645 & unambiguous > 0.7000000178813934 & socially controversial <= 0.5000000149011612 & technically complicated <= 0.5000000149011612,0.025309459822133427,0.025309459822133427,0.03719615602035048,329,4.015197568389058,5,rule
positive <= 0.7000000178813934 & unambiguous > 0.5000000149011612 & positive <= 0.5000000149011612 & socially controversial <= 0.5000000149011612 & socially controversial > 0.30000000447034836,0.016749617930790203,0.016749617930790203,0.011871113623516111,105,1.9238095238095239,5,rule
positive > 0.7000000178813934 & positive <= 0.9000000059604645 & unambiguous <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & socially controversial <= 0.5000000149011612,0.01583199821804256,0.01583199821804256,0.023629169022046353,209,4.0047846889952154,5,rule
positive > 0.7000000178813934 & positive > 0.9000000059604645 & unambiguous > 0.7000000178813934,0.014289945448233355,0.014289945448233355,0.02148106274731487,190,4.0,3,rule
positive <= 0.7000000178813934 & unambiguous <= 0.5000000149011612 & common > 0.5000000149011612 & positive <= 0.5000000149011612 & technically complicated > 0.7000000178813934,0.009512920066958568,0.009512920066958568,0.011192764273600905,99,2.484848484848485,5,rule
positive <= 0.7000000178813934 & unambiguous <= 0.5000000149011612 & common > 0.5000000149011612 & positive > 0.5000000149011612 & conceptually dense <= 0.7000000178813934,0.00887290443519605,0.00887290443519605,0.011644997173544376,103,2.5728155339805827,5,rule
positive > 0.7000000178813934 & positive <= 0.9000000059604645 & unambiguous > 0.7000000178813934 & socially controversial <= 0.5000000149011612 & technically complicated > 0.5000000149011612,0.00808582931268411,0.00808582931268411,0.011644997173544376,103,4.029126213592233,5,rule
positive > 0.7000000178813934 & positive > 0.9000000059604645 & unambiguous <= 0.7000000178813934 & socially controversial > 0.30000000447034836 & conceptually dense <= 0.7000000178813934,0.00567764446114065,0.00567764446114065,0.009044657998869417,80,3.9625,5,rule
positive <= 0.7000000178813934 & unambiguous <= 0.5000000149011612 & common <= 0.5000000149011612 & conceptually dense > 0.7000000178813934 & positive <= 0.5000000149011612,0.0049488572227948105,0.0049488572227948105,0.008366308648954211,74,2.7432432432432434,5,rule
positive > 0.7000000178813934 & positive > 0.9000000059604645 & unambiguous <= 0.7000000178813934 & socially controversial <= 0.30000000447034836,0.0033844607640552684,0.0033844607640552684,0.005087620124364048,45,4.0,4,rule
positive <= 0.7000000178813934 & unambiguous > 0.5000000149011612 & positive <= 0.5000000149011612 & socially controversial <= 0.5000000149011612 & socially controversial <= 0.30000000447034836,0.0030550007364586827,0.0030550007364586827,0.0016958733747880158,15,1.5333333333333334,5,rule
