rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
positive > 0.7000000178813934 & common > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & technically complicated > 0.5000000149011612 & common <= 0.7000000178813934,0.5407459104651376,0.5407459104651376,0.16934207551435676,1498,25.489385785661806,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & technically complicated > 0.5000000149011612 & common > 0.7000000178813934,0.17086988009669082,0.17086988009669082,0.0647750395659055,573,24.934066243196657,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common > 0.5000000149011612 & positive <= 0.5000000149011612 & socially controversial > 0.7000000178813934,0.16214854335073373,0.16214854335073373,0.10015826362197604,886,20.677246014097744,5,rule
positive <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & unambiguous <= 0.7000000178813934 & common > 0.5000000149011612,0.1555250176147937,0.1555250176147937,0.04827040470269048,427,19.074215403206175,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & technically complicated > 0.5000000149011612,0.1483904473953541,0.1483904473953541,0.1095410354962695,969,23.65082552214033,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common > 0.5000000149011612 & positive > 0.5000000149011612 & unambiguous > 0.5000000149011612,0.12193456818392827,0.12193456818392827,0.08489712864571558,751,20.859906710892638,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common > 0.5000000149011612 & positive <= 0.5000000149011612 & socially controversial <= 0.7000000178813934,0.09206738181979897,0.09206738181979897,0.030748360841058104,272,19.301948473734015,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & technically complicated > 0.5000000149011612 & common > 0.30000000447034836 & unambiguous > 0.5000000149011612,0.07879549535776782,0.07879549535776782,0.01933077096992991,171,18.219999971445542,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common > 0.5000000149011612 & positive > 0.5000000149011612 & unambiguous <= 0.5000000149011612,0.06897619388881318,0.06897619388881318,0.1037757178385711,918,21.631503255798407,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & technically complicated <= 0.5000000149011612 & socially controversial > 0.5000000149011612,0.06498340435920727,0.06498340435920727,0.02724395206873163,241,24.68141075387535,5,rule
