rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
positive <= 0.7000000178813934 & common > 0.5000000149011612 & common <= 0.7000000178813934 & unambiguous <= 0.5000000149011612 & socially controversial <= 0.9000000059604645,0.07236264506912922,0.07236264506912922,0.10795839927650916,955,1.0146596858638743,5,rule
positive <= 0.7000000178813934 & common > 0.5000000149011612 & common > 0.7000000178813934 & unambiguous > 0.5000000149011612,0.06697661603653347,0.06697661603653347,0.09778430929233552,865,1.0,4,rule
positive <= 0.7000000178813934 & common > 0.5000000149011612 & common <= 0.7000000178813934 & unambiguous > 0.5000000149011612 & socially controversial > 0.5000000149011612,0.05010315815625675,0.05010315815625675,0.07347953877458738,650,1.003076923076923,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & technically complicated <= 0.5000000149011612,0.0451624447771685,0.0451624447771685,0.14119375989147637,1249,2.0048038430744595,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & technically complicated > 0.5000000149011612,0.044925888280590374,0.044925888280590374,0.1067148993895546,944,2.1059322033898304,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & technically complicated > 0.5000000149011612,0.038271209138727516,0.038271209138727516,0.15125480443138142,1338,1.93796711509716,5,rule
positive <= 0.7000000178813934 & common > 0.5000000149011612 & common > 0.7000000178813934 & unambiguous <= 0.5000000149011612 & positive > 0.5000000149011612,0.030042690199046228,0.030042690199046228,0.04386163237621524,388,1.0,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & technically complicated <= 0.7000000178813934 & socially controversial > 0.30000000447034836 & unambiguous > 0.5000000149011612,0.028093926728162567,0.028093926728162567,0.01740899841736378,154,3.2987012987012987,5,rule
positive <= 0.7000000178813934 & common > 0.5000000149011612 & common > 0.7000000178813934 & unambiguous <= 0.5000000149011612 & positive <= 0.5000000149011612,0.023002793285983092,0.023002793285983092,0.033913633280578795,300,1.0066666666666666,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & technically complicated > 0.7000000178813934 & socially controversial > 0.30000000447034836 & socially controversial <= 0.5000000149011612,0.022224636550082246,0.022224636550082246,0.03753108749717386,332,2.2771084337349397,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & technically complicated > 0.7000000178813934 & technically complicated <= 0.9000000059604645 & socially controversial > 0.30000000447034836,0.02196939659150995,0.02196939659150995,0.012321953425276961,109,3.467889908256881,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & technically complicated > 0.7000000178813934 & socially controversial > 0.30000000447034836 & socially controversial > 0.5000000149011612,0.020878825634010452,0.020878825634010452,0.04725299570427312,418,2.126794258373206,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & technically complicated <= 0.7000000178813934 & socially controversial > 0.30000000447034836 & unambiguous <= 0.5000000149011612,0.015230055607850266,0.015230055607850266,0.009947999095636446,88,3.215909090909091,5,rule
