rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
common > 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & socially controversial <= 0.7000000178813934,0.01985949416681295,0.01985949416681295,0.2050644359032331,1814,3.9790518191841233,5,rule
common <= 0.5000000149011612 & positive > 0.5000000149011612 & positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & socially controversial > 0.5000000149011612,0.015990422964904633,0.015990422964904633,0.014921998643454669,132,2.8106060606060606,5,rule
common <= 0.5000000149011612 & positive > 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense > 0.5000000149011612 & socially controversial <= 0.7000000178813934,0.015189214392051203,0.015189214392051203,0.03707890572009948,328,3.472560975609756,5,rule
common > 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & socially controversial <= 0.9000000059604645 & technically complicated <= 0.7000000178813934,0.010247539482099473,0.010247539482099473,0.18392493782500566,1627,3.937922556853104,5,rule
common > 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & socially controversial <= 0.9000000059604645 & technically complicated > 0.7000000178813934,0.008045392771692195,0.008045392771692195,0.08557540131132715,757,3.976221928665786,5,rule
common > 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & positive <= 0.9000000059604645,0.0060386647203511355,0.0060386647203511355,0.05030522269952521,445,4.002247191011236,5,rule
common > 0.5000000149011612 & positive <= 0.7000000178813934 & common <= 0.9000000059604645 & socially controversial <= 0.7000000178813934 & positive <= 0.5000000149011612,0.004921350251649967,0.004921350251649967,0.04171376893511192,369,3.7642276422764227,5,rule
common <= 0.5000000149011612 & positive > 0.5000000149011612 & positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & socially controversial <= 0.5000000149011612,0.002825855022907365,0.002825855022907365,0.0019217725525661315,17,2.411764705882353,5,rule
common > 0.5000000149011612 & positive <= 0.7000000178813934 & common <= 0.9000000059604645 & socially controversial <= 0.7000000178813934 & positive > 0.5000000149011612,0.0024618782556194434,0.0024618782556194434,0.08082749265204613,715,3.8517482517482518,5,rule
common > 0.5000000149011612 & positive <= 0.7000000178813934 & common <= 0.9000000059604645 & socially controversial > 0.7000000178813934 & common > 0.7000000178813934,0.002203533694185138,0.002203533694185138,0.11948903459190595,1057,3.8637653736991484,5,rule
common > 0.5000000149011612 & positive <= 0.7000000178813934 & common <= 0.9000000059604645 & socially controversial > 0.7000000178813934 & common <= 0.7000000178813934,0.0017210317364166076,0.0017210317364166076,0.12785439746778204,1131,3.8956675508399647,5,rule
