rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
positive <= 0.7000000178813934 & common > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & conceptually dense > 0.5000000149011612,0.08974934006314081,0.08974934006314081,0.21207325344788605,1876,0.08324640979771929,5,rule
positive > 0.7000000178813934 & socially controversial > 0.30000000447034836 & socially controversial > 0.5000000149011612 & common > 0.5000000149011612 & technically complicated > 0.5000000149011612,0.04908726287729029,0.04908726287729029,0.19850780013565453,1756,0.7537274029708397,5,rule
positive <= 0.7000000178813934 & common > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & socially controversial <= 0.7000000178813934 & conceptually dense > 0.5000000149011612,0.03983612441784813,0.03983612441784813,0.08625367397693873,763,0.04459768721191786,5,rule
positive > 0.7000000178813934 & socially controversial > 0.30000000447034836 & socially controversial <= 0.5000000149011612 & common <= 0.7000000178813934 & common > 0.5000000149011612,0.037812959465968674,0.037812959465968674,0.13531539678950938,1197,0.7858892638382557,5,rule
positive > 0.7000000178813934 & socially controversial > 0.30000000447034836 & socially controversial <= 0.5000000149011612 & common > 0.7000000178813934 & conceptually dense > 0.5000000149011612,0.02877703271326155,0.02877703271326155,0.07721003843545104,683,0.8791571500360704,5,rule
positive <= 0.7000000178813934 & common > 0.5000000149011612 & technically complicated > 0.7000000178813934 & unambiguous > 0.5000000149011612 & positive > 0.30000000447034836,0.023070558161048794,0.023070558161048794,0.04612254126158716,408,0.006244756719645332,5,rule
positive > 0.7000000178813934 & socially controversial > 0.30000000447034836 & socially controversial > 0.5000000149011612 & common > 0.5000000149011612 & technically complicated <= 0.5000000149011612,0.018476572250743107,0.018476572250743107,0.060253221795161654,533,0.8130948250557647,5,rule
positive <= 0.7000000178813934 & common > 0.5000000149011612 & technically complicated > 0.7000000178813934 & unambiguous <= 0.5000000149011612 & socially controversial <= 0.9000000059604645,0.011298460002778855,0.011298460002778855,0.02419172507347954,214,0.03940791198026354,5,rule
positive > 0.7000000178813934 & socially controversial <= 0.30000000447034836 & unambiguous > 0.5000000149011612 & positive <= 0.9000000059604645 & common > 0.7000000178813934,0.009097985032185316,0.009097985032185316,0.02170472529957043,192,0.9256168293456236,5,rule
positive > 0.7000000178813934 & socially controversial <= 0.30000000447034836 & unambiguous > 0.5000000149011612 & positive > 0.9000000059604645 & conceptually dense <= 0.7000000178813934,0.0077713053945553875,0.0077713053945553875,0.02046122541261587,181,0.8862525735112184,5,rule
positive > 0.7000000178813934 & socially controversial > 0.30000000447034836 & socially controversial <= 0.5000000149011612 & common <= 0.7000000178813934 & common <= 0.5000000149011612,0.00746112187981956,0.00746112187981956,0.022156907076644812,196,0.8431863483725762,5,rule
