rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
positive > 0.5000000149011612 & positive <= 0.9000000059604645 & unambiguous > 0.7000000178813934 & conceptually dense <= 0.9000000059604645 & positive > 0.7000000178813934,0.045024845464822084,0.045024845464822084,0.4452054794520548,3640,2.9722527472527474,5,rule
positive <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & socially controversial <= 0.9000000059604645 & unambiguous <= 0.7000000178813934 & technically complicated > 0.7000000178813934,0.021117247276576767,0.021117247276576767,0.04390900195694716,359,3.554317548746518,5,rule
positive <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & socially controversial <= 0.9000000059604645 & unambiguous > 0.7000000178813934 & common <= 0.9000000059604645,0.01756932389596203,0.01756932389596203,0.06225538160469667,509,3.355599214145383,5,rule
positive <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & socially controversial > 0.9000000059604645 & unambiguous <= 0.7000000178813934 & positive > 0.30000000447034836,0.010044195239091338,0.010044195239091338,0.02813111545988258,230,3.4304347826086956,5,rule
positive > 0.5000000149011612 & positive > 0.9000000059604645 & common <= 0.9000000059604645 & socially controversial <= 0.6000000089406967 & technically complicated <= 0.5000000149011612,0.008493309180797198,0.008493309180797198,0.01259784735812133,103,3.7475728155339807,5,rule
positive > 0.5000000149011612 & positive <= 0.9000000059604645 & unambiguous > 0.7000000178813934 & conceptually dense <= 0.9000000059604645 & positive <= 0.7000000178813934,0.0072823033290833165,0.0072823033290833165,0.015900195694716242,130,2.6153846153846154,5,rule
positive <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & socially controversial > 0.9000000059604645 & unambiguous > 0.7000000178813934 & technically complicated <= 0.7000000178813934,0.006515896133713989,0.006515896133713989,0.017123287671232876,140,2.692857142857143,5,rule
positive <= 0.5000000149011612 & socially controversial <= 0.7000000178813934 & positive > 0.30000000447034836 & conceptually dense > 0.7000000178813934 & technically complicated <= 0.9000000059604645,0.006445047031876631,0.006445047031876631,0.03449119373776908,282,2.8865248226950353,5,rule
positive > 0.5000000149011612 & positive <= 0.9000000059604645 & unambiguous <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & common <= 0.9000000059604645,0.005978670343027658,0.005978670343027658,0.01186399217221135,97,3.577319587628866,5,rule
positive <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & socially controversial <= 0.9000000059604645 & unambiguous <= 0.7000000178813934 & technically complicated <= 0.7000000178813934,0.003428128629981186,0.003428128629981186,0.011619373776908023,95,3.3684210526315788,5,rule
positive > 0.5000000149011612 & positive <= 0.9000000059604645 & unambiguous > 0.7000000178813934 & conceptually dense > 0.9000000059604645 & socially controversial <= 0.9000000059604645,0.0031687894329399504,0.0031687894329399504,0.0031800391389432484,26,2.076923076923077,5,rule
