rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
socially controversial <= 0.7000000178813934 & unambiguous <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & unambiguous > 0.5000000149011612 & common > 0.7000000178813934,0.023733032455416338,0.023733032455416338,0.07815557729941291,639,2.8262910798122065,5,rule
socially controversial > 0.7000000178813934 & common <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & unambiguous > 0.5000000149011612 & technically complicated > 0.7000000178813934,0.01584694952997444,0.01584694952997444,0.059809197651663405,489,2.2576687116564416,5,rule
socially controversial <= 0.7000000178813934 & unambiguous > 0.7000000178813934 & common > 0.7000000178813934 & common <= 0.9000000059604645 & technically complicated <= 0.7000000178813934,0.014987168421717337,0.014987168421717337,0.15386497064579258,1258,2.620031796502385,5,rule
socially controversial > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial <= 0.9000000059604645 & unambiguous > 0.7000000178813934 & common <= 0.9000000059604645,0.013967440377942729,0.013967440377942729,0.14701565557729943,1202,2.427620632279534,5,rule
socially controversial > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial > 0.9000000059604645 & technically complicated <= 0.7000000178813934 & common <= 0.9000000059604645,0.012785840611868412,0.012785840611868412,0.03803816046966732,311,2.1864951768488745,5,rule
socially controversial <= 0.7000000178813934 & unambiguous <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934,0.010444676893564587,0.010444676893564587,0.011374755381604696,93,3.4408602150537635,5,rule
socially controversial > 0.7000000178813934 & common <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & unambiguous > 0.5000000149011612 & technically complicated <= 0.7000000178813934,0.010021124159053346,0.010021124159053346,0.02666340508806262,218,2.146788990825688,5,rule
socially controversial <= 0.7000000178813934 & unambiguous > 0.7000000178813934 & common <= 0.7000000178813934 & conceptually dense <= 0.9000000059604645 & positive > 0.7000000178813934,0.007163535504658396,0.007163535504658396,0.054427592954990216,445,2.391011235955056,5,rule
socially controversial <= 0.7000000178813934 & unambiguous <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & unambiguous <= 0.5000000149011612 & common > 0.5000000149011612,0.00545463782467254,0.00545463782467254,0.007583170254403131,62,3.2419354838709675,5,rule
socially controversial <= 0.7000000178813934 & unambiguous > 0.7000000178813934 & common > 0.7000000178813934 & common > 0.9000000059604645 & conceptually dense > 0.5000000149011612,0.005227163463189412,0.005227163463189412,0.01223091976516634,100,2.95,5,rule
