rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
common <= 0.9000000059604645 & conceptually dense > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common <= 0.7000000178813934 & unambiguous <= 0.7000000178813934,0.22358030733347664,0.22358030733347664,0.07963302752293577,651,22.555698840116392,5,rule
common <= 0.9000000059604645 & conceptually dense > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial > 0.9000000059604645,0.13264623181171006,0.13264623181171006,0.07608562691131499,622,21.491446889098434,5,rule
common <= 0.9000000059604645 & conceptually dense > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial <= 0.9000000059604645,0.11617443679669553,0.11617443679669553,0.2742507645259939,2242,20.171672559018436,5,rule
common <= 0.9000000059604645 & conceptually dense <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & unambiguous > 0.7000000178813934,0.11061235836157372,0.11061235836157372,0.044525993883792046,364,17.263846086931753,5,rule
common <= 0.9000000059604645 & conceptually dense <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & common > 0.5000000149011612 & common > 0.7000000178813934,0.10446602602617461,0.10446602602617461,0.03290519877675841,269,16.57330846609236,5,rule
common > 0.9000000059604645 & socially controversial <= 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & unambiguous > 0.7000000178813934 & technically complicated <= 0.7000000178813934,0.0664963348342009,0.0664963348342009,0.010275229357798165,84,13.276547647657848,5,rule
common <= 0.9000000059604645 & conceptually dense > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & socially controversial > 0.30000000447034836 & technically complicated <= 0.7000000178813934,0.04937413720180517,0.04937413720180517,0.11045871559633028,903,19.3010741748155,5,rule
common <= 0.9000000059604645 & conceptually dense > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common <= 0.7000000178813934 & unambiguous > 0.7000000178813934,0.034004298568865554,0.034004298568865554,0.027522935779816515,225,20.98355546315511,5,rule
common > 0.9000000059604645 & socially controversial > 0.5000000149011612 & positive <= 0.7000000178813934 & positive <= 0.5000000149011612 & unambiguous <= 0.7000000178813934,0.025819086080661975,0.025819086080661975,0.005626911314984709,46,15.159565324368684,5,rule
common > 0.9000000059604645 & socially controversial > 0.5000000149011612 & positive > 0.7000000178813934 & unambiguous <= 0.7000000178813934 & socially controversial <= 0.9000000059604645,0.022524776167096708,0.022524776167096708,0.0037920489296636084,31,13.808064491518083,5,rule
common <= 0.9000000059604645 & conceptually dense > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & socially controversial <= 0.30000000447034836 & positive <= 0.9000000059604645,0.020928370974479464,0.020928370974479464,0.00636085626911315,52,16.457884550094604,5,rule
common > 0.9000000059604645 & socially controversial <= 0.5000000149011612 & conceptually dense > 0.7000000178813934 & unambiguous > 0.7000000178813934 & technically complicated > 0.5000000149011612,0.019051716189136567,0.019051716189136567,0.0033027522935779817,27,13.979629657886646,5,rule
common <= 0.9000000059604645 & conceptually dense <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & unambiguous <= 0.7000000178813934,0.017393405342685332,0.017393405342685332,0.009418960244648318,77,17.901428433207723,5,rule
common > 0.9000000059604645 & socially controversial <= 0.5000000149011612 & conceptually dense > 0.7000000178813934 & unambiguous > 0.7000000178813934 & technically complicated <= 0.5000000149011612,0.015049702705593282,0.015049702705593282,0.0024464831804281344,20,13.596499967575074,5,rule
common > 0.9000000059604645 & socially controversial > 0.5000000149011612 & positive <= 0.7000000178813934 & positive <= 0.5000000149011612 & unambiguous > 0.7000000178813934,0.011675252301977315,0.011675252301977315,0.0022018348623853213,18,14.445555528004965,5,rule
common > 0.9000000059604645 & socially controversial <= 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & unambiguous <= 0.7000000178813934 & socially controversial > 0.30000000447034836,0.011340044004107834,0.011340044004107834,0.0015902140672782875,13,12.616922892056978,5,rule
