rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
unambiguous <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common > 0.7000000178813934 & common <= 0.9000000059604645 & socially controversial <= 0.9000000059604645,0.04639153888830711,0.04639153888830711,0.20856269113149847,1705,2.7331378299120233,5,rule
unambiguous > 0.7000000178813934 & common <= 0.7000000178813934 & technically complicated <= 0.9000000059604645 & socially controversial <= 0.7000000178813934 & positive > 0.7000000178813934,0.014042212809991407,0.014042212809991407,0.054801223241590216,448,2.2544642857142856,5,rule
unambiguous <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & common <= 0.9000000059604645 & positive > 0.5000000149011612 & technically complicated <= 0.7000000178813934,0.011495104681825786,0.011495104681825786,0.011743119266055046,96,3.4895833333333335,5,rule
unambiguous > 0.7000000178813934 & common > 0.7000000178813934 & positive <= 0.5000000149011612 & common <= 0.9000000059604645 & technically complicated > 0.7000000178813934,0.0088765417909768,0.0088765417909768,0.06360856269113149,520,2.371153846153846,5,rule
unambiguous > 0.7000000178813934 & common > 0.7000000178813934 & positive <= 0.5000000149011612 & common <= 0.9000000059604645 & technically complicated <= 0.7000000178813934,0.008763196402733486,0.008763196402733486,0.04159021406727829,340,2.3,5,rule
unambiguous > 0.7000000178813934 & common > 0.7000000178813934 & positive > 0.5000000149011612 & socially controversial <= 0.9000000059604645 & socially controversial <= 0.30000000447034836,0.006308483712899206,0.006308483712899206,0.035107033639143734,287,2.3310104529616726,5,rule
unambiguous <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common <= 0.7000000178813934 & conceptually dense <= 0.9000000059604645 & unambiguous > 0.5000000149011612,0.005879412193181674,0.005879412193181674,0.08073394495412844,660,2.437878787878788,5,rule
unambiguous <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common <= 0.7000000178813934 & conceptually dense <= 0.9000000059604645 & unambiguous <= 0.5000000149011612,0.0038429245088443084,0.0038429245088443084,0.018103975535168196,148,2.722972972972973,5,rule
unambiguous <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common > 0.7000000178813934 & common > 0.9000000059604645 & positive <= 0.5000000149011612,0.0028164480658481603,0.0028164480658481603,0.005993883792048929,49,2.0408163265306123,5,rule
unambiguous > 0.7000000178813934 & common <= 0.7000000178813934 & technically complicated <= 0.9000000059604645 & socially controversial > 0.7000000178813934 & positive <= 0.7000000178813934,0.0025643179540605003,0.0025643179540605003,0.011009174311926606,90,2.2777777777777777,5,rule
unambiguous <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common > 0.7000000178813934 & common <= 0.9000000059604645 & socially controversial > 0.9000000059604645,0.002495489470455632,0.002495489470455632,0.046850152905198776,383,2.563968668407311,5,rule
unambiguous <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common <= 0.7000000178813934 & conceptually dense > 0.9000000059604645 & socially controversial <= 0.9000000059604645,0.0024861352961362323,0.0024861352961362323,0.009418960244648318,77,2.2467532467532467,5,rule
unambiguous > 0.7000000178813934 & common <= 0.7000000178813934 & technically complicated <= 0.9000000059604645 & socially controversial <= 0.7000000178813934 & positive <= 0.7000000178813934,0.0022542058728885947,0.0022542058728885947,0.004892966360856269,40,2.05,5,rule
unambiguous <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common > 0.7000000178813934 & common > 0.9000000059604645 & positive > 0.5000000149011612,0.0022100643717914534,0.0022100643717914534,0.006483180428134556,53,2.169811320754717,5,rule
unambiguous > 0.7000000178813934 & common > 0.7000000178813934 & positive > 0.5000000149011612 & socially controversial > 0.9000000059604645 & technically complicated > 0.5000000149011612,0.0021397373654426775,0.0021397373654426775,0.005626911314984709,46,2.130434782608696,5,rule
unambiguous > 0.7000000178813934 & common <= 0.7000000178813934 & technically complicated <= 0.9000000059604645 & socially controversial > 0.7000000178813934 & positive > 0.7000000178813934,0.0019478339157337774,0.0019478339157337774,0.016269113149847095,133,2.3909774436090228,5,rule
unambiguous > 0.7000000178813934 & common > 0.7000000178813934 & positive <= 0.5000000149011612 & common > 0.9000000059604645 & conceptually dense > 0.7000000178813934,0.001314517000764152,0.001314517000764152,0.0028134556574923547,23,2.0434782608695654,5,rule
unambiguous > 0.7000000178813934 & common > 0.7000000178813934 & positive > 0.5000000149011612 & socially controversial <= 0.9000000059604645 & socially controversial > 0.30000000447034836,0.0009426673690842224,0.0009426673690842224,0.3680733944954128,3009,2.5081422399468263,5,rule
unambiguous <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common <= 0.7000000178813934 & conceptually dense > 0.9000000059604645 & socially controversial > 0.9000000059604645,0.0007496562572794223,0.0007496562572794223,0.0014678899082568807,12,2.0,5,rule
unambiguous > 0.7000000178813934 & common > 0.7000000178813934 & positive > 0.5000000149011612 & socially controversial > 0.9000000059604645 & technically complicated <= 0.5000000149011612,0.0007496562572794223,0.0007496562572794223,0.0014678899082568807,12,2.0,5,rule
unambiguous <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & common > 0.9000000059604645 & conceptually dense > 0.5000000149011612 & technically complicated <= 0.7000000178813934,0.0006898034530313005,0.0006898034530313005,0.0015902140672782875,13,2.076923076923077,5,rule
unambiguous > 0.7000000178813934 & common <= 0.7000000178813934 & technically complicated > 0.9000000059604645 & common > 0.5000000149011612 & positive > 0.6000000089406967,0.0005412937887582575,0.0005412937887582575,0.0008562691131498471,7,3.142857142857143,5,rule
unambiguous <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & common <= 0.9000000059604645 & positive <= 0.5000000149011612 & common > 0.5000000149011612,0.0002551225201434681,0.0002551225201434681,0.0009785932721712539,8,2.25,5,rule
unambiguous <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & common <= 0.9000000059604645 & positive <= 0.5000000149011612 & common <= 0.5000000149011612,0.00018217696326952828,0.00018217696326952828,0.00012232415902140674,1,4.0,5,rule
unambiguous <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & common > 0.9000000059604645 & conceptually dense <= 0.5000000149011612 & socially controversial > 0.6000000089406967,0.00018217696326952828,0.00018217696326952828,0.00012232415902140674,1,4.0,5,rule
unambiguous > 0.7000000178813934 & common <= 0.7000000178813934 & technically complicated > 0.9000000059604645 & common <= 0.5000000149011612,6.247135477328519e-05,6.247135477328519e-05,0.00012232415902140674,1,2.0,4,rule
unambiguous > 0.7000000178813934 & common <= 0.7000000178813934 & technically complicated > 0.9000000059604645 & common > 0.5000000149011612 & positive <= 0.6000000089406967,6.247135477328519e-05,6.247135477328519e-05,0.00012232415902140674,1,2.0,5,rule
unambiguous <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & common <= 0.9000000059604645 & positive > 0.5000000149011612 & technically complicated > 0.7000000178813934,5.2371010503273134e-06,5.2371010503273134e-06,0.0004892966360856269,4,2.5,5,rule
unambiguous <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & common > 0.9000000059604645 & conceptually dense <= 0.5000000149011612 & socially controversial <= 0.6000000089406967,5.2371010503273134e-06,5.2371010503273134e-06,0.0004892966360856269,4,2.5,5,rule
unambiguous <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & common > 0.9000000059604645 & conceptually dense > 0.5000000149011612 & technically complicated > 0.7000000178813934,2.6185505251636567e-06,2.6185505251636567e-06,0.00024464831804281347,2,2.5,5,rule
unambiguous > 0.7000000178813934 & common > 0.7000000178813934 & positive <= 0.5000000149011612 & common > 0.9000000059604645 & conceptually dense <= 0.7000000178813934,2.6185505251636567e-06,2.6185505251636567e-06,0.00024464831804281347,2,2.5,5,rule
