rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
common <= 0.9000000059604645 & technically complicated > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & unambiguous > 0.7000000178813934,0.013345669292893249,0.013345669292893249,0.18238532110091743,1491,0.014051309813596034,5,rule
common <= 0.9000000059604645 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & technically complicated <= 0.5000000149011612 & common > 0.7000000178813934,0.008268685610651605,0.008268685610651605,0.06642201834862385,543,0.21171136269033725,5,rule
common <= 0.9000000059604645 & technically complicated > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common > 0.7000000178813934 & conceptually dense <= 0.9000000059604645,0.004767718519274976,0.004767718519274976,0.1965749235474006,1607,0.06297029429663022,5,rule
common <= 0.9000000059604645 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & technically complicated > 0.5000000149011612 & positive <= 0.5000000149011612,0.0046032309240522,0.0046032309240522,0.05051987767584098,413,0.17834146735743228,5,rule
common > 0.9000000059604645 & technically complicated <= 0.5000000149011612 & positive <= 0.9000000059604645 & socially controversial <= 0.7000000178813934 & unambiguous > 0.7000000178813934,0.004471329534454813,0.004471329534454813,0.008685015290519878,71,0.6020569062568772,5,rule
common > 0.9000000059604645 & technically complicated > 0.5000000149011612 & socially controversial > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & positive <= 0.7000000178813934,0.0038768291108834266,0.0038768291108834266,0.008073394495412844,66,0.5674223963058356,5,rule
common <= 0.9000000059604645 & technically complicated > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & unambiguous <= 0.7000000178813934,0.003688282952031593,0.003688282952031593,0.05896024464831804,482,0.02466882363394583,5,rule
common <= 0.9000000059604645 & technically complicated > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & common > 0.5000000149011612,0.003341901338793087,0.003341901338793087,0.0617737003058104,505,0.033125149141443835,5,rule
common <= 0.9000000059604645 & technically complicated <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial <= 0.5000000149011612,0.0025553476190712837,0.0025553476190712837,0.0326605504587156,267,0.008984669094228567,5,rule
common > 0.9000000059604645 & technically complicated > 0.5000000149011612 & socially controversial > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & positive > 0.7000000178813934,0.0017639681614867043,0.0017639681614867043,0.005504587155963303,45,0.4076784610748291,5,rule
common <= 0.9000000059604645 & technically complicated <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & positive <= 0.9000000059604645,0.0015382192477538317,0.0015382192477538317,0.04146788990825688,339,0.05013001984902891,5,rule
common > 0.9000000059604645 & technically complicated > 0.5000000149011612 & socially controversial <= 0.5000000149011612 & technically complicated <= 0.7000000178813934 & positive > 0.6000000089406967,0.0014252685698529634,0.0014252685698529634,0.005504587155963303,45,0.3461480352613661,5,rule
common <= 0.9000000059604645 & technically complicated > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common <= 0.7000000178813934 & positive <= 0.5000000149011612,0.0013944095136193327,0.0013944095136193327,0.019204892966360857,157,0.15983123726146237,5,rule
common > 0.9000000059604645 & technically complicated <= 0.5000000149011612 & positive <= 0.9000000059604645 & socially controversial <= 0.7000000178813934 & unambiguous <= 0.7000000178813934,0.0011064225453484677,0.0011064225453484677,0.0015902140672782875,13,0.7829938072424668,5,rule
common <= 0.9000000059604645 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & technically complicated > 0.5000000149011612 & positive > 0.5000000149011612,0.0010390488306681305,0.0010390488306681305,0.16831804281345566,1376,0.09339737311698669,5,rule
common > 0.9000000059604645 & technically complicated <= 0.5000000149011612 & positive <= 0.9000000059604645 & socially controversial > 0.7000000178813934 & conceptually dense > 0.7000000178813934,0.000369798101780976,0.000369798101780976,0.0009785932721712539,8,0.465111680328846,5,rule
common > 0.9000000059604645 & technically complicated <= 0.5000000149011612 & positive > 0.9000000059604645 & conceptually dense <= 0.7000000178813934 & unambiguous <= 0.9000000059604645,0.0003415765237370762,0.0003415765237370762,0.0015902140672782875,13,0.30202332826761097,5,rule
common <= 0.9000000059604645 & technically complicated > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common > 0.7000000178813934 & conceptually dense > 0.9000000059604645,0.00027646077153150456,0.00027646077153150456,0.005749235474006117,47,0.1353107728856675,5,rule
common <= 0.9000000059604645 & technically complicated > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common <= 0.7000000178813934 & positive > 0.5000000149011612,0.000169209595484836,0.000169209595484836,0.05688073394495413,465,0.09019905892751551,5,rule
common <= 0.9000000059604645 & technically complicated <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial > 0.5000000149011612,0.00014098288451495157,0.00014098288451495157,0.0037920489296636084,31,0.0500456940743231,5,rule
common > 0.9000000059604645 & technically complicated > 0.5000000149011612 & socially controversial <= 0.5000000149011612 & technically complicated > 0.7000000178813934 & unambiguous > 0.7000000178813934,0.00012331582719762028,0.00012331582719762028,0.001834862385321101,15,0.15443137089411418,5,rule
common > 0.9000000059604645 & technically complicated <= 0.5000000149011612 & positive > 0.9000000059604645 & conceptually dense > 0.7000000178813934 & socially controversial <= 0.30000000447034836,0.00010276101780229389,0.00010276101780229389,0.00012232415902140674,1,0.9272955656051636,5,rule
common > 0.9000000059604645 & technically complicated > 0.5000000149011612 & socially controversial <= 0.5000000149011612 & technically complicated > 0.7000000178813934 & unambiguous <= 0.7000000178813934,6.401779454782469e-05,6.401779454782469e-05,0.0007339449541284404,6,0.0,5,rule
common > 0.9000000059604645 & technically complicated <= 0.5000000149011612 & positive > 0.9000000059604645 & conceptually dense > 0.7000000178813934 & socially controversial > 0.30000000447034836,5.9545864023564426e-05,5.9545864023564426e-05,0.00012232415902140674,1,0.5740116834640503,5,rule
common > 0.9000000059604645 & technically complicated > 0.5000000149011612 & socially controversial > 0.5000000149011612 & conceptually dense <= 0.7000000178813934,5.3348162123187235e-05,5.3348162123187235e-05,0.0006116207951070336,5,0.0,4,rule
common <= 0.9000000059604645 & technically complicated <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & positive > 0.9000000059604645,4.908293394502876e-05,4.908293394502876e-05,0.010030581039755352,82,0.09211757415678443,5,rule
common <= 0.9000000059604645 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & technically complicated <= 0.5000000149011612 & common <= 0.7000000178813934,3.823523856813388e-05,3.823523856813388e-05,0.00746177370030581,61,0.09234839384673071,5,rule
common > 0.9000000059604645 & technically complicated <= 0.5000000149011612 & positive <= 0.9000000059604645 & socially controversial > 0.7000000178813934 & conceptually dense <= 0.7000000178813934,3.4533319852403186e-05,3.4533319852403186e-05,0.0003669724770642202,3,0.1813275416692098,5,rule
common > 0.9000000059604645 & technically complicated > 0.5000000149011612 & socially controversial <= 0.5000000149011612 & technically complicated <= 0.7000000178813934 & positive <= 0.6000000089406967,3.2008897273912345e-05,3.2008897273912345e-05,0.0003669724770642202,3,0.0,5,rule
