rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
positive > 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial > 0.5000000149011612 & common > 0.5000000149011612 & unambiguous > 0.5000000149011612,0.07984661668178224,0.07984661668178224,0.17634829399535282,1442,4.946601941747573,5,rule
positive <= 0.7000000178813934 & socially controversial <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & socially controversial > 0.30000000447034836 & conceptually dense <= 0.9000000059604645,0.06562052219759883,0.06562052219759883,0.04793934205698912,392,3.125,5,rule
positive > 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial <= 0.5000000149011612 & unambiguous > 0.7000000178813934 & socially controversial > 0.30000000447034836,0.05774600875833971,0.05774600875833971,0.15225632872691697,1245,4.873092369477912,5,rule
positive <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & technically complicated > 0.7000000178813934 & positive > 0.30000000447034836 & unambiguous > 0.5000000149011612,0.05601498105932131,0.05601498105932131,0.09832456891280421,804,3.924129353233831,5,rule
positive <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & socially controversial <= 0.9000000059604645 & positive > 0.30000000447034836,0.05336393907044792,0.05336393907044792,0.04243610125963067,347,3.2363112391930837,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & socially controversial > 0.7000000178813934,0.029965359992323203,0.029965359992323203,0.0797358444417268,652,4.869631901840491,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & socially controversial <= 0.7000000178813934,0.022280460379592214,0.022280460379592214,0.08291549468020057,678,4.762536873156342,5,rule
positive <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & technically complicated > 0.7000000178813934 & positive > 0.30000000447034836 & unambiguous <= 0.5000000149011612,0.017474418603748505,0.017474418603748505,0.022012963189433778,180,3.7,5,rule
positive <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & socially controversial > 0.9000000059604645 & technically complicated > 0.5000000149011612,0.01642963054405531,0.01642963054405531,0.02286902286902287,187,3.7754010695187166,5,rule
positive > 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial <= 0.5000000149011612 & unambiguous <= 0.7000000178813934 & conceptually dense > 0.7000000178813934,0.015351859838320795,0.015351859838320795,0.050140638375932495,410,4.8,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & common > 0.5000000149011612 & unambiguous > 0.7000000178813934,0.014055086695449566,0.014055086695449566,0.09759080347315642,798,4.637844611528822,5,rule
positive <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & socially controversial > 0.9000000059604645 & technically complicated <= 0.5000000149011612,0.011133276309712791,0.011133276309712791,0.009172067995597407,75,3.28,5,rule
positive > 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial > 0.5000000149011612 & common > 0.5000000149011612 & unambiguous <= 0.5000000149011612,0.006649237529301651,0.006649237529301651,0.017243487831723126,141,4.879432624113475,5,rule
positive <= 0.7000000178813934 & socially controversial <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & positive > 0.30000000447034836 & unambiguous > 0.5000000149011612,0.006161508633656856,0.006161508633656856,0.0023235905588846763,19,1.8421052631578947,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & positive <= 0.9000000059604645,0.005663393236859808,0.005663393236859808,0.03583221230280054,293,4.651877133105802,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & common > 0.5000000149011612 & unambiguous <= 0.7000000178813934,0.004209395039266727,0.004209395039266727,0.018221841751253517,149,4.724832214765101,5,rule
positive <= 0.7000000178813934 & socially controversial <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & socially controversial <= 0.30000000447034836 & positive <= 0.5000000149011612,0.00408703828624806,0.00408703828624806,0.001589825119236884,13,1.9230769230769231,5,rule
positive > 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial > 0.5000000149011612 & common <= 0.5000000149011612 & socially controversial > 0.7000000178813934,0.0036220618181857273,0.0036220618181857273,0.012229423994129877,100,4.79,5,rule
positive <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & technically complicated > 0.7000000178813934 & positive <= 0.30000000447034836 & socially controversial > 0.9000000059604645,0.002642134808380213,0.002642134808380213,0.007826831356243121,64,4.15625,5,rule
positive <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & socially controversial <= 0.9000000059604645 & positive <= 0.30000000447034836,0.0020608751526289444,0.0020608751526289444,0.0029350617585911704,24,3.7916666666666665,5,rule
positive <= 0.7000000178813934 & socially controversial <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & socially controversial > 0.30000000447034836 & conceptually dense > 0.9000000059604645,0.0017574054185723394,0.0017574054185723394,0.002568179038767274,21,3.8095238095238093,5,rule
positive <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & technically complicated > 0.7000000178813934 & positive <= 0.30000000447034836 & socially controversial <= 0.9000000059604645,0.0012968981690259264,0.0012968981690259264,0.007826831356243121,64,4.328125,5,rule
positive > 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial > 0.5000000149011612 & common <= 0.5000000149011612 & socially controversial <= 0.7000000178813934,0.0006809264942648301,0.0006809264942648301,0.0013452366393542864,11,5.0,5,rule
positive <= 0.7000000178813934 & socially controversial <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & positive > 0.30000000447034836 & unambiguous <= 0.5000000149011612,0.0006703524538805014,0.0006703524538805014,0.0003668827198238963,3,2.6666666666666665,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & positive > 0.9000000059604645,0.0006597784134961721,0.0006597784134961721,0.002079002079002079,17,4.176470588235294,5,rule
positive > 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial <= 0.5000000149011612 & unambiguous > 0.7000000178813934 & socially controversial <= 0.30000000447034836,0.0005118356177316153,0.0005118356177316153,0.003668827198238963,30,4.633333333333334,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & common <= 0.5000000149011612 & socially controversial > 0.5000000149011612,0.00048313465097415005,0.00048313465097415005,0.0009783539195303901,8,4.0,5,rule
positive <= 0.7000000178813934 & socially controversial <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & socially controversial <= 0.30000000447034836 & positive > 0.5000000149011612,0.00042727455119566507,0.00042727455119566507,0.00012229423994129877,1,1.0,5,rule
positive <= 0.7000000178813934 & socially controversial <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & positive <= 0.30000000447034836,0.00012078366274353751,0.00012078366274353751,0.00024458847988259754,2,4.0,4,rule
positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & common <= 0.5000000149011612 & socially controversial <= 0.5000000149011612,0.00011927308554577627,0.00011927308554577627,0.0004891769597651951,4,4.25,5,rule
positive > 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial <= 0.5000000149011612 & unambiguous <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934,5.8881254174007614e-05,5.8881254174007614e-05,0.0003668827198238963,3,4.333333333333333,5,rule
