rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
conceptually dense > 0.7000000178813934 & technically complicated > 0.7000000178813934 & common > 0.5000000149011612 & positive > 0.7000000178813934 & socially controversial > 0.5000000149011612,0.9785710255820089,0.9785710255820089,0.19346948758713464,1582,35.237161812378396,5,rule
conceptually dense > 0.7000000178813934 & technically complicated > 0.7000000178813934 & common > 0.5000000149011612 & positive > 0.7000000178813934 & socially controversial <= 0.5000000149011612,0.45680037369365956,0.45680037369365956,0.1979943744649627,1619,32.48628777202962,5,rule
conceptually dense <= 0.7000000178813934 & positive > 0.7000000178813934 & common > 0.5000000149011612 & conceptually dense > 0.5000000149011612 & common > 0.7000000178813934,0.43867530743446276,0.43867530743446276,0.05637764461293873,461,22.398134467400077,5,rule
conceptually dense <= 0.7000000178813934 & positive > 0.7000000178813934 & common > 0.5000000149011612 & conceptually dense <= 0.5000000149011612 & socially controversial <= 0.5000000149011612,0.33876326872256596,0.33876326872256596,0.03778892014186132,309,21.21453070100457,5,rule
conceptually dense > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & socially controversial <= 0.7000000178813934 & common > 0.5000000149011612 & socially controversial > 0.30000000447034836,0.3323059318787868,0.3323059318787868,0.11569035098446863,946,27.306775838073666,5,rule
conceptually dense > 0.7000000178813934 & technically complicated > 0.7000000178813934 & common > 0.5000000149011612 & positive <= 0.7000000178813934 & socially controversial > 0.5000000149011612,0.1942330272124539,0.1942330272124539,0.1385593738534915,1133,31.580953214195905,5,rule
conceptually dense > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & technically complicated > 0.5000000149011612 & positive > 0.7000000178813934,0.1682810793299686,0.1682810793299686,0.0797358444417268,652,32.28963181431308,5,rule
conceptually dense > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & technically complicated <= 0.5000000149011612 & common > 0.5000000149011612,0.14108439286063926,0.14108439286063926,0.045004280298397946,368,27.04423908306205,5,rule
conceptually dense > 0.7000000178813934 & technically complicated > 0.7000000178813934 & common > 0.5000000149011612 & positive <= 0.7000000178813934 & socially controversial <= 0.5000000149011612,0.13728751532092887,0.13728751532092887,0.035954506542741835,294,26.360782237279984,5,rule
conceptually dense > 0.7000000178813934 & technically complicated > 0.7000000178813934 & common <= 0.5000000149011612 & positive > 0.5000000149011612 & socially controversial > 0.7000000178813934,0.08825362164568637,0.08825362164568637,0.012963189433777668,106,23.371132040923495,5,rule
conceptually dense > 0.7000000178813934 & technically complicated > 0.7000000178813934 & common <= 0.5000000149011612 & positive > 0.5000000149011612 & socially controversial <= 0.7000000178813934,0.08816686690662781,0.08816686690662781,0.008560596795890914,70,19.880000046321324,5,rule
conceptually dense > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & technically complicated > 0.5000000149011612 & positive <= 0.7000000178813934,0.07003155456744498,0.07003155456744498,0.05637764461293873,461,28.93696302964217,5,rule
conceptually dense > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & socially controversial <= 0.7000000178813934 & common > 0.5000000149011612 & socially controversial <= 0.30000000447034836,0.029228065246268538,0.029228065246268538,0.003179650238473768,26,20.986923107734093,5,rule
conceptually dense <= 0.7000000178813934 & positive <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & unambiguous > 0.7000000178813934 & socially controversial <= 0.7000000178813934,0.023020538707022652,0.023020538707022652,0.001589825119236884,13,15.6992307809683,5,rule
