rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
common > 0.5000000149011612 & positive > 0.7000000178813934 & socially controversial <= 0.9000000059604645 & conceptually dense <= 0.9000000059604645 & technically complicated > 0.7000000178813934,0.0483880094929635,0.0483880094929635,0.36859483918307445,3014,3.623755806237558,5,rule
common > 0.5000000149011612 & positive <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & common <= 0.9000000059604645 & conceptually dense > 0.7000000178813934,0.04063184928730762,0.04063184928730762,0.07728995964290082,632,2.9667721518987342,5,rule
common > 0.5000000149011612 & positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial <= 0.5000000149011612 & unambiguous > 0.5000000149011612,0.01960331445745053,0.01960331445745053,0.03583221230280054,293,2.945392491467577,5,rule
common > 0.5000000149011612 & positive > 0.7000000178813934 & socially controversial <= 0.9000000059604645 & conceptually dense <= 0.9000000059604645 & technically complicated <= 0.7000000178813934,0.01926895002579947,0.01926895002579947,0.30182218417512535,2468,3.556320907617504,5,rule
common <= 0.5000000149011612 & socially controversial <= 0.7000000178813934 & positive > 0.6000000089406967 & technically complicated > 0.7000000178813934 & socially controversial <= 0.5000000149011612,0.009423535771397342,0.009423535771397342,0.007215360156536627,59,2.1864406779661016,5,rule
common > 0.5000000149011612 & positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial > 0.5000000149011612 & unambiguous > 0.5000000149011612,0.008025257602303054,0.008025257602303054,0.11581264522440993,947,3.5617740232312567,5,rule
common <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & technically complicated > 0.7000000178813934 & positive > 0.5000000149011612 & conceptually dense <= 0.9000000059604645,0.0065886932056749385,0.0065886932056749385,0.010150421915127798,83,2.8433734939759034,5,rule
common > 0.5000000149011612 & positive > 0.7000000178813934 & socially controversial > 0.9000000059604645 & technically complicated <= 0.7000000178813934 & unambiguous > 0.5000000149011612,0.0061882954873067175,0.0061882954873067175,0.0097835391953039,80,4.125,5,rule
common > 0.5000000149011612 & positive > 0.7000000178813934 & socially controversial <= 0.9000000059604645 & conceptually dense > 0.9000000059604645 & socially controversial > 0.7000000178813934,0.0055602680022958225,0.0055602680022958225,0.0075822428763605235,62,4.225806451612903,5,rule
common > 0.5000000149011612 & positive <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & common <= 0.9000000059604645 & conceptually dense <= 0.7000000178813934,0.00382743413019431,0.00382743413019431,0.0033019444784150665,27,2.3333333333333335,5,rule
common > 0.5000000149011612 & positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial > 0.5000000149011612 & unambiguous <= 0.5000000149011612,0.003620039823368121,0.003620039823368121,0.02274672862908157,186,3.3333333333333335,5,rule
common > 0.5000000149011612 & positive > 0.7000000178813934 & socially controversial > 0.9000000059604645 & technically complicated > 0.7000000178813934 & unambiguous <= 0.5000000149011612,0.002537385108521358,0.002537385108521358,0.004035709918062859,33,4.121212121212121,5,rule
common > 0.5000000149011612 & positive > 0.7000000178813934 & socially controversial > 0.9000000059604645 & technically complicated > 0.7000000178813934 & unambiguous > 0.5000000149011612,0.0022620026983928474,0.0022620026983928474,0.008071419836125719,66,3.772727272727273,5,rule
common <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & positive <= 0.6000000089406967 & conceptually dense > 0.7000000178813934,0.0021208335327842615,0.0021208335327842615,0.002568179038767274,21,2.6666666666666665,5,rule
common <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & positive > 0.6000000089406967 & unambiguous > 0.5000000149011612,0.0019456703155245137,0.0019456703155245137,0.0014675308792955852,12,2.1666666666666665,5,rule
common <= 0.5000000149011612 & socially controversial <= 0.7000000178813934 & positive > 0.6000000089406967 & technically complicated <= 0.7000000178813934 & unambiguous <= 0.7000000178813934,0.001825215662839259,0.001825215662839259,0.0012229423994129876,10,2.0,5,rule
common <= 0.5000000149011612 & socially controversial <= 0.7000000178813934 & positive > 0.6000000089406967 & technically complicated <= 0.7000000178813934 & unambiguous > 0.7000000178813934,0.00170292142289796,0.00170292142289796,0.0012229423994129876,10,2.1,5,rule
common <= 0.5000000149011612 & socially controversial <= 0.7000000178813934 & positive > 0.6000000089406967 & technically complicated > 0.7000000178813934 & socially controversial > 0.5000000149011612,0.0012739717894753924,0.0012739717894753924,0.0013452366393542864,11,2.5454545454545454,5,rule
common > 0.5000000149011612 & positive <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & common > 0.9000000059604645 & socially controversial > 0.5000000149011612,0.0010624958802015953,0.0010624958802015953,0.0030573559985324693,25,3.84,5,rule
common <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & positive > 0.6000000089406967 & unambiguous <= 0.5000000149011612,0.0009107682441635851,0.0009107682441635851,0.0008560596795890913,7,2.4285714285714284,5,rule
