rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
positive <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & positive <= 0.5000000149011612 & technically complicated > 0.7000000178813934 & common <= 0.9000000059604645,0.16908033729678235,0.16908033729678235,0.10748349229640498,879,2.4357224118316267,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & technically complicated > 0.7000000178813934 & socially controversial <= 0.5000000149011612 & conceptually dense <= 0.9000000059604645,0.12618590159240112,0.12618590159240112,0.19515774027879676,1596,4.655388471177945,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & positive <= 0.9000000059604645 & conceptually dense > 0.7000000178813934,0.12127812983325603,0.12127812983325603,0.21093176815847395,1725,4.583768115942029,5,rule
positive <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & positive <= 0.5000000149011612 & technically complicated <= 0.7000000178813934 & technically complicated > 0.5000000149011612,0.08394738671015224,0.08394738671015224,0.048911714355588165,400,2.2925,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & technically complicated > 0.7000000178813934 & socially controversial > 0.5000000149011612 & unambiguous <= 0.7000000178813934,0.0821508424851736,0.0821508424851736,0.11347517730496454,928,4.732758620689655,5,rule
positive <= 0.7000000178813934 & socially controversial <= 0.7000000178813934 & positive > 0.30000000447034836 & positive <= 0.5000000149011612 & technically complicated <= 0.9000000059604645,0.07356611491124242,0.07356611491124242,0.03643922719491318,298,1.9899328859060403,5,rule
positive <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & positive > 0.5000000149011612 & common > 0.5000000149011612 & technically complicated <= 0.9000000059604645,0.06362273565391714,0.06362273565391714,0.03203717290291025,262,2.0229007633587788,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & technically complicated > 0.7000000178813934 & socially controversial > 0.5000000149011612 & unambiguous > 0.7000000178813934,0.06336810531112437,0.06336810531112437,0.08021521154316459,656,4.798780487804878,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & positive <= 0.9000000059604645 & conceptually dense <= 0.7000000178813934,0.0536865100034964,0.0536865100034964,0.082660797260944,676,4.658284023668639,5,rule
positive <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & positive <= 0.5000000149011612 & technically complicated <= 0.7000000178813934 & technically complicated <= 0.5000000149011612,0.02780091287338171,0.02780091287338171,0.01883101002690144,154,2.5324675324675323,5,rule
