rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
positive > 0.7000000178813934 & common > 0.5000000149011612 & socially controversial <= 0.9000000059604645 & socially controversial <= 0.7000000178813934 & socially controversial > 0.30000000447034836,0.09995566123737101,0.09995566123737101,0.4232086084617266,3461,0.971578428404967,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial <= 0.9000000059604645,0.05459914722895092,0.05459914722895092,0.08082660797260945,661,0.05988353653141662,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & socially controversial <= 0.9000000059604645 & socially controversial > 0.7000000178813934 & technically complicated > 0.7000000178813934,0.030091130170824477,0.030091130170824477,0.12717045732452922,1040,0.9720135516845263,5,rule
positive <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & positive > 0.30000000447034836 & technically complicated > 0.5000000149011612,0.02695800704021972,0.02695800704021972,0.04658840792369773,381,0.1567511605465506,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & socially controversial <= 0.9000000059604645 & socially controversial > 0.7000000178813934 & technically complicated <= 0.7000000178813934,0.02154518905494113,0.02154518905494113,0.09550012227928589,781,0.960996891945486,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & unambiguous > 0.7000000178813934,0.020524744388088677,0.020524744388088677,0.028246515040352166,231,0.008763844574684704,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial > 0.9000000059604645,0.020276317643956,0.020276317643956,0.03154805575935436,258,0.09268099185108214,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common <= 0.7000000178813934 & unambiguous > 0.5000000149011612,0.010508831984899422,0.010508831984899422,0.016874541452677916,138,0.11263058539749919,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & socially controversial <= 0.9000000059604645 & socially controversial <= 0.7000000178813934 & socially controversial <= 0.30000000447034836,0.008456397111971534,0.008456397111971534,0.036683785766691124,300,0.9659144922097525,5,rule
positive <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & positive <= 0.30000000447034836 & conceptually dense <= 0.9000000059604645,0.007871114112952427,0.007871114112952427,0.016874541452677916,138,0.2689440401567929,5,rule
positive <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & positive > 0.30000000447034836 & technically complicated <= 0.5000000149011612,0.007073087137175178,0.007073087137175178,0.013817559305453656,113,0.22350189801865974,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & unambiguous <= 0.7000000178813934,0.006744250797298317,0.006744250797298317,0.009170946441672781,75,0.0,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & common > 0.5000000149011612,0.005789900998026679,0.005789900998026679,0.008192712154561018,67,0.02867951944692811,5,rule
positive <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & socially controversial <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & positive <= 0.5000000149011612,0.004135523376793697,0.004135523376793697,0.00599168500855955,49,0.04518269519416653,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common <= 0.7000000178813934 & unambiguous <= 0.5000000149011612,0.0034405816137776106,0.0034405816137776106,0.006725360723893373,55,0.2238098989833485,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & technically complicated > 0.7000000178813934 & conceptually dense <= 0.9000000059604645 & unambiguous <= 0.7000000178813934,0.002402600608848073,0.002402600608848073,0.012472487160674981,102,0.9280251439879922,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & socially controversial > 0.9000000059604645 & unambiguous <= 0.7000000178813934 & unambiguous > 0.5000000149011612,0.0020416769196567926,0.0020416769196567926,0.010882856444118367,89,0.9229979816447483,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & socially controversial > 0.9000000059604645 & unambiguous > 0.7000000178813934 & technically complicated > 0.5000000149011612,0.0013548449888063777,0.0013548449888063777,0.005624847150892639,46,0.9762609834256379,5,rule
positive <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & socially controversial <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & positive > 0.5000000149011612,0.0013488501594596633,0.0013488501594596633,0.001834189288334556,15,0.0,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & socially controversial > 0.9000000059604645 & unambiguous <= 0.7000000178813934 & unambiguous <= 0.5000000149011612,0.0012636377252264808,0.0012636377252264808,0.005502567865003668,45,0.9650382028685676,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & technically complicated > 0.7000000178813934 & conceptually dense <= 0.9000000059604645 & unambiguous > 0.7000000178813934,0.0010955061706128754,0.0010955061706128754,0.005135730007336757,42,0.9487038084438869,5,rule
positive <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & socially controversial <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & conceptually dense <= 0.7000000178813934,0.0007193867517118205,0.0007193867517118205,0.0009782342871117633,8,0.0,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & socially controversial > 0.5000000149011612,0.0006653750896104014,0.0006653750896104014,0.00293470286133529,24,0.9621196687221527,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & technically complicated > 0.7000000178813934 & conceptually dense > 0.9000000059604645 & unambiguous <= 0.5000000149011612,0.0004223771056209983,0.0004223771056209983,0.0019564685742235266,16,0.9512806050479412,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & socially controversial > 0.9000000059604645 & unambiguous > 0.7000000178813934 & technically complicated <= 0.5000000149011612,0.0002916159140623469,0.0002916159140623469,0.0013450721447786744,11,0.9521962837739424,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & technically complicated > 0.7000000178813934 & conceptually dense > 0.9000000059604645 & unambiguous > 0.5000000149011612,0.00027350376946152377,0.00027350376946152377,0.001222792858889704,10,0.9590644896030426,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & socially controversial <= 0.5000000149011612,0.0002694727229325688,0.0002694727229325688,0.001222792858889704,10,0.9557678997516632,5,rule
positive <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & socially controversial <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & conceptually dense > 0.7000000178813934,0.00018344600528923217,0.00018344600528923217,0.0004891171435558817,4,0.3603377491235733,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & common <= 0.5000000149011612,0.00011751752489789188,0.00011751752489789188,0.00024455857177794083,2,0.2548639476299286,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & technically complicated <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & unambiguous <= 0.7000000178813934,0.00011700130115368164,0.00011700130115368164,0.0004891171435558817,4,0.9746022671461105,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & technically complicated <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & unambiguous > 0.7000000178813934,2.7033709231959955e-05,2.7033709231959955e-05,0.00012227928588897041,1,0.956474781036377,5,rule
positive <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & positive <= 0.30000000447034836 & conceptually dense > 0.9000000059604645,1.766045246884595e-05,1.766045246884595e-05,0.00012227928588897041,1,0.8798202872276306,5,rule
