rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
socially controversial <= 0.5000000149011612 & technically complicated > 0.7000000178813934 & socially controversial > 0.30000000447034836 & positive > 0.7000000178813934 & unambiguous > 0.5000000149011612,0.010742743749582265,0.010742743749582265,0.05817490494296578,612,3.727124183006536,5,rule
socially controversial > 0.5000000149011612 & socially controversial > 0.7000000178813934 & conceptually dense <= 0.9000000059604645 & common <= 0.7000000178813934 & positive > 0.30000000447034836,0.010161495571354017,0.010161495571354017,0.17984790874524714,1892,3.968287526427061,5,rule
socially controversial > 0.5000000149011612 & socially controversial > 0.7000000178813934 & conceptually dense <= 0.9000000059604645 & common > 0.7000000178813934 & technically complicated <= 0.7000000178813934,0.007913162681086454,0.007913162681086454,0.20285171102661598,2134,3.950796626054358,5,rule
socially controversial > 0.5000000149011612 & socially controversial <= 0.7000000178813934 & positive <= 0.7000000178813934 & positive > 0.30000000447034836 & common > 0.7000000178813934,0.0022873679041409195,0.0022873679041409195,0.018250950570342206,192,3.7864583333333335,5,rule
socially controversial <= 0.5000000149011612 & technically complicated > 0.7000000178813934 & socially controversial > 0.30000000447034836 & positive <= 0.7000000178813934 & common > 0.5000000149011612,0.0018901527607848893,0.0018901527607848893,0.008745247148288974,92,3.6956521739130435,5,rule
socially controversial > 0.5000000149011612 & socially controversial > 0.7000000178813934 & conceptually dense <= 0.9000000059604645 & common > 0.7000000178813934 & technically complicated > 0.7000000178813934,0.0016480723261379886,0.0016480723261379886,0.1900190114068441,1999,3.9204602301150575,5,rule
socially controversial > 0.5000000149011612 & socially controversial <= 0.7000000178813934 & positive > 0.7000000178813934 & common > 0.7000000178813934 & common <= 0.9000000059604645,0.0015296537159966927,0.0015296537159966927,0.14106463878326997,1484,3.900943396226415,5,rule
socially controversial <= 0.5000000149011612 & technically complicated > 0.7000000178813934 & socially controversial > 0.30000000447034836 & positive <= 0.7000000178813934 & common <= 0.5000000149011612,0.0013672308323501177,0.0013672308323501177,0.003897338403041825,41,3.5609756097560976,5,rule
socially controversial > 0.5000000149011612 & socially controversial <= 0.7000000178813934 & positive > 0.7000000178813934 & common <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934,0.0011064217571070047,0.0011064217571070047,0.03193916349809886,336,3.9464285714285716,5,rule
socially controversial <= 0.5000000149011612 & technically complicated <= 0.7000000178813934 & socially controversial > 0.30000000447034836 & conceptually dense <= 0.9000000059604645 & conceptually dense <= 0.7000000178813934,0.0008205290529664409,0.0008205290529664409,0.06425855513307985,676,3.9245562130177514,5,rule
