rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
socially controversial <= 0.7000000178813934 & common > 0.7000000178813934 & socially controversial <= 0.5000000149011612 & technically complicated <= 0.7000000178813934 & socially controversial > 0.30000000447034836,0.09883479267477699,0.09883479267477699,0.05909177275318259,622,12.037154351016715,5,rule
socially controversial > 0.7000000178813934 & common <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & positive > 0.7000000178813934 & unambiguous <= 0.7000000178813934,0.07270460547364399,0.07270460547364399,0.08398251947558427,884,14.57542987754442,5,rule
socially controversial > 0.7000000178813934 & common > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & positive > 0.7000000178813934 & unambiguous > 0.5000000149011612,0.06059410212815966,0.06059410212815966,0.1700551016530496,1790,14.066039105900174,5,rule
socially controversial <= 0.7000000178813934 & common > 0.7000000178813934 & socially controversial > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.5000000149011612,0.05045686836322406,0.05045686836322406,0.06450693520805624,679,12.927525778757806,5,rule
socially controversial > 0.7000000178813934 & common <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & positive <= 0.7000000178813934 & unambiguous <= 0.7000000178813934,0.04676911170868149,0.04676911170868149,0.06811704351130533,717,14.396317964817191,5,rule
socially controversial <= 0.7000000178813934 & common > 0.7000000178813934 & socially controversial <= 0.5000000149011612 & technically complicated > 0.7000000178813934 & positive > 0.7000000178813934,0.021898663318046206,0.021898663318046206,0.02859585787573627,301,12.943920265400529,5,rule
socially controversial > 0.7000000178813934 & common <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & unambiguous > 0.5000000149011612 & positive > 0.30000000447034836,0.021461182032024653,0.021461182032024653,0.0406612198365951,428,14.237523381955155,5,rule
socially controversial > 0.7000000178813934 & common > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & positive <= 0.7000000178813934 & technically complicated <= 0.7000000178813934,0.021139097693934513,0.021139097693934513,0.06422192665779973,676,14.038875719499305,5,rule
socially controversial <= 0.7000000178813934 & common <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & positive > 0.5000000149011612 & common > 0.5000000149011612,0.020547708811788,0.020547708811788,0.07267718031540946,765,13.992444433573803,5,rule
socially controversial <= 0.7000000178813934 & common > 0.7000000178813934 & socially controversial > 0.5000000149011612 & technically complicated > 0.7000000178813934 & positive > 0.5000000149011612,0.020404597957755385,0.020404597957755385,0.08483754512635379,893,13.469204932551367,5,rule
