rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
conceptually dense > 0.7000000178813934 & conceptually dense <= 0.9000000059604645 & socially controversial > 0.7000000178813934 & unambiguous > 0.5000000149011612 & common > 0.7000000178813934,0.010414965420318424,0.010414965420318424,0.3252874655516488,3423,3.82646801051709,5,rule
conceptually dense > 0.7000000178813934 & conceptually dense <= 0.9000000059604645 & socially controversial > 0.7000000178813934 & unambiguous > 0.5000000149011612 & common <= 0.7000000178813934,0.009444569222750117,0.009444569222750117,0.15043238620165353,1583,3.857233101705622,5,rule
conceptually dense <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & technically complicated > 0.30000000447034836 & socially controversial > 0.30000000447034836 & common > 0.30000000447034836,0.00794814623751411,0.00794814623751411,0.08153568374037821,858,3.696969696969697,5,rule
conceptually dense <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & common > 0.7000000178813934 & conceptually dense > 0.5000000149011612 & socially controversial <= 0.7000000178813934,0.0046435816709639215,0.0046435816709639215,0.053691912952580065,565,3.7079646017699117,5,rule
conceptually dense > 0.7000000178813934 & conceptually dense <= 0.9000000059604645 & socially controversial <= 0.7000000178813934 & common <= 0.9000000059604645 & socially controversial <= 0.5000000149011612,0.002706065735730417,0.002706065735730417,0.06034400836263423,635,3.7496062992125982,5,rule
conceptually dense <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & common <= 0.7000000178813934 & positive > 0.30000000447034836 & conceptually dense > 0.30000000447034836,0.002248575713917037,0.002248575713917037,0.07982514492065,840,3.822619047619048,5,rule
conceptually dense <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & common > 0.7000000178813934 & conceptually dense > 0.5000000149011612 & socially controversial > 0.7000000178813934,0.0022087457412709554,0.0022087457412709554,0.060914187969210304,641,3.7581903276131046,5,rule
conceptually dense <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & common > 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & technically complicated <= 0.7000000178813934,0.0015057320265356245,0.0015057320265356245,0.006081915803478096,64,3.546875,5,rule
conceptually dense > 0.7000000178813934 & conceptually dense <= 0.9000000059604645 & socially controversial <= 0.7000000178813934 & common <= 0.9000000059604645 & socially controversial > 0.5000000149011612,0.0013701491830331498,0.0013701491830331498,0.15784472108714245,1661,3.803130644190247,5,rule
conceptually dense <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & technically complicated > 0.30000000447034836 & socially controversial <= 0.30000000447034836 & technically complicated <= 0.7000000178813934,0.0010828338375814765,0.0010828338375814765,0.003516107573885774,37,3.4864864864864864,5,rule
