rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
socially controversial > 0.7000000178813934 & positive <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & unambiguous <= 0.7000000178813934 & positive > 0.30000000447034836,0.05207156745607092,0.05207156745607092,0.09030481435761087,951,2.634069400630915,5,rule
socially controversial <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial > 0.5000000149011612 & common > 0.7000000178813934 & positive > 0.7000000178813934,0.024007331950294822,0.024007331950294822,0.07739056120026588,815,1.7472392638036809,5,rule
socially controversial <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial <= 0.5000000149011612 & common > 0.7000000178813934 & conceptually dense > 0.5000000149011612,0.01800084170673933,0.01800084170673933,0.033994872281834586,358,1.5279329608938548,5,rule
socially controversial <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & common <= 0.9000000059604645 & socially controversial > 0.30000000447034836 & conceptually dense <= 0.7000000178813934,0.01798572056699417,0.01798572056699417,0.1262937992593296,1330,1.9150375939849624,5,rule
socially controversial > 0.7000000178813934 & positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & common <= 0.7000000178813934 & unambiguous <= 0.7000000178813934,0.01724844619132278,0.01724844619132278,0.04852340708384769,511,2.4129158512720155,5,rule
socially controversial > 0.7000000178813934 & positive > 0.7000000178813934 & common <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & conceptually dense <= 0.9000000059604645,0.014850169094796757,0.014850169094796757,0.08365777229133035,881,2.234960272417707,5,rule
socially controversial <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial <= 0.5000000149011612 & common <= 0.7000000178813934 & socially controversial > 0.30000000447034836,0.013929587847690002,0.013929587847690002,0.03750830880258285,395,1.6860759493670887,5,rule
socially controversial > 0.7000000178813934 & positive > 0.7000000178813934 & common > 0.7000000178813934 & common <= 0.9000000059604645 & technically complicated > 0.7000000178813934,0.010127973062973304,0.010127973062973304,0.08869053271294274,934,1.943254817987152,5,rule
socially controversial > 0.7000000178813934 & positive <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & unambiguous <= 0.7000000178813934 & positive <= 0.30000000447034836,0.009619751498180963,0.009619751498180963,0.029246985091634224,308,2.3863636363636362,5,rule
socially controversial <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial > 0.5000000149011612 & common <= 0.7000000178813934 & conceptually dense > 0.5000000149011612,0.009258549546892064,0.009258549546892064,0.06694520938182509,705,1.9191489361702128,5,rule
socially controversial <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial > 0.5000000149011612 & common > 0.7000000178813934 & positive <= 0.7000000178813934,0.007096410578737773,0.007096410578737773,0.014433577058209097,152,1.5657894736842106,5,rule
socially controversial > 0.7000000178813934 & positive > 0.7000000178813934 & common > 0.7000000178813934 & common <= 0.9000000059604645 & technically complicated <= 0.7000000178813934,0.005385835267417316,0.005385835267417316,0.12515430633368152,1318,2.0144157814871018,5,rule
socially controversial > 0.7000000178813934 & positive <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & unambiguous > 0.7000000178813934 & conceptually dense <= 0.9000000059604645,0.004882231474986796,0.004882231474986796,0.004273098471180325,45,3.2,5,rule
socially controversial > 0.7000000178813934 & positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & common > 0.7000000178813934 & common <= 0.9000000059604645,0.004440129397545065,0.004440129397545065,0.10122495489507169,1066,2.101313320825516,5,rule
socially controversial > 0.7000000178813934 & positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & common > 0.7000000178813934 & common > 0.9000000059604645,0.0023543408833703768,0.0023543408833703768,0.0019941126198841515,21,3.238095238095238,5,rule
socially controversial <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & common <= 0.9000000059604645 & socially controversial > 0.30000000447034836 & conceptually dense > 0.7000000178813934,0.0015905364129563911,0.0015905364129563911,0.037603266546386856,396,2.015151515151515,5,rule
