rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
conceptually dense > 0.7000000178813934 & common <= 0.9000000059604645 & common <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & positive > 0.5000000149011612,0.18575012471237046,0.18575012471237046,0.16318785578747627,1720,21.203767373949983,5,rule
conceptually dense > 0.7000000178813934 & common <= 0.9000000059604645 & common > 0.7000000178813934 & positive > 0.5000000149011612 & socially controversial > 0.7000000178813934,0.1170019815723631,0.1170019815723631,0.2230550284629981,2351,20.590051013325084,5,rule
conceptually dense <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & conceptually dense > 0.5000000149011612 & common <= 0.9000000059604645 & positive > 0.5000000149011612,0.10951994184750977,0.10951994184750977,0.061669829222011384,650,18.289599908682018,5,rule
conceptually dense <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & technically complicated <= 0.5000000149011612 & unambiguous <= 0.7000000178813934 & positive > 0.30000000447034836,0.08678204434193976,0.08678204434193976,0.056546489563567365,596,18.530805292545548,5,rule
conceptually dense <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & conceptually dense <= 0.5000000149011612 & unambiguous <= 0.9000000059604645 & unambiguous > 0.5000000149011612,0.05813241475447306,0.05813241475447306,0.019734345351043642,208,17.11975956421632,5,rule
conceptually dense <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & technically complicated > 0.5000000149011612 & common > 0.7000000178813934 & positive > 0.7000000178813934,0.03533492929795215,0.03533492929795215,0.061669829222011384,650,19.49253841987023,5,rule
conceptually dense > 0.7000000178813934 & common <= 0.9000000059604645 & common > 0.7000000178813934 & positive <= 0.5000000149011612 & technically complicated <= 0.7000000178813934,0.034221762543158986,0.034221762543158986,0.04345351043643264,458,20.85305674731992,5,rule
conceptually dense <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & technically complicated > 0.5000000149011612 & common > 0.7000000178813934 & positive <= 0.7000000178813934,0.02847699453980011,0.02847699453980011,0.018216318785578747,192,18.502239542702835,5,rule
conceptually dense > 0.7000000178813934 & common <= 0.9000000059604645 & common > 0.7000000178813934 & positive <= 0.5000000149011612 & technically complicated > 0.7000000178813934,0.028068923769232406,0.028068923769232406,0.07125237191650854,751,19.67157119568115,5,rule
conceptually dense > 0.7000000178813934 & common <= 0.9000000059604645 & common > 0.7000000178813934 & positive > 0.5000000149011612 & socially controversial <= 0.7000000178813934,0.027192908220092234,0.027192908220092234,0.12827324478178367,1352,20.277499939563008,5,rule
conceptually dense > 0.7000000178813934 & common <= 0.9000000059604645 & common <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & positive <= 0.5000000149011612,0.026059820801302355,0.026059820801302355,0.04753320683111954,501,20.61375242221855,5,rule
conceptually dense <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & technically complicated > 0.5000000149011612 & common <= 0.7000000178813934 & socially controversial > 0.7000000178813934,0.01656145832344065,0.01656145832344065,0.03320683111954459,350,19.56677140099662,5,rule
conceptually dense <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & technically complicated > 0.5000000149011612 & common <= 0.7000000178813934 & socially controversial <= 0.7000000178813934,0.011930525551710933,0.011930525551710933,0.033111954459203036,349,20.42581659743301,5,rule
conceptually dense <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & conceptually dense > 0.5000000149011612 & common <= 0.9000000059604645 & positive <= 0.5000000149011612,0.01049309980258544,0.01049309980258544,0.0032258064516129032,34,16.81264694999246,5,rule
conceptually dense > 0.7000000178813934 & common > 0.9000000059604645 & technically complicated <= 0.9000000059604645 & socially controversial <= 0.9000000059604645 & socially controversial > 0.5000000149011612,0.008554946946464408,0.008554946946464408,0.0017077798861480076,18,15.056111176808676,5,rule
conceptually dense <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & conceptually dense <= 0.5000000149011612 & unambiguous <= 0.9000000059604645 & unambiguous <= 0.5000000149011612,0.006818607681390231,0.006818607681390231,0.0015180265654648956,16,15.573750078678131,5,rule
conceptually dense > 0.7000000178813934 & common > 0.9000000059604645 & technically complicated > 0.9000000059604645 & socially controversial > 0.9000000059604645,0.005892322457040283,0.005892322457040283,0.0009487666034155598,10,13.855000019073486,4,rule
conceptually dense > 0.7000000178813934 & common <= 0.9000000059604645 & common <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & socially controversial > 0.30000000447034836,0.004664118692589931,0.004664118692589931,0.026185958254269448,276,20.243623146112416,5,rule
conceptually dense > 0.7000000178813934 & common > 0.9000000059604645 & technically complicated <= 0.9000000059604645 & socially controversial > 0.9000000059604645 & conceptually dense > 0.9000000059604645,0.0034292281691896847,0.0034292281691896847,0.0007590132827324478,8,15.547499775886536,5,rule
conceptually dense <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & conceptually dense > 0.5000000149011612 & common > 0.9000000059604645 & technically complicated <= 0.5000000149011612,0.002486909996626273,0.002486909996626273,0.0003795066413662239,4,13.512500047683716,5,rule
conceptually dense <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & technically complicated <= 0.5000000149011612 & unambiguous > 0.7000000178813934 & socially controversial > 0.7000000178813934,0.00152158818615908,0.00152158818615908,0.0004743833017077799,5,16.857999992370605,5,rule
conceptually dense <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & technically complicated <= 0.5000000149011612 & unambiguous > 0.7000000178813934 & socially controversial <= 0.7000000178813934,0.0012733411517496128,0.0012733411517496128,0.00018975332068311195,2,13.355000019073486,5,rule
conceptually dense <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & conceptually dense > 0.5000000149011612 & common > 0.9000000059604645 & technically complicated > 0.5000000149011612,0.0010418421403280472,0.0010418421403280472,0.00018975332068311195,2,14.574999809265137,5,rule
conceptually dense > 0.7000000178813934 & common <= 0.9000000059604645 & common <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & socially controversial <= 0.30000000447034836,0.000798957940523267,0.000798957940523267,0.00018975332068311195,2,15.854999542236328,5,rule
conceptually dense > 0.7000000178813934 & common > 0.9000000059604645 & technically complicated <= 0.9000000059604645 & socially controversial > 0.9000000059604645 & conceptually dense <= 0.9000000059604645,0.0006605341945698863,0.0006605341945698863,0.0003795066413662239,4,18.325000286102295,5,rule
conceptually dense <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & technically complicated <= 0.5000000149011612 & unambiguous <= 0.7000000178813934 & positive <= 0.30000000447034836,0.0006161502461732026,0.0006161502461732026,0.0026565464895635673,28,19.833571331841604,5,rule
conceptually dense > 0.7000000178813934 & common > 0.9000000059604645 & technically complicated > 0.9000000059604645 & socially controversial <= 0.9000000059604645,0.0003790804738111695,0.0003790804738111695,9.487666034155598e-05,1,16.06999969482422,4,rule
conceptually dense <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & conceptually dense <= 0.5000000149011612 & unambiguous > 0.9000000059604645,0.00037898402060231853,0.00037898402060231853,9.487666034155598e-05,1,24.059999465942383,4,rule
conceptually dense > 0.7000000178813934 & common > 0.9000000059604645 & technically complicated <= 0.9000000059604645 & socially controversial <= 0.9000000059604645 & socially controversial <= 0.5000000149011612,0.00035725888536370005,0.00035725888536370005,9.487666034155598e-05,1,16.299999237060547,5,rule
